Applicant Name,Date Screened by Fiber Consultant ,State,Applicant Type,Address ,FCC Form 470 Number,Lit/Dark/Self,Estimated Special construction ,Odds,Num,Overview,Interactions with USAC 
CRETE MONEE SCHOOL DIST 201 U,4/13/17,IL,School District,"1500 SANGAMON STREETCRETE, WILL, IL 60417-3924",170082440,"Self Provisioning, Transport Only-No ISP Service Included (2-5G), ISP (2-5G)","$50,000.00",Likely,1,2500' build between admin building and high school ,4/13 first filing had to be refiled.
Township High School distirct #113,3/7/17,IL,School District,"1040 Park Ave W, Highland Park, IL 60035",170070131,"Self Provisioning, Leased Dark Fiber, Leased Lit Fiber (1-25G), Category1 Network Equipment, Transport Only-No ISP Service Included (1-25G)","$150,000.00",Unlikely,3,3 location WAN ,2/27-Did not bid transport option; asked for 24 strands per location
MORTON COMM UNIT SCH DIST 709,3/21/17,IL,School District,"1050 S 4TH AVE.MORTON, TAZEWELL, IL 61550",170065774,"ISP (300 mbps-1G), Leased Lit Fiber (200 mbps-1G), Transport Only-No ISP Service Included  (25-500 mbps)","$75,000.00",Unlikely,3,3 location WAN ,3/21 bid the incorrect mix of options for the desired service on the RFP.
SCHOOL DISTRICT UNIT 46,4/8/17,IL,School District,"355 E CHICAGO STELGIN, KANE, IL 60120-6543",170080135,"Leased Dark Fiber, Leased Lit Fiber (10-25G), Category1 network equipment ","$100,000.00",Likely,3,3 location WAN ,4/8-confirmed receipt 
SOMONAUK SCHOOL DISTRICT 432,4/12/17,IL,School District,"500 W MARKET STSOMONAUK, DE KALB, IL 60552",170080855,"Leased Lit Fiber, Leased Dark Fiber (1-10G), Transport (1-10G), Category1 Network Equipment ","$200,000.00",Likely,3,3 location WAN ,4/12-confirmed receipt 
ROCKFORD SCHOOL DISTRICT 205,3/29/17,IL,School District,"501 7TH STROCKFORD, WINNEBAGO, IL 61104-1242",170076454,"Self Provisioning, Leased Lit Fiber (1-10G), Transport Only-No ISP Service Included (1-10G), Category 1 network equipment; Dark Fiber Maintenance and Operations ","$2,000,000.00",Likely ,39,39 eligible location WAN ,3/29 confirmed receipt 
MOUNT PROSPECT SCHOOL DIST 57,4/5/17,IL,School District,"701 W GREGORY STMOUNT PROSPECT, COOK, IL 60056-2220",170078643,"Self Provisioning, Leased Dark Fiber, Leased Lit Fiber (1-10G), Transport Only-No ISP Service Included (500 mbps-10G), Bundled (DIA) (500 mbps-10G)","$150,000.00",Likely,4,4 location WAN,4/5 -confirmed receipt….this was a refile based on the posting guidance for Transport Only-No ISP Service Included 
DIXON SCHOOL DISTRICT 170,3/4/17,IL,School District,"1335 FRANKLIN GROVE RDDIXON, LEE, IL 61021-9149",170069857,"Leased Dark Fiber, Leased Lit Fiber (1-10G), Transport Only-No ISP Service Included (1-10G), Category1 Network Equipment","$180,000.00",Likely,6,6 location WAN,2/25 bid equipment in the RFP but not on the FCC Form 470 - asked them to correct the filiing; 3/4 refiled
EAST PEORIA SCHOOL DISTRICT 86,3/4/17,IL,School District,"601 TAYLOR STEAST PEORIA, TAZEWELL, IL 61611-2643",170069211,"Self Provisioning, Leased Dark Fiber, Leased Lit Fiber (1G), Transport Only-No ISP Service Included (1G), Category 1 Network Equipment","$160,000.00",Likely,,8 location WAN ,3/4 confirmed receipt 
CONS HIGH SCHOOL DISTRICT 230,4/6/17,IL,School District,"15100 S 94TH AVEORLAND PARK, COOK, IL 60462-3820",170079414,"Self Provisioning, Leased Dark Fiber, Leased Lit Fiber (1-10G), Transport Only - No ISP Service Included (1-10G), Category1 Network Equipment ","$1,000,000.00",Likely ,9,9 location WAN,4/6 -confirmed receipt….this was a refile based on the posting guidance for Transport Only-No ISP Service Included 
CRETE MONEE SCHOOL DIST 201 U,4/12/17,IL,School District,"1500 SANGAMON STREETCRETE, WILL, IL 60417-3924",170068028,"Leased Dark Fiber, Transport Only-No ISP Service Included (1-10G mbps), ISP (1-10G)","$75,000.00",Unlikely,1,Fiber between 2 locations in the district ,4/12-filed incorrect options; will require a refile 
FORRESTVILLE VLY SCH DIST 221,2/28/17,IL ,School District,"601 E. MAIN STFORRESTON, OGLE, IL 61030",170066229,"Leased Dark Fiber, Leased Lit Fiber (200 mbps-1G), Transport Only-No ISP Service Included (200 mbps-1G)","$50,000.00",Likely,2,2 location WAN - 1.3 miles ,2/28 bundled equipment in with bid.  Get them to separate
CROWN POINT COMM SCHOOL CORP,3/1/17,IN,School District,"200 E NORTH STCROWN POINT, LAKE, IN 46307",170067156,"Leased Dark Fiber, Leased Lit Fiber (1-25G), Category1 Network Equipment, Fiber Maintenance and Operations ","$240,000.00",Likely ,12,12 Location WAN ,3/1 Confirmed receipt 
BLACKHAWK CHRISTIAN SCHOOL,3/31/17,IN,School District,"7400 E STATE BLVDFORT WAYNE, ALLEN, IN 46815-6502",170077362,"Self Provisioning, Transport Only-No ISP Service Included  (1-10G), Leased Lit Fiber (1-10G), Category 1 network equipment, Fiber Maintenance and Operations","$75,000.00",Likely,2,2 location WAN ,3/31- middle and highschool separated by about 1/2 mile
MSD WAYNE TOWNSHIP,3/27/17,IN,School District,"1220 S HIGH SCHOOL RDIndianapolis, MARION, IN 46241-3127",170075787,"Leased Dark Fiber, Leased Lit Fiber (1-25G), Transpoort Only-No ISP Service Included (1-25G), Bundled (DIA) (500 mbps-5G), Category1 Network equipment ","$440,000.00",Likely,22,22 location WAN ,3/27-confirmed receipt 
School City of Hobart ,3/3/17,IN ,School District,"32 E 7TH STHOBART, LAKE, IN 46342-5154",170069561,"Leased Dark Fiber, Leased Lit Fiber (1-25G), Category1 network equipment; fiber maintenance and operations ","$160,000.00",Likely ,,8 location WAN ,3/3-Confirmed Receipt 
OSAWATOMIE UNIF SCH DIST 367,3/17/17,KS,School District,"12TH AND TROJAN DROSAWATOMIE, MIAMI, KS 66064",170073074,"Self Provisioning, Leased Lit Fiber (1G), Leased Dark Fiber (1G)","$150,000.00",Likely,3,3 Location WAN ,3/17 Refile with all 4 options including Transport Only-No ISP Service Included and an acceptable RFP
MCPHERSON UNIF SCHOOL DIST 418,3/6/17,KS,School District,"514 N MAIN STMC PHERSON, MCPHERSON, KS 67460-1147",170070296,"Leased Dark Fiber, Leased Lit Fiber  (500 mbps-5G)","$180,000.00",Likely,6,6 location WAN ,3/4 Wrote the applicant about SLA specs. 3/6 Corrected filing .
CLEARWATER UNIF SCH DIST 264,3/17/17,KS,School District,"150 S PROSPECTCLEARWATER, SEDGWICK, KS 67026",170073049,"Leased Dark Fiber, Leased Lit Fiber (1-10G); Category 1 Network Equipment; Maintenance and Operations ","$180,000.00",Likely,6,6 location WAN ,3/16 aggregated equipment with the leased dark fiber.  Wrote applicant recommending separation.
OSBORNE COUNTY USD 392,4/3/17,KS,School District,"234 WEST WASHINGTONOSBORNE, OSBORNE, KS 67473",170047220,"Self provisioning, Transport Only- No ISP Service Included (100 mbps-1G), Leased Dark Fiber, Leased Lit Fiber (100 mbps-1G), Category 1 Network Equipment, Fiber Maintenance and Operations ","$25,000.00",Likely,1,Adding 1 location to an existing WAN ,4/3- confirmed receipt 
RUSSELLVILLE INDEP SCHOOL DIST,3/22/17,KY,School District,"355 S SUMMER STRUSSELLVILLE, LOGAN, KY 42276-2055",170073794,Transport Only-No ISP Service Included  (10G),$0.00,Likely,1,1 fiber run - 500',3/22-Needs to refile for maintenance on existing leased dark fiber 
MARSHALL COUNTY SCHOOL DIST,4/11/17,KY,School District,"86 HIGH SCHOOL RDBENTON, MARSHALL, KY 42025-7017",170081167,"Leased dark fibr, Leased lit fiber (1-25G)","$220,000.00",Likely,11,11 Location WAN,2/24 applicant desires leased dark fiber bids -- needs to be refiled.  Asked about equipment also 4/11-REFILED correctly
CASEY COUNTY SCHOOL DISTRICT,3/4/17,KY,School District,"1922 N US 127LIBERTY, CASEY, KY 42539-7701",170069699,Leased Dark Fiber,"$200,000.00",Unlikely,11,11 Location WAN -,3/4 - gave applicant correct filing options for leased dark fiber 
SHELBY COUNTY PUBLIC SCHOOLS,3/14/17,KY,School District,"1155 MAIN STREETSHELBYVILLE, SHELBY, KY 40065",170072023,"Leased Dark Fiber, Leased Lit Fiber (1-10G)","$320,000.00",Likely,16,16 location WAN ,3/14-confirmed receipt 
PIKEVILLE INDEP SCHOOL DIST,3/18/17,KY,School District,"148 SECOND STREETPIKEVILLE, PIKE, KY 41501",170073342,"Leased Dark Fiber, Leased Lit Fiber (10-25G), Category1 network equipment ","$50,000.00",Likely,2,2 location WAN ,3/18 confirmed receipt 
CAMPBELLSVILLE INDEP SCH DIST,4/10/17,KY,School District,"136 S COLUMBIA AVECAMPBELLSVILLE, TAYLOR, KY 42718-1339",170072606,Category 1 Network Equipment,$0.00,Likely,3,3 location WAN ,4/10-Confirmed receipt 
BOYLE COUNTY SCHOOL DISTRICT,4/13/17,KY,School District,School District,170082860,"Leased Dark Fiber, Leased Lit Fiber (1-10G)","$60,000.00",Likely,3,3 location WAN ,4/13 worked with applicant to get filing correct before the deadline.
PIKEVILLE INDEP SCHOOL DIST,2/21/17,KY,School District,"148 SECOND STREETPIKEVILLE, PIKE, KY 41501",170067015,"Leased Dark Fiber, Leased Lit Fiber (10-25G)","$75,000.00",Likely ,4,4 Location WAN ,2/21- Confirmed Receipt.  Asked about equipment 
EDMONSON COUNTY SCHOOL DIST,3/18/17,KY,School District,"100 HIGH SCHOOL RDBROWNSVILLE, EDMONSON, KY 42210",170073227,"Self Provisioning, Leased Dark Fiber, Leased Lit Fiber (1-10G), Category1 Network Equipment ","$750,000.00",Likely,6,6 location WAN (Leased Dark Fiber option for 3 llocations),3/18-confirmed receipt ;bid self provisioning without it being necessary--engaged in dialog with applicant
CORBIN INDEP SCHOOL DISTRICT,3/27/17,KY,School District,"108 ROY KIDD AVENUECORBIN, WHITLEY, KY 40701",170075494,Category 1 Network Equipment,$0.00,Likely,10,Bid is meant for Category1 network equipment for a 10 location WAN,3/25-refile request for correct options; 3/27 refiled correctly
Wayne County Schools ,2/23/17,KY ,School District,"1025 S MAIN STREETMONTICELLO, WAYNE, KY 42633",170067414,"Self Provisioning, Leased Lit Fiber (1-10G), Transport Only-No ISP Service Included (1-10G), Category 1 network equipment ","$300,000.00",Likely,15,15 location WAN ,2/18 instructed to file for transport instead of only leased lit Fiber 2/23 refile
Henderson County School District ,2/22/17,KY ,School District,"1805 2ND STHENDERSON, HENDERSON, KY 42420-3367",170067154,Category1 Network Equipment ,$0.00,Unlikely,18,18 location WAN,2/21- RFP is for Category1 network equipment.  Sent instructions to file correctly. 2/22 Refile
DRACUT PUBLIC SCHOOL,4/13/17,MA,School District,School District,170082697,"Self Provisioning, Transport (50 mbps-1G), Leased Lit Fiber (50 mbps-1G), Leased Dark Fiber, Category1 network equiment, Fiber Maintenance and Operations ","$400,000.00",Likely,7,7 location WAN ,4/13-confirmed receipt - one fiber route map provided but no preference of routes in RFP.
BALTIMORE CITY SCHOOL DISTRICT,3/17/17,MD,School District,"200 E. North Ave, Room 001BALTIMORE, BALTIMORE CITY, MD 21202",170072347,"Leased Dark Fiber, Leased Lit Fiber (1-10G), Category1 network Equipment, Fiber Maintenance and operations","$1,890,000.00",Likely,189,189 location WAN ,3/17 confirmed receipt - was able to preview filing.  Expect minimal special cosntruction per location because of several vendors with existing fiber in the area.  May be more like installation charges. This is a large expiring WAN contract and the applicant wants bid a leased dark fiber option to have more opportunity to meet its growing needs.
WICOMICO COUNTY SCHOOL DISTRICT,3/3/17,MD,School District,"101 LONG AVESALISBURY, WICOMICO, MD 21801",170069278,Category1 Network Equipment ,$0.00,Likely,32,32 location WAN Equipment,3/3-Confirmed Receipt 
Prince Georges County School District ,2/18/17,MD,School District,"14201 SCHOOL LANE ROOM 138UPPER MARLBORO, PRINCE GEORGE'S, MD 20772-2866",170066736,"Leased Dark Fiber, Leased Lit Fiber (10-25G), ISP (10-25G), Bundled (DIA) (10-25G)",$0.00,Likely,,Upstream connections from 2 hubs into DC PoP on K street,2/18 - worked with applicant after their original RFP filing mentioned dark fiber but did not bid this.  Assume they will not need new fiber.
ALLEGANY COUNTY SCHOOL DIST,3/27/17,MD,School District,"108 WASHINGTON STCUMBERLAND, ALLEGANY, MD 21502",170072569,Leased Dark Fiber ,"$200,000.00",unlikely,1,WAN Connection to a new facility; District Hub to PoP connection ,3/27 needs to be refiled; may be a state contract for fiber installation involved 
BEDFORD PUBLIC SCHOOL DISTRICT,2/3/17,MI,School District,"1623 W STERNS RDTEMPERANCE, MONROE, MI 48182-1512",170062803,"Self Provisioning, Transport Only-No ISP Service Included (10G), Leased Dark Fiber, Leased Lit Fiber (10mbps),  ISP (5 mbps), Dark Fiber Maintenance and Operations ","$50,000.00",Likely,1,1 location to a WAN ,2/3-confirmed receipt.  RFP bids great bandwidth leased lit fiber service  (page 5 of RFP bids 10G)
Grosse Point School District ,3/29/17,MI,School District,"389 SAINT CLAIR STGROSSE POINTE, WAYNE, MI 48230-1501",170076312,"Self Provisioning, Leased Dark Fiber , Leased Lit Fiber (10G), Transport Only-No ISP Service Included (10G)","$600,000.00",Unlikely ,17,17 location WAN Connection ,3/29 complex community network concept.  Advised applicant to separate E-rate entities in RFP without success.
OTTAWA AREA I S D,3/28/17,MI,School District,"13565 PORT SHELDON STHOLLAND, OTTAWA, MI 49424-9241",170075532,"Self Provisioning, Leased Dark Fiber, Leased Lit Fiber  (10G), Transport Only-No ISP Service Included (10G)","$50,000.00",Likely,2,2 location WAN ,3/28 confirmed receipt 
OTTAWA AREA I S D,3/29/17,MI,School District,"13565 PORT SHELDON STHOLLAND, OTTAWA, MI 49424-9241",170076146,Category 1 Network Equipment,$0.00,Likely,2,2 location WAN ,3/29 confirmed receipt 
UNION CITY COMM SCHOOL DIST,4/6/17,MI,School District,"430 SAINT JOSEPH STUNION CITY, CALHOUN, MI 49094-1245",170079244,"Self provisioning, Transport Only-No ISP Included (10-25G)","$70,000.00",Likely,2,2 location WAN ,4/5 bid incorrect options -- needs to be refiled bidding Self Provisioning and Transport Only-No ISP Service Included 4/6 - Refiled correctly
JONESVILLE COMMUNITY SCHOOLS,4/6/17,MI,School District,"202 WRIGHT STREETJONESVILLE, HILLSDALE, MI 49250-1005",170076417,"Self Provisioning, Transport Only-No ISP Service Included (1G), Category 1 Network Equipment ","$50,000.00",Likely,2,2 location WAN ,4/6 confirmed receipt 
BEAVER ISLAND COMM SCHOOL DIST,4/7/17,MI,School District,"37895 KINGS HIGHWAYBEAVER ISLAND, CHARLEVOIX, MI 49782",170079095,"Self provisioning, Transport Only - No ISP Service Included (100 mbps-1G), ISP (100-200 mbps), Leased Lit Fiber (100 mbps-1G)","$200,000.00",Likely,2,2 location WAN but a water crossing involved -- will likely go self provisioned microwave ,4/7 - confirmed receipt 
MORLEY-STANWOOD COMM SCH DIST,3/9/17,MI,School District,"4700 NORTHLAND DRMORLEY, MECOSTA, MI 49336-9522",170068753,"Self Provisioning, Transport Only-No ISP Service Included (10G), Leased Dark Fiber, Leased Lit Fiber (10G)","$25,000.00",Likely ,2,2 school WAN 700',3/9 confirmed receipt 
WATERFORD SCHOOL DISTRICT,4/5/17,MI,School District,"501 N. CASS LAKE ROADWATERFORD, OAKLAND, MI 48328",170078679,"Self Provisioning, Leased Dark Fiber , Leased Lit Fiber (10G), Transport Only-No ISP Service Included (10G)","$2,000,000.00",Likely ,23,23 location WAN ,4/5 -confirmed receipt….this was a refile based on the posting guidance for Transport Only-No ISP Service Included 
HUDSONVILLE PUBLIC SCHOOLS,3/22/17,MI,School District,"3886 VAN BUREN STHUDSONVILLE, OTTAWA, MI 49426-1038",170070883,"Self Provisioning, Leased Dark Fiber, Leased Lit Fiber (10G), Transport Only-No ISP Service Included (10G), Fiber Maintenance and Operations","$100,000.00",Likely,5,5 location WAN -- replacing old fiber plant for 5 locations ,3/22-high strand count--asked applicant the anticipated use of the strands.
SOUTH LAKE SCHOOLS,12/23/16,MI,School District,"23101 STADIUM BLVDST CLAIR SHORES, MACOMB, MI 48080",170056491,Category1 Network Equipment ,$0.00,Likely,6,6 location WAN ,12/22-confirmed receipt 
ESSEXVILLE-HAMPTON SCHOOL DIST,3/8/17,MI,School District,"303 PINE STESSEXVILLE, BAY, MI 48732-1584",170069683,"Leased Dark Fiber, Leased Lit Fiber (10G)","$100,000.00",Likely,6,6 location WAN ,3/8 confirmed receipt 
Macomb ISD,3/4/17,MI,School District,"44001 GARFIELD RDCLINTON TWP, MACOMB, MI 48038-1100",170069803,Category1 Network Equipment ,$0.00,Likely,7,7 Location WAN ,3/4 confirmed receipt 
ROMULUS COMMUNITY SCHOOL DIST,3/25/17,MI,School District,"36540 GRANT ROADROMULUS, WAYNE, MI 48174-1445",170075020,Category 1 Network Equipment ,$0.00,Likely,,8 location WAN,3/25 -confirmed receipt 
South Redford School District ,2/28/17,MI,School District,"26141 SCHOOLCRAFTREDFORD, WAYNE, MI 48239-2775",170065615,Fiber Maintenance and Operations ,$0.00,Likely,,8 location WAN existing leased dark fiber maintenance and operations ,2/28 - confirmed receipt 
Macomb ISD,3/1/17,MI,School District,"44001 GARFIELD RDCLINTON TWP, MACOMB, MI 48038-1100",170068821,Self Provisioning ; Category1 Network Equipment ,$0.00,Unlikely,10,Equipment for 10 location WAN,3/1 bid incorrect option.  Provided instructions on how to bid category 1 network equipment ; need to eliminate the self provisioning bid.
Ypsilanti Community Schools,3/7/17,MI,School District,"1885 PACKARD ROADYPSILANTI, WASHTENAW, MI 48197",170069324,"Self Provisioning, Leased Dark Fiber, Leased Lit Fiber (10G), Transport Only-No ISP Service Included (10G), Fiber Maintenance and Operations","$100,000.00",Likely,,Movement of head end for the east side of the district ,3/7 a two location move; bid the proper options to explore all alternatives.  Confirmed receipt.
ROCHESTER SCHOOL DISTRICT 535,3/1/17,MN,School District,"615 7TH ST SWROCHESTER, OLMSTED, MN 55902-2052",170068561,"Leased Dark Fiber, Leased Lit Fiber (10G), Transport Only-No ISP Service Included (10G)","$50,000.00",Likely,2,2 Connection WAN ,3/1 - wrote about separating the SFP's from the leased dark fiber 
ST JAMES SCHOOL DISTRICT 840,4/6/17,MN,School District,"500 3rd Ave SSAINT JAMES, WATONWAN, MN 56081",170063700,"Leased Dark Fiber, Leased Lit Fiber (10-25G)","$60,000.00",Likely ,2,2 location WAN ,4/6-Confirmed Receipt 
SPRING LAKE PK IND SCH DIST 16,3/21/17,MN,School District,"1415 81ST AVENUE NESPRING LAKE PARK, ANOKA, MN 55432-2051",170073183,"Self Provisioning, Leased Lit Fiber (10G), Transport Only-No ISP Service Included (10G), Category1 Network Equipment, Dark Fiber Maintenance and Operations ","$240,000.00",Unlkely,4,4 location WAN,3/21 did not bid leased dark fiber on the FCC Form 470 but request bids in the RFP.
CLOQUET SCHOOL DISTRICT 94,3/9/17,MN,School District,"302 14TH STREETCLOQUET, CARLTON, MN 55720",170070858,"Leased Dark fiber, Leased Lit Fiber (1-10G), Bundled (DIA) (300 mbps-1G)","$100,000.00",Likely,5,5 location WAN,3/9- confirmed receipt - asked about equipment 
ORONO SCHOOL DISTRICT 278,1/14/17,MN,School District,"685 N OLD CRYSTAL BAY RDLONG LAKE, HENNEPIN, MN 55356-0046",170058391,"Self Provisioning, Transport Only-No ISP Service Included (1G), Leased Lit Fiber (1G), Leased Dark Fiber ","$500,000.00",Likely,1,Connection between 2 schools,1/14-confirmed receipt
INTERNATIONAL FALLS S D 361,4/13/17,MN,School District,"1515 11TH STINTL FALLS, KOOCHICHING, MN 56649-2217",170082531,Transport Only-No ISP Service Included  (10G),"$25,000.00",Unlkely,2,Short builds to two locations ,4/13 wrote applicant to bid self provisioning in addition to transport --self provisioning described in the FCC Form 470 narrative 
Waynesburg School District R6,3/3/17,MO,School District,"200 FLEETWOOD DRIVEWAYNESVILLE, PULASKI, MO 65583-2266",170069557,"Leased Dark Fiber, Leased Lit Fiber (1-10G)","$320,000.00",Likely,16,16 location WAN ,3/3 Applicant states a preference for Cisco equipment on page 5 of the RFP.  Need to change this.
Carl Junction School District 1,3/8/17,MO,School District,"206 S RONEYCARL JUNCTION, JASPER, MO 64834",170070508,"Leased Dark Fiber, Leased Lit Fiber (1G)","$50,000.00",Likely,2,2 location WAN,3/8 confirmed receipt 
SANTA FE SCHOOL DIST,3/16/17,MO,School District,"108 N MITCHELLALMA, LAFAYETTE, MO 64001",170072460,"Leased Dark Fiber, Leased Lit Fiber (10-25G)","$50,000.00",Likely,2,2 location WAN ,3/16- RFP Is unclear
OSAGE County School District R3,3/22/17,MO,School District,"143 E MAIN ST, PO BOX 37WESTPHALIA, OSAGE, MO 65085",170074063,"Self Provisioning, Leased Dark Fiber, Leased Lit Fiber (100 mbps-1G), Transport Only-No ISP Service Included  (100 mbps-1G), Bundled (DIA) (100 mbps-1G), ISP (100 mbps-1G)","$100,000.00",Unlikely,2,2 location WAN ,3/11 filed for wrong options and RFP contains a Queen of Peace violation.  Wrote applicant with corrections; 3/22 refiled with correct options
BELTON SCHOOL DISTRICT 124,3/28/17,MO,School District,"110 W WALNUT STBELTON, CASS, MO 64012-4808",170076165,Self Provisioning ,"$60,000.00",Unlikely,2,2 location WAN ,3/28 filed for incorrect options.  Wrote applicant to correct.
SANTA FE SCHOOL DIST,4/4/17,MO,School District,"108 N MITCHELLALMA, LAFAYETTE, MO 64001",170078357,"Leased Dark Fiber, Leased Lit Fiber (10 mbps-25G)","$50,000.00",Likely,2,2 locations ,4/3 filed incorrect options.  Wrote with instructions to refile. 4/4 refiled correctly
BELTON SCHOOL DISTRICT 124,4/12/17,MO,School District,"110 W WALNUT STBELTON, CASS, MO 64012-4808",170081910,"Self Provisioning, Transport Only-No ISP Service Included (10G)","$80,000.00",Unlikely,2,2 short WAN runs,4/11- lots of help needed on this one--filing and terminology.  Working with applicant 4/12 Refiled addressing my concerns 
HANCOCK PLACE SCHOOL DISTRICT,3/30/17,MO,School District,"9417 S BROADWAYSAINT LOUIS, ST LOUIS, MO 63125-1516",170076720,"Leased Dark Fiber, Leased Lit Fiber (10-25G)","$140,000.00",Likely,4,4 location WAN ,3/30-confirmed receipt; applicant appears to want self provisioning from the RFP.  Wrote applicant to clarify.
Great Circle,3/11/17,MO,School District,"13160 County Road 3610St. James, Phelps, MO 65559",170071913,"Self Provisoning, Transport Only-No ISP Service Included (50 mbps-1G), Leased Lit Fiber (1-10G), Leased Dark Fiber, Category1 Network Equipment, Bundled (DIA) (5 mbps-1G)","$250,000.00",Likely,5,5 connections back to an existing network - comparing services ,3/11- confirmed receipt 
ST CLAIR SCHOOL DIST R 13,3/17/17,MO,School District,"905 BARDOT STSAINT CLAIR, FRANKLIN, MO 63077-1703",170072932,"Self Provisioning, Leased Dark Fiber, Leased Lit Fiber (10-25G), Transport Only-No ISP Service Included (10-25 G), Category 1 network equipment, Fiber Maintenance and Operations ","$150,000.00",Likely,5,5 location WAN,3/17-Confirmed receipt 
PARK HILL SCHOOL DISTRICT,2/11/17,MO,School District,"7703 NW BARRY RDKANSAS CITY, PLATTE, MO 64153-1731",170064915,"Self Provisioning, Transport Only-No ISP Service Included   (5-10G), Leased Lit Service (5-10G), Fiber Maintenance and Operations ","$300,000.00",Likely ,1,Adding 1 location to an existing WAN ,2/11-confirmed receipt 
JOLIET SCHOOL DISTRICT 7,3/22/17,MT,School District,"300 PARK STREETJOLIET, CARBON, MT 59041",170073577,"Leased Lit Fiber (100 mbps-1G), Category 1 Network Equipment ",$0.00,Likely,3,3 location WAN ,3/22- bidding category 1 network equipment on a fully managed lit fiber service--asked applicant to clarify
SHIELDS VALLEY SCHOOL DISTRICT,4/7/17,MT,School District,"HANNAFORD STWILSALL, PARK, MT 59086",170079507,"Leased Dark Fiber, Leased Lit Fiber (50 mbps-1G), Transport Only-No ISP Service Included (50 mbps-1G), Category 1 Network Equipment, ISP (56 kbps-1G)","$200,000.00",Likely,3,3 location WAN - very rural,4/7-confirmed receipt
LIVINGSTON SCHOOL DISTRICT,2/18/17,MT ,School District,"132 S B STLIVINGSTON, PARK, MT 59047-2612",170062979,"Transport Only-No ISP Service Included (5-100 mbps), ISP (5 mbps-1G), Category1 network equipment ","$250,000.00",Likely,5,5 location wireless WAN and upstream ISP Wireless,2/18 Have to bid self provisioning as well as transport.  Wrote applicant.
Chapel Hill - Carrboro School Distirct ,3/7/17,NC ,School District,"750 S MERRITT MILL RDCHAPEL HILL, ORANGE, NC 27516-2878",170070109,"Self Provisioning, Leased Lit Fiber (1-10G), Leased Dark Fiber, Category1 Network Equipment, Transport Only-No ISP Service Included (1-10G)","$300,000.00",Likely,5,5 WAN connection - sites not currently service by leased lit fiber ,3/2- Asked for file for Transport Only-No ISP Service Included 3/7-Refiled with new options
TIOGA SCHOOL DISTRICT 15,4/7/17,ND,School District,"321 NORTH BENSON STREET, P.O. BOX 279TIOGA, WILLIAMS, ND 58852",170079193,"Leased Dark Fiber, Leased Lit Fiber (1-2G)","$50,000.00",Likely,2,2 location WAN ,4/7-confirmed receipt
NEBRASKA CITY PUBLIC SCHOOLS,4/3/17,NE,School District,"215 N 12th StreetNebraska City, Otoe, NE 68410-2064",170077767,"Self Provisioning, Leased Dark Fiber, Leased Lit Fiber (1-10G), Transport Only- No ISP Service Included (1-10G)","$55,000.00",Unlikely,1,Adding 1 location to an existing WAN ,3/31- bid incorrect options.  Has to add Transport Only-No ISP Service Included 4/3 - Refiled correctly
NEWPORT SCHOOL DISTRICT,3/1/17,NH,School District,"247 North Main StreetNEWPORT, SULLIVAN, NH 03773-1462",170067911,"Self Provisioning, Leased Dark Fiber, Leased Lit Fiber (1-10G), Transport Only-No ISP Service Included (1-10G), Category 1 Network Equipment, Bundled (DIA) (50 mbps)","$125,000.00",Likely,4, 4 location WAN ,2/18- need to refile to bid transport option and applicant does not understand the options; 3/1-refiled 
SCHOOL ADMINISTRATIVE UNIT 06,4/7/17,NH,School District,"165 BROAD STCLAREMONT, SULLIVAN, NH 03743",170079521,"Self Provisioning, Leased Dark Fiber, Leased Dark Fiber (10G); Transport Only-No ISP Service Included (10G)","$150,000.00",Likely,2,2 locations to a WAN ,4/4- confirmed receipt; applicant bid incorrect options; 4/7 corrected filing 
JAFFREY RINDGE COOP SCH DIST,3/16/17,NH,School District,"10 MAIN STJAFFREY, CHESHIRE, NH 03452-6142",170072820,"Self Provisioning, Leased Dark Fiber , Leased Lit Fiber (200-400 mbps), Transport Only - NO ISP Service Included (200-400 mbps)","$120,000.00",Likely,4,4 location WAN ,3/16 confirmed receipt 
LACONIA SCHOOL DISTRICT,3/24/17,NH,School District,"39 HARVARD STLACONIA, BELKNAP, NH 03246",170074685,"Leased Dark Fiber, Leased Lit Fiber (10G)","$100,000.00",Likely,5,5 Location WAN ,3/24-confirmed receipt ; wrote to clarify options.  Not sure what applicant wants for service based on the RFP.
WASHINGTON TWP SCHOOL DISTRICT,4/13/17,NJ,School District,School District,170082863,"Leased Dark Fiber, Leased Lit Fiber (10-25G), Transport Only-No ISP Service Included  (10-25G), Category1 Network Equipment","$650,000.00",Likely,13,13 location WAN ,4/13 confirmed receipt 
VINELAND SCHOOL DISTRICT,4/7/17,NJ,School District,"625 E PLUM STVINELAND, CUMBERLAND, NJ 08360-3708",170079597,Category 1 Network Equipment,$0.00,Unlikely,15,15 location WAN ,4/7-Stated preference without or equivalent language.  Wrote applicant to refile.
VINELAND SCHOOL DISTRICT,4/10/17,NJ,School District,"625 E PLUM STVINELAND, CUMBERLAND, NJ 08360-3708",170080205,Category 1 Network Equipment ,$0.00,Likely,15,15 location WAN ,4/10 confirmed receipt 
HARRISON TWP SCHOOL DISTRICT,4/7/17,NJ,School District,"120 NORTH MAIN STREETMULLICA HILL, GLOUCESTER, NJ 08062",170079504,Fiber Maintenance and Operations,$0.00,Likely,2,2 location WAN ,4/7-Confirmed receipt
