line_item_id,district_esh_id,district_name,ben,free_and_reduced,service_provider_name,providers_typical_category,postal_cd,highest_connect_type,num_of_services,bandwidth_in_mbps,num_students,connect_category,cost_per_line,frn_complete
143488,975520,COLONIAL BEACH PBLC SCHS,126441,258,Town of Colonial Beach,Fiber,VA,Fiber,3,100.0,644,Fiber,2400.0,2763507-1
143491,975520,COLONIAL BEACH PBLC SCHS,126441,258,Verizon Business Global LLC,Copper,VA,Fiber,3,100.0,644,Fiber,28371.48,2764306-1
143491,975520,COLONIAL BEACH PBLC SCHS,126441,258,Verizon Business Global LLC,Copper,VA,Fiber,3,100.0,644,Fiber,28371.48,2764306-1
143498,975536,FAIRFAX CO PBLC SCHS,126423,47451,State Replacement Contract,Other / Uncategorized,VA,Fiber,220,3000.0,180616,Fiber,209859.0,2776563-1
143499,975536,FAIRFAX CO PBLC SCHS,126423,47451,Comcast Business Communications,Fiber,VA,Fiber,220,3000.0,180616,Fiber,209859.0,2776565-1
143507,975657,WARREN CO PBLC SCHS,126458,2197,"Shentel Communications, LLC",Fiber,VA,Fiber,2,250.0,5498,Fiber,27000.0,2774660-1
143514,975603,NEWPORT NEWS CITY PBLC SCHS,126530,17156,"Cox Virginia Telcom, LLC",Fiber,VA,Fiber,3,300.0,29786,Fiber,45060.0,2771525-2
143515,975603,NEWPORT NEWS CITY PBLC SCHS,126530,17156,"Cox Virginia Telcom, LLC",Fiber,VA,Fiber,3,500.0,29786,Fiber,54120.0,2771525-1
143719,983803,CHILTON SCHOOL DISTRICT,132723,401,WiscNet,Other / Uncategorized,WI,Fiber,3,97.0,1195,Other / Uncategorized,11285.0,2751880-1
143729,984189,SHOREWOOD SCHOOL DISTRICT,132886,401,"TSR Solutions, Inc.",Other / Uncategorized,WI,Fiber,4,700.0,2059,Other / Uncategorized,14100.0,2758727-1
143767,983996,LINN J6 SCHOOL DISTRICT,132836,40,WiscNet,Other / Uncategorized,WI,Fiber,2,100.0,118,Other / Uncategorized,6500.04,2776096-1
143797,983953,HOLMEN SCHOOL DISTRICT,133322,1177,WiscNet,Other / Uncategorized,WI,Fiber,8,1000.0,3829,Other / Uncategorized,15600.0,2777750-1
143802,983994,LINN J4 SCHOOL DISTRICT,132840,57,WiscNet,Other / Uncategorized,WI,Fiber,2,100.0,111,Other / Uncategorized,6500.04,2780350-1
143802,983994,LINN J4 SCHOOL DISTRICT,132840,57,WiscNet,Other / Uncategorized,WI,Fiber,2,100.0,111,Other / Uncategorized,6500.04,2780350-1
143861,984160,ROSENDALE-BRANDON SCHOOL DISTRICT,133500,261,"Charter Fiberlink CCO, LLC",Fiber,WI,Fiber,3,50.0,1052,Fiber,13200.0,2779456-1
143865,983773,BROWN DEER SCHOOL DISTRICT,132898,667,"Time Warner Cable Information Services (Wisconsin), LLC",Fiber,WI,Fiber,4,500.0,1622,Fiber,14850.0,2773393-1
143881,983953,HOLMEN SCHOOL DISTRICT,133322,1177,"Charter Fiberlink CC VIII, LLC",Fiber,WI,Fiber,8,1000.0,3829,Fiber,10182.857142857143,2778644-1
143881,983953,HOLMEN SCHOOL DISTRICT,133322,1177,"Charter Fiberlink CC VIII, LLC",Fiber,WI,Fiber,8,1000.0,3829,Fiber,10182.857142857143,2778644-1
144124,882469,LITTLE ROCK SCHOOL DISTRICT,139544,18050,"Windstream Communications, Inc.",Other / Uncategorized,AR,Fiber,480,1000.0,25097,Fiber,81828.0,2747442-1
144131,882469,LITTLE ROCK SCHOOL DISTRICT,139544,18050,"Unite Private Networks, LLC",Fiber,AR,Fiber,480,1000.0,25097,Fiber,20319.78,2735842-1
144268,883859,ROMOLAND ELEM,143760,2457,"Sunesys, LLC",Fiber,CA,Fiber,313,1000.0,3233,Fiber,24000.0,2738174-1
144268,883859,ROMOLAND ELEM,143760,2457,"Sunesys, LLC",Fiber,CA,Fiber,313,1000.0,3233,Fiber,24000.0,2738174-1
144417,883093,CHATOM UNION,144429,528,Pacific Bell Telephone Company,Fiber,CA,Fiber,312,100.0,659,Fiber,12000.0,2777104-2
144418,883093,CHATOM UNION,144429,528,Pacific Bell Telephone Company,Fiber,CA,Fiber,312,100.0,659,Fiber,13373.4,2777104-1
144419,883093,CHATOM UNION,144429,528,Stanislaus County Office of Education,Other / Uncategorized,CA,Fiber,312,100.0,659,Other / Uncategorized,10000.0,2777124-1
144791,884342,WEST HAVEN SCHOOL DISTRICT,122536,3075,Comcast Business Communications,Fiber,CT,Fiber,11,1000.0,6019,Fiber,20425.756363636363,2783218-1
146098,902114,MUNCIE COMMUNITY SCHOOLS,130582,4932,"ENA Services, LLC",Fiber,IN,Fiber,17,1000.0,6784,Fiber,126000.0,2726137-1
146099,902082,M S D LAWRENCE TOWNSHIP,130282,8911,"ENA Services, LLC",Fiber,IN,Fiber,1,5000.0,15118,Fiber,309600.0,2722808-1
146120,902084,LEBANON COMMUNITY SCHOOL CORP,130201,1550,"ENA Services, LLC",Fiber,IN,Fiber,6,50.0,3557,Fiber,21840.0,2783159-1
146161,902178,ROSSVILLE CON SCHOOL DISTRICT,130207,255,Wintek Corporation,Fiber,IN,Fiber,5,200.0,1005,Fiber,27600.0,2783537-1
146230,903541,HUTCHINSON PUBLIC SCHOOLS,138013,3266,"Zayo Group, LLC",Fiber,KS,Fiber,11,500.0,5123,Fiber,60600.0,2781773-1
146230,903541,HUTCHINSON PUBLIC SCHOOLS,138013,3266,"Zayo Group, LLC",Fiber,KS,Fiber,11,500.0,5123,Fiber,60600.0,2781773-1
146230,903541,HUTCHINSON PUBLIC SCHOOLS,138013,3266,"Zayo Group, LLC",Fiber,KS,Fiber,11,500.0,5123,Fiber,60600.0,2781773-1
146231,903541,HUTCHINSON PUBLIC SCHOOLS,138013,3266,"Zayo Group, LLC",Fiber,KS,Fiber,11,1000.0,5123,Fiber,5454.545454545455,2781793-1
146235,903641,FLINTHILLS,137898,115,"KanREN, Inc.",Fiber,KS,Fiber,2,100.0,282,Fiber,29075.04,2781312-1
146460,919689,GIBRALTAR SCHOOL DISTRICT,130923,1096,Michigan Bell Telephone Company,Fiber,MI,Fiber,11,200.0,3730,Fiber,11202.72,2780820-1
146516,919720,HARPER WOODS THE SCHOOL DISTRICT OF THE CITY OF,130957,1174,Michigan Bell Telephone Company,Fiber,MI,Fiber,11,2500.0,1505,Fiber,18000.0,2782618-1
146698,922713,NORTH ST PAUL-MAPLEWOOD SCHOOL DIST,133560,5193,TIES (Technology and Information Educational Services),Fiber,MN,Fiber,19,200.0,10855,Fiber,29238.0,2777273-1
146711,922699,MOUNDS VIEW PUBLIC SCHOOL DISTRICT,133564,3198,TIES (Technology and Information Educational Services),Fiber,MN,Fiber,16,200.0,10431,Fiber,47940.0,2773878-1
146786,922509,ALBERT LEA PUBLIC SCHOOL DISTRICT,133765,1670,TIES (Technology and Information Educational Services),Fiber,MN,Fiber,8,400.0,3327,Fiber,38877.96,2767572-1
146787,922509,ALBERT LEA PUBLIC SCHOOL DISTRICT,133765,1670,TIES (Technology and Information Educational Services),Fiber,MN,Fiber,8,1000.0,3327,Fiber,21317.14285714286,2767583-1
147042,924560,SPRINGFIELD R-XII,137538,13168,City Utilities of Springfield,Fiber,MO,Fiber,89,5.0,25545,Fiber,150.0,2767701-6
147042,924560,SPRINGFIELD R-XII,137538,13168,City Utilities of Springfield,Fiber,MO,Fiber,89,5.0,25545,Fiber,150.0,2767701-6
147043,924560,SPRINGFIELD R-XII,137538,13168,City Utilities of Springfield,Fiber,MO,Fiber,89,5.0,25545,Fiber,150.0,2767701-5
147043,924560,SPRINGFIELD R-XII,137538,13168,City Utilities of Springfield,Fiber,MO,Fiber,89,5.0,25545,Fiber,150.0,2767701-5
147044,924560,SPRINGFIELD R-XII,137538,13168,City Utilities of Springfield,Fiber,MO,Fiber,89,10000.0,25545,Fiber,2200.0,2767701-3
147044,924560,SPRINGFIELD R-XII,137538,13168,City Utilities of Springfield,Fiber,MO,Fiber,89,10000.0,25545,Fiber,2200.0,2767701-3
147045,924560,SPRINGFIELD R-XII,137538,13168,City Utilities of Springfield,Fiber,MO,Fiber,89,0.056,25545,Cable / DSL,0,2767701-4
147045,924560,SPRINGFIELD R-XII,137538,13168,City Utilities of Springfield,Fiber,MO,Fiber,89,0.056,25545,Cable / DSL,0,2767701-4
147046,924560,SPRINGFIELD R-XII,137538,13168,City Utilities of Springfield,Fiber,MO,Fiber,89,10000.0,25545,Fiber,26400.0,2767701-1
147047,924560,SPRINGFIELD R-XII,137538,13168,City Utilities of Springfield,Fiber,MO,Fiber,89,1000.0,25545,Fiber,10800.0,2767701-2
147053,926651,MARSHALL CO SCHOOL DIST,128538,3053,"CONTACT NETWORK, LLC",Fiber,MS,Fiber,7,400.0,3454,Fixed Wireless,27300.0,2775724-1
147053,926651,MARSHALL CO SCHOOL DIST,128538,3053,"CONTACT NETWORK, LLC",Fiber,MS,Fiber,7,400.0,3454,Fixed Wireless,27300.0,2775724-1
147054,926651,MARSHALL CO SCHOOL DIST,128538,3053,"Telepak Networks, Inc.",Fiber,MS,Fiber,7,500.0,3454,Fiber,51900.0,2775767-1
147109,936041,CENTRAL CITY PUBLIC SCHOOLS,138757,316,Nebraska Link LLC,Fiber,NE,Fiber,11,100.0,730,Fiber,22651.68,2783220-1
147154,937609,MANCHESTER SCHOOL DISTRICT,120931,7545,Comcast Business Communications,Fiber,NH,Fiber,45,200.0,14452,Fiber,15000.0,2766437-2
147155,937609,MANCHESTER SCHOOL DISTRICT,120931,7545,Comcast Business Communications,Fiber,NH,Fiber,45,100.0,14452,Fiber,15000.0,2766437-1
147157,937609,MANCHESTER SCHOOL DISTRICT,120931,7545,Comcast Business Communications,Fiber,NH,Fiber,45,100.0,14452,Cable / DSL,2819.6828571428573,2766495-1
147159,937609,MANCHESTER SCHOOL DISTRICT,120931,7545,"Single Digits, Inc",Fixed Wireless,NH,Fiber,45,75.0,14452,Fixed Wireless,12978.36,2766408-1
147159,937609,MANCHESTER SCHOOL DISTRICT,120931,7545,"Single Digits, Inc",Fixed Wireless,NH,Fiber,45,75.0,14452,Fixed Wireless,12978.36,2766408-1
147170,937540,GOFFSTOWN SCHOOL DISTRICT,120880,451,"Comcast Cable Communications, LLC",Cable / DSL,NH,Fiber,11,100.0,2284,Cable / DSL,2194.2,2781260-1
147170,937540,GOFFSTOWN SCHOOL DISTRICT,120880,451,"Comcast Cable Communications, LLC",Cable / DSL,NH,Fiber,11,100.0,2284,Cable / DSL,2194.2,2781260-1
147403,943387,ESMERALDA COUNTY SCHOOL DISTRICT,143390,37,Nevada Bell Telephone Company,Copper,NV,Fixed Wireless,15,1.5,67,Copper,4974.0,2765574-1
147405,943387,ESMERALDA COUNTY SCHOOL DISTRICT,143390,37,"WESTNET NEVADA, LLC",Fixed Wireless,NV,Fixed Wireless,15,10.0,67,Fixed Wireless,12000.0,2765576-1
147981,952252,LA GRANDE SD 1,145135,1202,Inland Development Corporation,Fiber,OR,Fiber,7,1000.0,2129,Fiber,12600.0,2726899-1
147991,952198,DOUGLAS COUNTY SD 15,145001,150,Douglas Sevices Inc,Fiber,OR,Fiber,1,100.0,209,Fiber,14259.6,2735730-1
148211,959632,WARWICK,120826,3230,Oshean Inc,Other / Uncategorized,RI,Fiber,25,1000.0,9675,Other / Uncategorized,36000.0,2781149-1
148212,959614,JOHNSTON,120852,1124,Oshean Inc,Other / Uncategorized,RI,Fiber,8,500.0,3029,Other / Uncategorized,20808.0,2777788-1
148286,967083,COCKE COUNTY,128375,3712,"ENA Services, LLC",Fiber,TN,Fiber,31,500.0,4810,Fiber,111000.0,2765764-3
148312,967184,POLK COUNTY,128269,1873,"ENA Services, LLC",Fiber,TN,Fiber,7,200.0,2653,Fiber,108000.0,2773260-3
148314,967184,POLK COUNTY,128269,1873,"ENA Services, LLC",Fiber,TN,Fiber,7,100.0,2653,Fiber,18000.0,2773260-1
148315,967143,LAWRENCE COUNTY,128499,4041,"ENA Services, LLC",Fiber,TN,Fiber,26,150.0,6852,Fiber,60000.0,2781546-3
148320,967138,JOHNSON COUNTY,128333,1614,"ENA Services, LLC",Fiber,TN,Fiber,17,500.0,2329,Fiber,150000.0,2782690-3
148333,969495,HUBBARD ISD,141108,258,"Windstream Communications, LLC",Fiber,TX,Fiber,1,100.0,384,Fiber,34200.0,2732824-1
148565,970140,UTOPIA ISD,141782,93,Southwest Texas Telephone Co,Fiber,TX,Fiber,1,50.0,214,Fiber,147647.8,2782852-1
149055,983756,BOSCOBEL AREA SCHOOL DISTRICT,133028,505,WiscNet,Other / Uncategorized,WI,Fiber,2,96.0,849,Other / Uncategorized,8000.04,2781207-1
149055,983756,BOSCOBEL AREA SCHOOL DISTRICT,133028,505,WiscNet,Other / Uncategorized,WI,Fiber,2,96.0,849,Other / Uncategorized,8000.04,2781207-1
149078,983958,HOWARDS GROVE SCHOOL DISTRICT,132788,145,WiscNet,Other / Uncategorized,WI,Fiber,2,100.0,870,Other / Uncategorized,8400.0,2781857-1
149082,983875,EDGAR SCHOOL DISTRICT,133211,179,WiscNet,Other / Uncategorized,WI,Fiber,3,63.0,648,Other / Uncategorized,7500.0,2782905-1
149121,882783,TANANA CITY SCHOOL DISTRICT,145657,0,GCI Communication Corp,Other / Uncategorized,AK,Fiber,1,10.0,49,Fiber,452088.0,2736947-1
149327,883711,MT. DIABLO UNF,144178,14358,Pacific Bell Telephone Company,Fiber,CA,Fiber,359,100.0,32001,Fiber,8695.0,2784040-1
149377,882749,BAKER VALLEY UNF,143713,163,"LasVegas.Net, LLC",Fixed Wireless,CA,Fiber,319,50.0,187,Fixed Wireless,45120.0,2785370-1
149377,882749,BAKER VALLEY UNF,143713,163,"LasVegas.Net, LLC",Fixed Wireless,CA,Fiber,319,50.0,187,Fixed Wireless,45120.0,2785370-1
151462,922829,MESABI EAST SCHOOL DISTRICT,133646,418,Northeast Service Cooperative,Fiber,MN,Fiber,1,200.0,942,Fiber,21636.0,2784159-1
151472,922779,NETT LAKE PUBLIC SCHOOL DISTRICT,133687,53,Northeast Service Cooperative,Fiber,MN,Fiber,1,100.0,130,Fiber,11202.0,2783792-1
152216,952313,ROGUE RIVER SD 35,16048801,530,"Hunter Communications, Inc.",Fiber,OR,Fiber,7,100.0,907,Fiber,6756.0,2766617-1
152223,952279,NORTH CLACKAMAS SD 12,144913,7622,County of Clackamas,Fiber,OR,Fiber,36,1000.0,17048,Fiber,3060.0,2775335-1
152711,969967,SAINT JO ISD,140948,129,Muenster Telephone Corporation of Texas,Fiber,TX,Fiber,25,50.0,282,Fiber,15000.0,2784839-1
152803,969624,LEXINGTON ISD,141794,404,"Greasy Bend Ventures, Inc.",Fiber,TX,Cable / DSL,2,100.0,915,Fixed Wireless,46800.0,2769969-1
152979,984268,WAUZEKA-STEUBEN SCHOOL DISTRICT,133046,200,WiscNet,Other / Uncategorized,WI,,1,96.0,326,Other / Uncategorized,6500.04,2783953-1
152980,984060,RIVERDALE SCHOOL DISTRICT,132982,365,WiscNet,Other / Uncategorized,WI,Fiber,2,100.0,666,Other / Uncategorized,7500.0,2784121-1
153039,984288,WHEATLAND J1 SCHOOL DISTRICT,132806,171,Time Warner Cable Wisconsin,Fiber,WI,Cable / DSL,1,100.0,402,Cable / DSL,19716.0,2784313-1
153149,883523,JANESVILLE UNION ELEM,144790,131,CITIZENS TELECOMM CO OF CA,Fiber,CA,Fiber,308,100.0,357,Fiber,18234.12,2756185-1
153163,884198,CHESHIRE SCHOOL DISTRICT,122450,334,"Cox Connecticut Telcom, LLC",Cable / DSL,CT,Fiber,14,50.0,4655,Cable / DSL,4559.88,2783810-1
154567,922749,ROBBINSDALE PUBLIC SCHOOL DISTRICT,133633,5930,TIES (Technology and Information Educational Services),Fiber,MN,Fiber,2,10000.0,12409,Fiber,71836.0,2777350-1
154571,922771,SPRING LAKE PARK PUBLIC SCHOOLS,133635,2150,TIES (Technology and Information Educational Services),Fiber,MN,Fiber,3,150.0,5502,Fiber,55548.0,2767420-1
154574,922554,CENTENNIAL PUBLIC SCHOOL DISTRICT,133518,1274,TIES (Technology and Information Educational Services),Fiber,MN,Insufficient data,2,500.0,6503,Fiber,36150.0,2746315-1
154751,983953,HOLMEN SCHOOL DISTRICT,133322,1177,"Charter Fiberlink CC VIII, LLC",Fiber,WI,Fiber,8,1000.0,3829,Fiber,9600.0,2785711-1
154756,881780,LAWRENCE COUNTY SCHOOL DISTRICT,16038738,758,"E. Ritter Communications Holdings, Inc.",Fiber,AR,Fiber,365,70.0,1193,Fiber,12600.0,2756678-1
154757,881780,LAWRENCE COUNTY SCHOOL DISTRICT,16038738,758,"TCA Communications, LLC",Fiber,AR,Fiber,365,30.0,1193,Fiber,16801.2,2756633-1
154765,883529,JEFFERSON ELEM,144425,695,"Comcast Phone, LLC",Fiber,CA,Fiber,172,1000.0,9504,Fiber,13932.0,2782010-1
154932,922780,ST. LOUIS PARK PUBLIC SCHOOL DIST.,133632,1579,TIES (Technology and Information Educational Services),Fiber,MN,Fiber,1,150.0,4677,Fiber,45156.0,2785723-1
155094,882842,YELLVILLE-SUMMIT SCHOOL DIST.,139666,549,Yelcot Telephone Company,Fiber,AR,Fiber,365,150.0,791,Fiber,20176.56,2721296-1
155741,883479,HOPE ELEM,143832,275,"Cox California Telcom, LLC",Fiber,CA,Fiber,311,50.0,986,Fiber,3628.8,2786089-1
155741,883479,HOPE ELEM,143832,275,"Cox California Telcom, LLC",Fiber,CA,Fiber,311,50.0,986,Fiber,3628.8,2786089-1
155778,883179,CULVER CITY UNF,143467,2526,Pacific Bell Telephone Company,Fiber,CA,Fiber,311,100.0,6741,Fiber,9331.0,2782325-1
155780,883368,FULLERTON JOINT UNION HIGH,143793,5443,Pacific Bell Telephone Company,Fiber,CA,Fiber,325,10000.0,14608,Fiber,24330.24,2776515-1
155817,883054,CARDIFF ELEM,143630,115,Pacific Bell Telephone Company,Fiber,CA,Fiber,310,100.0,763,Fiber,7594.32,2719258-1
155977,884277,NORWICH SCHOOL DISTRICT,122418,2640,Norwich Public Utilities,Fiber,CT,Fiber,12,1000.0,3793,Fiber,10596.923076923076,2780842-1
157875,922694,MOOSE LAKE PUBLIC SCHOOL DISTRICT,133683,229,Northeast Service Cooperative,Fiber,MN,Fiber,1,100.0,657,Fiber,18450.0,2787148-1
157897,922519,BARNUM PUBLIC SCHOOL DISTRICT,133649,308,Savage Communications Inc.,Fiber,MN,Fiber,1,60.0,797,Fiber,8400.0,2786565-1
157900,922809,WAYZATA PUBLIC SCHOOL DISTRICT,133623,1632,TIES (Technology and Information Educational Services),Fiber,MN,Fiber,2,250.0,10785,Fiber,56928.0,2784409-1
157933,924282,HOLLIDAY C-2,137352,29,"Windstream Communications, LLC",Fiber,MO,Fiber,1,10.0,90,Fiber,12720.0,2786060-1
157978,929022,LOCKWOOD ELEM,134785,564,"Bresnan Communications, LLC",Fiber,MT,Fiber,4,100.0,1211,Fiber,14800.0,2783851-1
158816,950018,ROCK HILL LOCAL,130025,1007,South Central Ohio Computer Association,Fiber,OH,Fiber,1,500.0,1462,Fiber,33327.0,2787248-1
159553,959611,FOSTER-GLOCESTER,120773,228,Oshean Inc,Other / Uncategorized,RI,Fiber,3,300.0,2028,Other / Uncategorized,18000.0,2786530-1
159624,967209,TULLAHOMA,128309,1855,"ENA Services, LLC",Fiber,TN,Fiber,15,300.0,3473,Fiber,87000.0,2761133-3
159880,969175,CITY VIEW ISD,140957,644,"Time Warner Cable Information Services (Texas), LLC",Fiber,TX,Fiber,26,100.0,975,Fiber,28440.0,2741514-1
160041,983853,KETTLE MORAINE SCHOOL DISTRICT,132865,501,CenturyLink CenturyTel of the Midwest-Wisconsin (Northwest),Other / Uncategorized,WI,Fiber,4,6.0,4196,Cable / DSL,839.4,2787002-1
160079,882811,CHUGACH SCHOOL DISTRICT,145552,0,GCI Communication Corp,Other / Uncategorized,AK,Fiber,6,10.5,310,Fiber,133920.0,2789811-4
160080,882811,CHUGACH SCHOOL DISTRICT,145552,0,GCI Communication Corp,Other / Uncategorized,AK,Fiber,6,10.0,310,Fiber,137192.0,2789811-3
160081,882811,CHUGACH SCHOOL DISTRICT,145552,0,GCI Communication Corp,Other / Uncategorized,AK,Fiber,6,10.0,310,Fixed Wireless,234000.0,2789811-2
160184,882265,GRAVETTE SCHOOL DISTRICT,139675,965,"Cox Arkansas Telecom, LLC",Fiber,AR,Fiber,227,100.0,1872,Fiber,43200.0,2786958-1
160198,882296,GURDON SCHOOL DISTRICT,139399,610,"TCA Communications, LLC",Fiber,AR,Fiber,245,30.0,800,Fiber,31200.0,2745531-1
160198,882296,GURDON SCHOOL DISTRICT,139399,610,"TCA Communications, LLC",Fiber,AR,Fiber,245,30.0,800,Fiber,31200.0,2745531-1
160558,883887,SAN LEANDRO UNF,144221,5664,Pacific Bell Telephone Company,Fiber,CA,Fiber,333,10000.0,8704,Fiber,75581.16,2789117-1
160559,883887,SAN LEANDRO UNF,144221,5664,Alameda County Office of Education,Other / Uncategorized,CA,Fiber,333,10000.0,8704,Other / Uncategorized,135000.0,2789107-1
160566,883617,LIVINGSTON UNION ELEM,144380,2349,"Conterra Wireless Broadband, LLC",Fiber,CA,Fiber,312,100.0,2578,Fixed Wireless,26245.68,2789010-1
160628,883571,LA HABRA CITY ELEM,143513,3495,"Time Warner Cable Information Services (California), LLC",Fiber,CA,Fiber,317,1000.0,5251,Fiber,15540.0,2763374-1
161970,901649,CCSD 168,135510,1183,Comcast Business Communications,Fiber,IL,Fiber,2,200.0,1561,Fiber,119700.0,2779685-1
161998,901525,PALESTINE CUSD 3,136571,145,"MCC Telephony, LLC",Fiber,IL,Fiber,4,10.0,377,Fiber,10200.0,2722534-1
161998,901525,PALESTINE CUSD 3,136571,145,"MCC Telephony, LLC",Fiber,IL,Fiber,4,10.0,377,Fiber,10200.0,2722534-1
162000,901525,PALESTINE CUSD 3,136571,145,"MCC Telephony, LLC",Fiber,IL,Fiber,4,10.0,377,Fiber,10200.0,2722618-1
162299,909711,BOSSIER PARISH,139295,9799,"Cebridge Telecom LA, LLC",Fiber,LA,Fiber,40,1000.0,21459,Fiber,10800.0,2747953-1
162300,909711,BOSSIER PARISH,139295,9799,Detel Wireless,Fiber,LA,Fiber,40,2000.0,21459,Fiber,239988.0,2747940-1
162557,919148,CRESTWOOD SCHOOL DISTRICT,130875,2246,Michigan Bell Telephone Company,Fiber,MI,Fiber,11,2500.0,3436,Fiber,18000.0,2789382-1
162674,922764,SEBEKA PUBLIC SCHOOL DISTRICT,133960,265,West Central Telephone Assn.,Fiber,MN,Fiber,3,100.0,508,Fiber,8502.96,2788932-1
162963,942905,GADSDEN INDEPENDENT SCHOOLS,143317,13799,"Conterra Ultra Broadband, LLC",Fiber,NM,Fiber,71,1000.0,13957,Fiber,33847.63636363637,2789376-1
162975,942905,GADSDEN INDEPENDENT SCHOOLS,143317,13799,CenturyLink Qwest Corporation,Fiber,NM,Fiber,71,155.5,13957,Fiber,38540.4,2765165-1
162977,942905,GADSDEN INDEPENDENT SCHOOLS,143317,13799,CenturyLink Qwest Corporation,Fiber,NM,Fiber,71,45.0,13957,Copper,12246.68,2765165-2
162979,942905,GADSDEN INDEPENDENT SCHOOLS,143317,13799,CenturyLink Qwest Corporation,Fiber,NM,Fiber,71,45.0,13957,Copper,2780.16,2765165-3
163808,951728,TEXHOMA,140027,121,"Panhandle Telephone Cooperative, Inc.",Fiber,OK,Fiber,24,100.0,219,Fiber,37926.84,2772337-1
163845,952354,WINSTON-DILLARD SD 116,145042,883,Douglas Sevices Inc,Fiber,OR,Fiber,6,1000.0,1447,Fiber,9618.0,2789456-1
163845,952354,WINSTON-DILLARD SD 116,145042,883,Douglas Sevices Inc,Fiber,OR,Fiber,6,1000.0,1447,Fiber,9618.0,2789456-1
164187,967112,HARDEMAN COUNTY,128416,3352,"ENA Services, LLC",Fiber,TN,Fiber,11,200.0,4058,Fiber,78000.0,2786751-4
164193,967182,PICKETT COUNTY,128511,453,"ENA Services, LLC",Fiber,TN,Fiber,1,100.0,756,Fiber,88800.0,2778221-1
164437,975508,BUCKINGHAM CO PBLC SCHS,126564,1489,"Kinex Telecom, Inc",Fiber,VA,Fiber,11,100.0,2121,Fiber,26200.0,2750246-1
164646,984226,TOMAH AREA SCHOOL DISTRICT,133338,1406,CenturyLink CenturyTel of the Midwest-Wisconsin (Northwest),Other / Uncategorized,WI,Fiber,15,20.0,3088,Other / Uncategorized,5760.0,2788422-4
164647,984226,TOMAH AREA SCHOOL DISTRICT,133338,1406,CenturyLink CenturyTel of the Midwest-Wisconsin (Northwest),Other / Uncategorized,WI,Fiber,15,20.0,3088,Other / Uncategorized,7404.0,2788422-3
164648,984226,TOMAH AREA SCHOOL DISTRICT,133338,1406,CenturyLink CenturyTel of the Midwest-Wisconsin (Northwest),Other / Uncategorized,WI,Fiber,15,100.0,3088,Fiber,9972.0,2788422-2
164648,984226,TOMAH AREA SCHOOL DISTRICT,133338,1406,CenturyLink CenturyTel of the Midwest-Wisconsin (Northwest),Other / Uncategorized,WI,Fiber,15,100.0,3088,Fiber,9972.0,2788422-2
164649,984226,TOMAH AREA SCHOOL DISTRICT,133338,1406,CenturyLink CenturyTel of the Midwest-Wisconsin (Northwest),Other / Uncategorized,WI,Fiber,15,1000.0,3088,Fiber,4466.1,2788422-1
164678,983990,LAKE MILLS AREA SCHOOL DISTRICT,132956,377,WiscNet,Other / Uncategorized,WI,Fiber,4,100.0,1418,Other / Uncategorized,9000.0,2789915-1
164678,983990,LAKE MILLS AREA SCHOOL DISTRICT,132956,377,WiscNet,Other / Uncategorized,WI,Fiber,4,100.0,1418,Other / Uncategorized,9000.0,2789915-1
164685,984043,MILWAUKEE SCHOOL DISTRICT,132882,64426,"Time Warner Cable Information Services (Wisconsin), LLC",Fiber,WI,Fiber,171,4000.0,78363,Fiber,84636.0,2770020-1
164688,983926,GRAFTON SCHOOL DISTRICT,132729,371,WiscNet,Other / Uncategorized,WI,Fiber,3,500.0,2124,Other / Uncategorized,16000.08,2766873-1
164689,984043,MILWAUKEE SCHOOL DISTRICT,132882,64426,"Time Warner Cable Information Services (Wisconsin), LLC",Fiber,WI,Fiber,171,75000.0,78363,Fiber,540000.0,2757487-5
164690,984043,MILWAUKEE SCHOOL DISTRICT,132882,64426,"Time Warner Cable Information Services (Wisconsin), LLC",Fiber,WI,Fiber,171,10000.0,78363,Fiber,90000.0,2757487-4
164691,984043,MILWAUKEE SCHOOL DISTRICT,132882,64426,"Time Warner Cable Information Services (Wisconsin), LLC",Fiber,WI,Fiber,171,2000.0,78363,Fiber,30000.0,2757487-3
164692,984043,MILWAUKEE SCHOOL DISTRICT,132882,64426,"Time Warner Cable Information Services (Wisconsin), LLC",Fiber,WI,Fiber,171,1000.0,78363,Fiber,21000.0,2757487-2
164693,984043,MILWAUKEE SCHOOL DISTRICT,132882,64426,"Time Warner Cable Information Services (Wisconsin), LLC",Fiber,WI,Fiber,171,500.0,78363,Fiber,19500.0,2757487-1
164714,882721,ANNETTE ISLAND SCHOOL DISTRICT,145693,204,GCI Communication Corp,Other / Uncategorized,AK,Fiber,1,40.0,292,Fiber,112956.0,2769309-1
164851,881622,SO. MISS. COUNTY SCHOOL DIST.,139576,1039,"E. Ritter Communications Holdings, Inc.",Fiber,AR,Insufficient data,243,150.0,1356,Fiber,0,2755968-1
164856,882710,RUSSELLVILLE SCHOOL DISTRICT,139690,3035,"TCA Communications, LLC",Fiber,AR,Fiber,383,1000.0,5222,Fiber,5400.0,2784362-1
164858,882710,RUSSELLVILLE SCHOOL DISTRICT,139690,3035,CenturyLink CenturyTel of Russellville,Cable / DSL,AR,Fiber,383,1000.0,5222,Fiber,51480.0,2784366-1
