,ID,Denial Narratives for FRNs,Denial Narratives for Applicatons,DR1,fcdl_comment_cleaned,fcdl_comment_array
49,50,"DR1:The Category Two budget for BEN 203442 is $41,250.00. Your total requested Category Two pre-discount funding amount for BEN 203442 exceeds this entityâ€™s Category Two Budget by: $24,421.32. This funding request is being denied because you have not authorized sufficient modifications to the Category Two funding requests to bring this BEN within its allowable Category Two budget.",,Category 2 budget exceeded,dr1 category two budget ben 203442 41 250 00 total requested category two pre discount funding amount ben 203442 exceeds entityâ€™s category two budget 24 421 32 funding request denied authorized sufficient modifications category two funding requests bring ben within allowable category two budget,"['dr1', 'category', 'two', 'budget', 'ben', '203442', '41', '250', '00', 'total', 'requested', 'category', 'two', 'pre', 'discount', 'funding', 'amount', 'ben', '203442', 'exceeds', 'entityâ€™s', 'category', 'two', 'budget', '24', '421', '32', 'funding', 'request', 'denied', 'authorized', 'sufficient', 'modifications', 'category', 'two', 'funding', 'requests', 'bring', 'ben', 'within', 'allowable', 'category', 'two', 'budget']"
50,51,DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): missing form 470,,Missing form 470,dr1 applicant provided sufficient documentation needed determine eligibility following item missing form 470,"['dr1', 'applicant', 'provided', 'sufficient', 'documentation', 'needed', 'determine', 'eligibility', 'following', 'item', 'missing', 'form', '470']"
51,52,"DR1:The service type of this FRN is Voice Services. According to the FCC Order 14-99, all Voice Services are subject to a phase down of support beginning in Funding Year 2015. Therefore, this FRNâ€™s reduced discount rate is 0% and this FRN is denied.",MR1:The applicant did not submit any RAL corrections.,Voice - no discount remaining,dr1 service type frn voice services according fcc order 14 99 voice services subject phase support beginning funding year 2015 therefore frnâ€™s reduced discount rate 0 frn denied,"['dr1', 'service', 'type', 'frn', 'voice', 'services', 'according', 'fcc', 'order', '14', '99', 'voice', 'services', 'subject', 'phase', 'support', 'beginning', 'funding', 'year', '2015', 'therefore', 'frnâ€™s', 'reduced', 'discount', 'rate', '0', 'frn', 'denied']"
52,53,DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): vendor documentation which supports the funding request amount of $368.00/mo Recurring Charges for Cellular Voice including Data and/or Text Messaging.,MR1:The discount percentage of this FCC Form 471 application was reduced from 80% to 70% to a level that could be validated by third party data.,Ineligible Service,dr1 applicant provided sufficient documentation needed determine eligibility following item vendor documentation supports funding request amount 368 00 mo recurring charges cellular voice including data text messaging,"['dr1', 'applicant', 'provided', 'sufficient', 'documentation', 'needed', 'determine', 'eligibility', 'following', 'item', 'vendor', 'documentation', 'supports', 'funding', 'request', 'amount', '368', '00', 'mo', 'recurring', 'charges', 'cellular', 'voice', 'including', 'data', 'text', 'messaging']"
53,54,"DR1:The service type on this FRN is listed as 2. However; the products or services being requested are Internal Connection and will be treated as such. This FRN is denied because the FCC Form 470 that established the competitive bidding process for this FRN did not include Internal Connection and therefore it does not meet the 28 day competitive bidding requirement.;MR1:The amount of the funding request was changed from $34,878.59 to $32,538.59 remove the ineligible service(s): Intelligent Power Manager for $2,340.00.",MR1:The applicant did not submit any RAL corrections.,Ineligible Service,dr1 service type frn listed 2 however products services requested internal connection treated frn denied fcc form 470 established competitive bidding process frn include internal connection therefore meet 28 day competitive bidding requirement mr1 amount funding request changed 34 878 59 32 538 59 remove ineligible service intelligent power manager 2 340 00,"['dr1', 'service', 'type', 'frn', 'listed', '2', 'however', 'products', 'services', 'requested', 'internal', 'connection', 'treated', 'frn', 'denied', 'fcc', 'form', '470', 'established', 'competitive', 'bidding', 'process', 'frn', 'include', 'internal', 'connection', 'therefore', 'meet', '28', 'day', 'competitive', 'bidding', 'requirement', 'mr1', 'amount', 'funding', 'request', 'changed', '34', '878', '59', '32', '538', '59', 'remove', 'ineligible', 'service', 'intelligent', 'power', 'manager', '2', '340', '00']"
54,55,"DR1:The FRN is denied because the entities requesting service within the FRN, 17010565, do not meet the statutory definition of elementary and secondary schools to receive Universal Service Fund support.","MR1:Village Prep 17010565 has been removed from the FCC Form 471 application due to the entity is ineligible to receive funding.;MR2:Village Prep Willard 16079740 has been removed from the FCC Form 471 application due to the entity is ineligible to receive funding.;MR3:Entrepreneurship 16079739 has been removed from the FCC Form 471 application due to the entity is ineligible to receive funding.;MR4:RAL change implemented on your FCC Form 471, entity modification, is in accordance with your RAL request.",Applicant ineligible,dr1 frn denied entities requesting service within frn 17010565 meet statutory definition elementary secondary schools receive universal service fund support,"['dr1', 'frn', 'denied', 'entities', 'requesting', 'service', 'within', 'frn', '17010565', 'meet', 'statutory', 'definition', 'elementary', 'secondary', 'schools', 'receive', 'universal', 'service', 'fund', 'support']"
55,56,"DR1:FCC Rules require applicants to carefully consider all bids submitted by service providers and to choose the most cost effective solution. Documentation provided demonstrates that the applicant did not consider all of the bids that were submitted. Therefore, the applicant has violated the competitive bidding program rules.",,Competitive Bidding Violation,dr1 fcc rules require applicants carefully consider bids submitted service providers choose cost effective solution documentation provided demonstrates applicant consider bids submitted therefore applicant violated competitive bidding program rules,"['dr1', 'fcc', 'rules', 'require', 'applicants', 'carefully', 'consider', 'bids', 'submitted', 'service', 'providers', 'choose', 'cost', 'effective', 'solution', 'documentation', 'provided', 'demonstrates', 'applicant', 'consider', 'bids', 'submitted', 'therefore', 'applicant', 'violated', 'competitive', 'bidding', 'program', 'rules']"
56,57,DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): Vendor documentation never received for Cellular Voice including Data and/or Text Messaging.;DR2:The FRN is denied because the applicant failed to respond to the Administratorâ€™s Information Request. Documentation was not provided to determine if the request for data plans is eligible. Data plans or air cards are ineligible unless applicants can demonstrate either that installing a wireless local area network is not physically possible or that individual data plans are the most cost-effective option.,MR1:The applicant did not submit any RAL corrections.,Ineligible Service,dr1 applicant provided sufficient documentation needed determine eligibility following item vendor documentation never received cellular voice including data text messaging dr2 frn denied applicant failed respond administratorâ€™s information request documentation provided determine request data plans eligible data plans air cards ineligible unless applicants demonstrate either installing wireless local area network physically possible individual data plans cost effective option,"['dr1', 'applicant', 'provided', 'sufficient', 'documentation', 'needed', 'determine', 'eligibility', 'following', 'item', 'vendor', 'documentation', 'never', 'received', 'cellular', 'voice', 'including', 'data', 'text', 'messaging', 'dr2', 'frn', 'denied', 'applicant', 'failed', 'respond', 'administratorâ€™s', 'information', 'request', 'documentation', 'provided', 'determine', 'request', 'data', 'plans', 'eligible', 'data', 'plans', 'air', 'cards', 'ineligible', 'unless', 'applicants', 'demonstrate', 'either', 'installing', 'wireless', 'local', 'area', 'network', 'physically', 'possible', 'individual', 'data', 'plans', 'cost', 'effective', 'option']"
57,58,DR1:This is a new FRN. It was split from FRN 1699058593. The FRN is denied because product(s) and service(s) being requested are ineligible items and cannot receive funding. This FRN contains the following ineligible product(s) and service(s): text messaging and data charges.,,Ineligible Service,dr1 new frn split frn 1699058593 frn denied product service requested ineligible items cannot receive funding frn contains following ineligible product service text messaging data charges,"['dr1', 'new', 'frn', 'split', 'frn', '1699058593', 'frn', 'denied', 'product', 'service', 'requested', 'ineligible', 'items', 'cannot', 'receive', 'funding', 'frn', 'contains', 'following', 'ineligible', 'product', 'service', 'text', 'messaging', 'data', 'charges']"
58,59,"DR1:The FCC Form 470 that established the competitive bidding process for this FRN did not include service of this type; therefore it does not meet the 28 day competitive bidding requirement.;DR2:The vendor selection documentation created during the bid evaluation period did not clearly demonstrate that the price was the primary evaluation factor considered in selecting the winning service provider's proposal.;MR1:This is a new FRN. It was created because the service type on FRN 1699035413 was listed as Basic Maintenance of Internal Connections. However, the products or services being requested are Internal Connections and will be treated as such.",,Competitive Bidding Violation,dr1 fcc form 470 established competitive bidding process frn include service type therefore meet 28 day competitive bidding requirement dr2 vendor selection documentation created bid evaluation period clearly demonstrate price primary evaluation factor considered selecting winning service provider proposal mr1 new frn created service type frn 1699035413 listed basic maintenance internal connections however products services requested internal connections treated,"['dr1', 'fcc', 'form', '470', 'established', 'competitive', 'bidding', 'process', 'frn', 'include', 'service', 'type', 'therefore', 'meet', '28', 'day', 'competitive', 'bidding', 'requirement', 'dr2', 'vendor', 'selection', 'documentation', 'created', 'bid', 'evaluation', 'period', 'clearly', 'demonstrate', 'price', 'primary', 'evaluation', 'factor', 'considered', 'selecting', 'winning', 'service', 'provider', 'proposal', 'mr1', 'new', 'frn', 'created', 'service', 'type', 'frn', '1699035413', 'listed', 'basic', 'maintenance', 'internal', 'connections', 'however', 'products', 'services', 'requested', 'internal', 'connections', 'treated']"
59,60,"DR1:The service type of this FRN is Voice Services. According to the FCC Order 14-99, all Voice Services are subject to a phase down of support beginning in Funding Year 2015. Therefore, this FRNâ€™s reduced discount rate is 0% and this FRN is denied.;MR1:This FRN is for both Monthly and One time cost and was split in order to conduct an independent review of these respective services. The new FRN for One-Time Cost is 1699137462 and the service provider is Cox Oklahoma Telcom, LLC. The product(s)/service(s) remaining in the original FRN are Recurring cost .",,Voice - no discount remaining,dr1 service type frn voice services according fcc order 14 99 voice services subject phase support beginning funding year 2015 therefore frnâ€™s reduced discount rate 0 frn denied mr1 frn monthly one time cost split order conduct independent review respective services new frn one time cost 1699137462 service provider cox oklahoma telcom llc product service remaining original frn recurring cost,"['dr1', 'service', 'type', 'frn', 'voice', 'services', 'according', 'fcc', 'order', '14', '99', 'voice', 'services', 'subject', 'phase', 'support', 'beginning', 'funding', 'year', '2015', 'therefore', 'frnâ€™s', 'reduced', 'discount', 'rate', '0', 'frn', 'denied', 'mr1', 'frn', 'monthly', 'one', 'time', 'cost', 'split', 'order', 'conduct', 'independent', 'review', 'respective', 'services', 'new', 'frn', 'one', 'time', 'cost', '1699137462', 'service', 'provider', 'cox', 'oklahoma', 'telcom', 'llc', 'product', 'service', 'remaining', 'original', 'frn', 'recurring', 'cost']"
60,61,"DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): Installation, Activation, &amp;amp; Initial Configuration.;MR1:The applicant did not submit any RAL corrections.",MR1:The applicant did not submit any RAL corrections.,Ineligible Service,dr1 applicant provided sufficient documentation needed determine eligibility following item installation activation amp amp initial configuration mr1 applicant submit ral corrections,"['dr1', 'applicant', 'provided', 'sufficient', 'documentation', 'needed', 'determine', 'eligibility', 'following', 'item', 'installation', 'activation', 'amp', 'amp', 'initial', 'configuration', 'mr1', 'applicant', 'submit', 'ral', 'corrections']"
61,62,"DR1:The Category Two budget for BEN 16083636 is $16,050.00. Your total requested Category Two pre-discount funding amount for BEN 16083636 exceeds this entityâ€™s Category Two Budget by: ($17,965.67). This funding request is being denied because you have not authorized sufficient modifications to the Category Two funding requests to bring this BEN within its allowable Category Two budget.",MR1:The applicant did not submit any RAL corrections.,Category 2 budget exceeded,dr1 category two budget ben 16083636 16 050 00 total requested category two pre discount funding amount ben 16083636 exceeds entityâ€™s category two budget 17 965 67 funding request denied authorized sufficient modifications category two funding requests bring ben within allowable category two budget,"['dr1', 'category', 'two', 'budget', 'ben', '16083636', '16', '050', '00', 'total', 'requested', 'category', 'two', 'pre', 'discount', 'funding', 'amount', 'ben', '16083636', 'exceeds', 'entityâ€™s', 'category', 'two', 'budget', '17', '965', '67', 'funding', 'request', 'denied', 'authorized', 'sufficient', 'modifications', 'category', 'two', 'funding', 'requests', 'bring', 'ben', 'within', 'allowable', 'category', 'two', 'budget']"
62,63,"DR1:Thirty percent or more of this FRN includes a request for Chargeable service call which is an ineligible product(s) or service(s) based on Program rules.;DR2:The service type of this FRN is Voice Services. According to the FCC Order 14-99, all Voice Services are subject to a phase down of support beginning in Funding Year 2015. Therefore, this FRNâ€™s reduced discount rate is 0% and this FRN is denied.;MR1:This is a new FRN. It was split from FRN 1699048312.The new FRN contains the following product(s)/service(s):Chargeable Service Call One- time cost..",,Voice - no discount remaining,dr1 thirty percent frn includes request chargeable service call ineligible product service based program rules dr2 service type frn voice services according fcc order 14 99 voice services subject phase support beginning funding year 2015 therefore frnâ€™s reduced discount rate 0 frn denied mr1 new frn split frn 1699048312 new frn contains following product service chargeable service call one time cost,"['dr1', 'thirty', 'percent', 'frn', 'includes', 'request', 'chargeable', 'service', 'call', 'ineligible', 'product', 'service', 'based', 'program', 'rules', 'dr2', 'service', 'type', 'frn', 'voice', 'services', 'according', 'fcc', 'order', '14', '99', 'voice', 'services', 'subject', 'phase', 'support', 'beginning', 'funding', 'year', '2015', 'therefore', 'frnâ€™s', 'reduced', 'discount', 'rate', '0', 'frn', 'denied', 'mr1', 'new', 'frn', 'split', 'frn', '1699048312', 'new', 'frn', 'contains', 'following', 'product', 'service', 'chargeable', 'service', 'call', 'one', 'time', 'cost']"
63,64,"DR1:Based on documentation provided during a Special Compliance Review, FRN 1699011107 is denied because you did not select the most cost-effective bid proposal. FCC rules state that in selecting a provider of eligible services, applicants must carefully consider all bids submitted and must select the most cost-effective service offering. In determining which service offering is the most cost-effective, entities may consider relevant factors other than the pre-discount prices submitted by providers, but price should be the primary factor considered. The FCC further codified in the Ysleta Order that in evaluating bids from prospective service providers, applicants must select the most cost-effective offering from the bids received. The selected bid must itself be cost-effective compared to prices available commercially and stated that ""there may be situations where the price of services is so exorbitant that it cannot, on its face, be cost-effective. For instance, a proposal to sell at prices two to three times greater than the prices available from commercial vendors would not be cost-effective, absent extenuating circumstances."" You selected a bid from Meetpoint for an amount of $3,200/month. The bid chosen is over two to three times more costly than a competing bid offering. This violates the FCC requirement that applicants select the most cost-effective offering from the bids received absent extenuating circumstances. During the review you did not present extenuating circumstances which mitigates your choice of a bid over two to three times greater than the price available from another commercial vendor.;MR1:The applicant did not submit any RAL corrections.",MR1:The applicant did not submit any RAL corrections.,Competitive Bidding Violation - price not primary factor,dr1 based documentation provided special compliance review frn 1699011107 denied select cost effective bid proposal fcc rules state selecting provider eligible services applicants must carefully consider bids submitted must select cost effective service offering determining service offering cost effective entities may consider relevant factors pre discount prices submitted providers price primary factor considered fcc codified ysleta order evaluating bids prospective service providers applicants must select cost effective offering bids received selected bid must cost effective compared prices available commercially stated may situations price services exorbitant cannot face cost effective instance proposal sell prices two three times greater prices available commercial vendors would cost effective absent extenuating circumstances selected bid meetpoint amount 3 200 month bid chosen two three times costly competing bid offering violates fcc requirement applicants select cost effective offering bids received absent extenuating circumstances review present extenuating circumstances mitigates choice bid two three times greater price available another commercial vendor mr1 applicant submit ral corrections,"['dr1', 'based', 'documentation', 'provided', 'special', 'compliance', 'review', 'frn', '1699011107', 'denied', 'select', 'cost', 'effective', 'bid', 'proposal', 'fcc', 'rules', 'state', 'selecting', 'provider', 'eligible', 'services', 'applicants', 'must', 'carefully', 'consider', 'bids', 'submitted', 'must', 'select', 'cost', 'effective', 'service', 'offering', 'determining', 'service', 'offering', 'cost', 'effective', 'entities', 'may', 'consider', 'relevant', 'factors', 'pre', 'discount', 'prices', 'submitted', 'providers', 'price', 'primary', 'factor', 'considered', 'fcc', 'codified', 'ysleta', 'order', 'evaluating', 'bids', 'prospective', 'service', 'providers', 'applicants', 'must', 'select', 'cost', 'effective', 'offering', 'bids', 'received', 'selected', 'bid', 'must', 'cost', 'effective', 'compared', 'prices', 'available', 'commercially', 'stated', 'may', 'situations', 'price', 'services', 'exorbitant', 'cannot', 'face', 'cost', 'effective', 'instance', 'proposal', 'sell', 'prices', 'two', 'three', 'times', 'greater', 'prices', 'available', 'commercial', 'vendors', 'would', 'cost', 'effective', 'absent', 'extenuating', 'circumstances', 'selected', 'bid', 'meetpoint', 'amount', '3', '200', 'month', 'bid', 'chosen', 'two', 'three', 'times', 'costly', 'competing', 'bid', 'offering', 'violates', 'fcc', 'requirement', 'applicants', 'select', 'cost', 'effective', 'offering', 'bids', 'received', 'absent', 'extenuating', 'circumstances', 'review', 'present', 'extenuating', 'circumstances', 'mitigates', 'choice', 'bid', 'two', 'three', 'times', 'greater', 'price', 'available', 'another', 'commercial', 'vendor', 'mr1', 'applicant', 'submit', 'ral', 'corrections']"
64,65,DR1:This FRN is denied because the funding request is duplicative of a current year's FRN. Program rules prohibit USAC from funding the same products and services to the same location in the same funding year.,MR1:The discount percentage of this FCC Form 471 application was reduced from 79% to 75% to a level that could be validated by third party data.,Duplicate FRN,dr1 frn denied funding request duplicative current year frn program rules prohibit usac funding products services location funding year,"['dr1', 'frn', 'denied', 'funding', 'request', 'duplicative', 'current', 'year', 'frn', 'program', 'rules', 'prohibit', 'usac', 'funding', 'products', 'services', 'location', 'funding', 'year']"
65,66,DR1:This FRN includes a request for Part #97004-X250E-48T which is an ineligible product(s) or service(s) based on Program rules.,MR1:The applicant did not submit any RAL corrections.,Ineligible Service,dr1 frn includes request part 97004 x250e 48t ineligible product service based program rules,"['dr1', 'frn', 'includes', 'request', 'part', '97004', 'x250e', '48t', 'ineligible', 'product', 'service', 'based', 'program', 'rules']"
66,67,DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): Vendor documentation never received for Cellular Voice including Data and/or Text Messaging;DR2:The FRN is denied because the applicant failed to respond to the Administratorâ€™s Information Request. Documentation was not provided to determine if the request for data plans is eligible. Data plans or air cards are ineligible unless applicants can demonstrate either that installing a wireless local area network is not physically possible or that individual data plans are the most cost-effective option.,MR1:The applicant did not submit any RAL corrections.,Ineligible Service,dr1 applicant provided sufficient documentation needed determine eligibility following item vendor documentation never received cellular voice including data text messaging dr2 frn denied applicant failed respond administratorâ€™s information request documentation provided determine request data plans eligible data plans air cards ineligible unless applicants demonstrate either installing wireless local area network physically possible individual data plans cost effective option,"['dr1', 'applicant', 'provided', 'sufficient', 'documentation', 'needed', 'determine', 'eligibility', 'following', 'item', 'vendor', 'documentation', 'never', 'received', 'cellular', 'voice', 'including', 'data', 'text', 'messaging', 'dr2', 'frn', 'denied', 'applicant', 'failed', 'respond', 'administratorâ€™s', 'information', 'request', 'documentation', 'provided', 'determine', 'request', 'data', 'plans', 'eligible', 'data', 'plans', 'air', 'cards', 'ineligible', 'unless', 'applicants', 'demonstrate', 'either', 'installing', 'wireless', 'local', 'area', 'network', 'physically', 'possible', 'individual', 'data', 'plans', 'cost', 'effective', 'option']"
67,68,"DR1:The Category Two budget for BEN 16076516 is $13,786.50. Your total requested Category Two pre-discount funding amount for BEN 16076516 exceeds this entityâ€™s Category Two Budget by: $10,115.46. This funding request is being denied because you have not authorized sufficient modifications to the Category Two funding requests to bring this BEN within its allowable Category Two budget.",,Category 2 budget exceeded,dr1 category two budget ben 16076516 13 786 50 total requested category two pre discount funding amount ben 16076516 exceeds entityâ€™s category two budget 10 115 46 funding request denied authorized sufficient modifications category two funding requests bring ben within allowable category two budget,"['dr1', 'category', 'two', 'budget', 'ben', '16076516', '13', '786', '50', 'total', 'requested', 'category', 'two', 'pre', 'discount', 'funding', 'amount', 'ben', '16076516', 'exceeds', 'entityâ€™s', 'category', 'two', 'budget', '10', '115', '46', 'funding', 'request', 'denied', 'authorized', 'sufficient', 'modifications', 'category', 'two', 'funding', 'requests', 'bring', 'ben', 'within', 'allowable', 'category', 'two', 'budget']"
68,69,"DR1:This FRN will be denied because the Questions and Answers section of the RFP associated with FCC Form 470 # 160005958 that you have cited contains a particular manufacturerâ€™s name, brand, product and service and indicates you may decide to award points to those vendors that bid the preferred equipment. Even though the FCC Form 470 indicates the functionally equivalent equipment will be considered, this is a competitive bidding violation because service providers that do not provide the preferred equipment could be discouraged from bidding.",,Competitive Bidding Violation - specified vendor in 470,dr1 frn denied questions answers section rfp associated fcc form 470 160005958 cited contains particular manufacturerâ€™s name brand product service indicates may decide award points vendors bid preferred equipment even though fcc form 470 indicates functionally equivalent equipment considered competitive bidding violation service providers provide preferred equipment could discouraged bidding,"['dr1', 'frn', 'denied', 'questions', 'answers', 'section', 'rfp', 'associated', 'fcc', 'form', '470', '160005958', 'cited', 'contains', 'particular', 'manufacturerâ€™s', 'name', 'brand', 'product', 'service', 'indicates', 'may', 'decide', 'award', 'points', 'vendors', 'bid', 'preferred', 'equipment', 'even', 'though', 'fcc', 'form', '470', 'indicates', 'functionally', 'equivalent', 'equipment', 'considered', 'competitive', 'bidding', 'violation', 'service', 'providers', 'provide', 'preferred', 'equipment', 'could', 'discouraged', 'bidding']"
69,70,"DR1:This FRN will be denied because the Questions and Answers section of the RFP associated with FCC Form 470 # 160005958 that you have cited contains a particular manufacturerâ€™s name, brand, product and service and indicates you may decide to award points to those vendors that bid the preferred equipment. Even though the FCC Form 470 indicates the functionally equivalent equipment will be considered, this is a competitive bidding violation because service providers that do not provide the preferred equipment could be discouraged from bidding. ;MR1:The amount of the funding request was changed from $21,882 to $8,482 to remove the ineligible product; Cisco ASA 5515-X Firewall that was found to be excessive and not cost effective according to FCC rules",,Competitive Bidding Violation - specified vendor in 470,dr1 frn denied questions answers section rfp associated fcc form 470 160005958 cited contains particular manufacturerâ€™s name brand product service indicates may decide award points vendors bid preferred equipment even though fcc form 470 indicates functionally equivalent equipment considered competitive bidding violation service providers provide preferred equipment could discouraged bidding mr1 amount funding request changed 21 882 8 482 remove ineligible product cisco asa 5515 x firewall found excessive cost effective according fcc rules,"['dr1', 'frn', 'denied', 'questions', 'answers', 'section', 'rfp', 'associated', 'fcc', 'form', '470', '160005958', 'cited', 'contains', 'particular', 'manufacturerâ€™s', 'name', 'brand', 'product', 'service', 'indicates', 'may', 'decide', 'award', 'points', 'vendors', 'bid', 'preferred', 'equipment', 'even', 'though', 'fcc', 'form', '470', 'indicates', 'functionally', 'equivalent', 'equipment', 'considered', 'competitive', 'bidding', 'violation', 'service', 'providers', 'provide', 'preferred', 'equipment', 'could', 'discouraged', 'bidding', 'mr1', 'amount', 'funding', 'request', 'changed', '21', '882', '8', '482', 'remove', 'ineligible', 'product', 'cisco', 'asa', '5515', 'x', 'firewall', 'found', 'excessive', 'cost', 'effective', 'according', 'fcc', 'rules']"
70,71,"DR1:This FRN will be denied because the Questions and Answers section of the RFP associated with FCC Form 470 # 160005958 that you have cited contains a particular manufacturerâ€™s name, brand, product and service and indicates you may decide to award points to those vendors that bid the preferred equipment. Even though the FCC Form 470 indicates the functionally equivalent equipment will be considered, this is a competitive bidding violation because service providers that do not provide the preferred equipment could be discouraged from bidding.",,Competitive Bidding Violation - specified vendor in 470,dr1 frn denied questions answers section rfp associated fcc form 470 160005958 cited contains particular manufacturerâ€™s name brand product service indicates may decide award points vendors bid preferred equipment even though fcc form 470 indicates functionally equivalent equipment considered competitive bidding violation service providers provide preferred equipment could discouraged bidding,"['dr1', 'frn', 'denied', 'questions', 'answers', 'section', 'rfp', 'associated', 'fcc', 'form', '470', '160005958', 'cited', 'contains', 'particular', 'manufacturerâ€™s', 'name', 'brand', 'product', 'service', 'indicates', 'may', 'decide', 'award', 'points', 'vendors', 'bid', 'preferred', 'equipment', 'even', 'though', 'fcc', 'form', '470', 'indicates', 'functionally', 'equivalent', 'equipment', 'considered', 'competitive', 'bidding', 'violation', 'service', 'providers', 'provide', 'preferred', 'equipment', 'could', 'discouraged', 'bidding']"
71,72,"DR1:On 9/1/2016 your application was denied based on your noncompliance with the FCCâ€™s Red Light Rule which implements requirements of the FCCâ€™s Debt Collection Improvement Act of 1996 (FCC No. 04-72 (April 13, 2004).;MR1:The quantity for FRN Line Item 1 was modified from 1 to 6 to agree with the applicant documentation.",MR1:The applicant did not submit any RAL corrections.,Red light rule violation,dr1 9 1 2016 application denied based noncompliance fccâ€™s red light rule implements requirements fccâ€™s debt collection improvement act 1996 fcc 04 72 april 13 2004 mr1 quantity frn line item 1 modified 1 6 agree applicant documentation,"['dr1', '9', '1', '2016', 'application', 'denied', 'based', 'noncompliance', 'fccâ€™s', 'red', 'light', 'rule', 'implements', 'requirements', 'fccâ€™s', 'debt', 'collection', 'improvement', 'act', '1996', 'fcc', '04', '72', 'april', '13', '2004', 'mr1', 'quantity', 'frn', 'line', 'item', '1', 'modified', '1', '6', 'agree', 'applicant', 'documentation']"
72,73,"DR1:On 9/1/2016 your application was denied based on your noncompliance with the FCCâ€™s Red Light Rule which implements requirements of the FCCâ€™s Debt Collection Improvement Act of 1996 (FCC No. 04-72 (April 13, 2004).",MR1:The applicant did not submit any RAL corrections.,Red light rule violation,dr1 9 1 2016 application denied based noncompliance fccâ€™s red light rule implements requirements fccâ€™s debt collection improvement act 1996 fcc 04 72 april 13 2004,"['dr1', '9', '1', '2016', 'application', 'denied', 'based', 'noncompliance', 'fccâ€™s', 'red', 'light', 'rule', 'implements', 'requirements', 'fccâ€™s', 'debt', 'collection', 'improvement', 'act', '1996', 'fcc', '04', '72', 'april', '13', '2004']"
73,74,"DR1:On 9/1/2016 your application was denied based on your noncompliance with the FCCâ€™s Red Light Rule which implements requirements of the FCCâ€™s Debt Collection Improvement Act of 1996 (FCC No. 04-72 (April 13, 2004).",MR1:The applicant did not submit any RAL corrections.,Red light rule violation,dr1 9 1 2016 application denied based noncompliance fccâ€™s red light rule implements requirements fccâ€™s debt collection improvement act 1996 fcc 04 72 april 13 2004,"['dr1', '9', '1', '2016', 'application', 'denied', 'based', 'noncompliance', 'fccâ€™s', 'red', 'light', 'rule', 'implements', 'requirements', 'fccâ€™s', 'debt', 'collection', 'improvement', 'act', '1996', 'fcc', '04', '72', 'april', '13', '2004']"
74,75,DR1:Thirty percent or more of this FRN includes a request for Basic Maintenance of Internal Connections which was not posted for on establishing FCC form 470 which is an ineligible based on Program rules.,MR1:The applicant did not submit any RAL corrections.,Ineligible Service,dr1 thirty percent frn includes request basic maintenance internal connections posted establishing fcc form 470 ineligible based program rules,"['dr1', 'thirty', 'percent', 'frn', 'includes', 'request', 'basic', 'maintenance', 'internal', 'connections', 'posted', 'establishing', 'fcc', 'form', '470', 'ineligible', 'based', 'program', 'rules']"
75,76,DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): ineligible for products and services.;MR1:The Total Monthly Eligible Recurring Costs for FRN Line Item 1 was modified from $343.70 to $311.95 to agree with the applicant documentation.,MR1:The applicant did not submit any RAL corrections.,Ineligible Service,dr1 applicant provided sufficient documentation needed determine eligibility following item ineligible products services mr1 total monthly eligible recurring costs frn line item 1 modified 343 70 311 95 agree applicant documentation,"['dr1', 'applicant', 'provided', 'sufficient', 'documentation', 'needed', 'determine', 'eligibility', 'following', 'item', 'ineligible', 'products', 'services', 'mr1', 'total', 'monthly', 'eligible', 'recurring', 'costs', 'frn', 'line', 'item', '1', 'modified', '343', '70', '311', '95', 'agree', 'applicant', 'documentation']"
