,text,count,category_arrays
146,equipment,132,"['Competitive Bidding Violation - price not primary factor', 'Ineligible Service', 'Competitive Bidding Violation - specified vendor in 470', 'Missing documentation needed to determine eligible service']"
147,includes,131,"['Ineligible Service', 'Voice - no discount remaining']"
148,internet,129,"['Competitive Bidding Violation - price not primary factor', 'Missing documentation needed to determine eligible service']"
149,tariff,127,"['No 470', 'Competitive Bidding Violation']"
150,demonstrated,127,['Ineligible Service']
151,selective,126,"['Competitive Bidding Violation', 'Missing documentation to determin competitive bidding']"
152,percent,125,"['Ineligible Service', 'Voice - no discount remaining']"
153,thirty,125,"['Ineligible Service', 'Voice - no discount remaining']"
154,oya,124,[]
155,violation,123,"['Competitive Bidding Violation - specified vendor in 470', 'Competitive Bidding Violation', 'Missing documentation needed to determine eligible service']"
156,two,122,"['470 / 471 Mismatch', 'Competitive Bidding Violation', 'Category 2 budget exceeded', 'Ineligible Service', 'Competitive Bidding Violation - price not primary factor', 'Missing documentation needed to determine eligible service', 'c']"
157,winning,121,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation - specified vendor in 470']"
158,created,120,"['Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation', '470 / 471 Mismatch']"
159,00,117,"['Competitive Bidding Violation', 'Category 2 budget exceeded', 'Ineligible Service', '470 / 471 Mismatch', 'Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation - specified vendor in 470', 'Red light rule violation', 'Applicant ineligible', 'Missing required fields on 471', 'Missing documentation to determin competitive bidding', 'Missing documentation needed to determine eligible service']"
160,asked,117,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor']"
161,access,115,['Missing documentation needed to determine eligible service']
162,selected,114,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation - specified vendor in 470', 'Competitive Bidding Violation - 28 day failure']"
163,questions,114,"['Competitive Bidding Violation - specified vendor in 470', 'Competitive Bidding Violation', 'Missing documentation needed to determine eligible service']"
164,years,112,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor']"
165,number,112,"['Missing required fields on 471', 'Ineligible Service', 'Competitive Bidding Violation - specified vendor in 470']"
166,04,108,"['Ineligible Service', 'Voice - no discount remaining', 'Red light rule violation', 'Competitive Bidding Violation - 28 day failure', 'Category 2 budget exceeded', 'Applicant ineligible', 'Missing documentation needed to determine eligible service', 'c']"
167,contains,108,"['Ineligible Service', 'Competitive Bidding Violation', 'Competitive Bidding Violation - specified vendor in 470', 'Voice - no discount remaining', 'Competitive Bidding Violation - 28 day failure', 'Fiber review failure', 'Competitive Bidding Violation - price not primary factor']"
168,may,107,"['470 / 471 Mismatch', 'Competitive Bidding Violation - specified vendor in 470', 'Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation']"
169,selection,107,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor']"
170,one,107,"['470 / 471 Mismatch', 'Competitive Bidding Violation', 'Ineligible Service', 'Voice - no discount remaining', 'Competitive Bidding Violation - specified vendor in 470']"
171,cards,105,['Ineligible Service']
172,air,105,"['Ineligible Service', 'Competitive Bidding Violation', 'Competitive Bidding Violation - specified vendor in 470']"
173,area,104,['Ineligible Service']
174,determined,103,['Competitive Bidding Violation']
175,agreement,103,"['Competitive Bidding Violation', 'No signed contract in place']"
176,part,102,"['Competitive Bidding Violation - specified vendor in 470', 'Ineligible Service', 'Competitive Bidding Violation', 'Missing required fields on 471', 'Missing documentation needed to determine eligible service']"
177,physically,102,['Ineligible Service']
178,duplicative,102,"['Duplicate FRN', 'Missing documentation needed to determine eligible service']"
179,unless,102,['Ineligible Service']
180,installing,102,['Ineligible Service']
181,13,102,"['Competitive Bidding Violation', 'Ineligible Service', 'Voice - no discount remaining', 'Category 2 budget exceeded', 'Red light rule violation', 'Applicant ineligible', 'Missing documentation needed to determine eligible service']"
182,alone,101,['Competitive Bidding Violation']
183,location,100,['Duplicate FRN']
184,16049708,100,['Ineligible Service']
185,uncommon,100,['Ineligible Service']
186,make,99,"['470 / 471 Mismatch', 'Missing required fields on 471', 'Competitive Bidding Violation', 'Ineligible Service', 'Missing documentation needed to determine eligible service']"
187,legally,99,"['Competitive Bidding Violation', 'No signed contract in place']"
188,binding,99,"['Competitive Bidding Violation', 'No signed contract in place']"
189,academy,97,"['Category 2 budget exceeded', 'c']"
190,fund,96,"['Applicant ineligible', '470 / 471 Mismatch', 'Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor', 'Category 2 budget exceeded', 'Ineligible Service', 'Voice - no discount remaining', 'Duplicate FRN', 'Competitive Bidding Violation - specified vendor in 470', 'No signed contract in place', 'No 470', 'Missing documentation needed to determine eligible service', 'c']"
191,fy2016,96,"['Competitive Bidding Violation', 'No 470']"
192,certifications,95,"['Competitive Bidding Violation', 'Missing documentation to determin competitive bidding']"
193,document,95,"['Competitive Bidding Violation', 'Ineligible Service', 'Applicant ineligible', '470 / 471 Mismatch', 'Missing required fields on 471', 'Competitive Bidding Violation - price not primary factor', 'Missing form 470', 'Red light rule violation', 'Competitive Bidding Violation - specified vendor in 470', 'Competitive Bidding Violation - 28 day failure', 'Category 2 budget exceeded', 'Fiber review failure', 'No signed contract in place', 'Missing documentation needed to determine eligible service', 'Missing documentation to determin competitive bidding', 'c']"
194,description,95,"['Competitive Bidding Violation - specified vendor in 470', 'Competitive Bidding Violation']"
195,remove,94,"['470 / 471 Mismatch', 'Competitive Bidding Violation', 'Ineligible Service', 'Competitive Bidding Violation - specified vendor in 470', 'Missing required fields on 471', 'Category 2 budget exceeded', 'Applicant ineligible', 'Missing documentation needed to determine eligible service', 'c']"
196,cellular,93,"['Ineligible Service', 'Missing documentation needed to determine eligible service']"
197,receiving,93,['Competitive Bidding Violation']
198,referenced,93,"['Competitive Bidding Violation', 'Competitive Bidding Violation - specified vendor in 470', 'Missing documentation needed to determine eligible service']"
199,long,92,"['Ineligible Service', 'Missing documentation needed to determine eligible service']"
200,total,92,"['Category 2 budget exceeded', 'Ineligible Service', 'Competitive Bidding Violation - 28 day failure', 'Competitive Bidding Violation - price not primary factor']"
201,effectiveness,91,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor', 'Fiber review failure']"
202,prohibit,91,['Duplicate FRN']
203,however,91,"['Ineligible Service', 'Competitive Bidding Violation', 'Competitive Bidding Violation - 28 day failure', '470 / 471 Mismatch']"
204,proposals,90,['Competitive Bidding Violation']
205,distance,89,"['Ineligible Service', 'Missing documentation needed to determine eligible service']"
206,act,89,"['470 / 471 Mismatch', 'Missing required fields on 471', 'Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation', 'Competitive Bidding Violation - specified vendor in 470', 'Ineligible Service', 'Red light rule violation', 'No signed contract in place', 'Competitive Bidding Violation - 28 day failure', 'Applicant ineligible', 'Missing documentation needed to determine eligible service']"
207,better,89,"['Competitive Bidding Violation - specified vendor in 470', 'Competitive Bidding Violation']"
208,submitting,89,"['Competitive Bidding Violation', 'Competitive Bidding Violation - specified vendor in 470']"
209,due,88,['Competitive Bidding Violation']
210,applies,88,['Ineligible Service']
211,nifs,88,['Missing documentation needed to determine eligible service']
212,also,87,"['Competitive Bidding Violation - specified vendor in 470', 'Competitive Bidding Violation - price not primary factor']"
213,amp,86,"['Ineligible Service', 'Missing documentation needed to determine eligible service', 'Competitive Bidding Violation - price not primary factor']"
214,lit,86,"['Ineligible Service', 'Competitive Bidding Violation', 'Applicant ineligible', 'Missing required fields on 471', '470 / 471 Mismatch', 'Missing form 470', 'Voice - no discount remaining', 'Category 2 budget exceeded', 'Competitive Bidding Violation - price not primary factor', 'Fiber review failure', 'No signed contract in place', 'Missing documentation needed to determine eligible service']"
215,conduct,85,"['Voice - no discount remaining', 'Competitive Bidding Violation', 'Competitive Bidding Violation - specified vendor in 470']"
216,lines,85,"['Ineligible Service', 'Missing required fields on 471', 'Competitive Bidding Violation - price not primary factor', 'Missing documentation needed to determine eligible service']"
217,fair,85,"['Competitive Bidding Violation', 'Competitive Bidding Violation - specified vendor in 470']"
218,select,85,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation - specified vendor in 470', 'Competitive Bidding Violation - 28 day failure', 'Missing documentation to determin competitive bidding']"
219,choose,84,"['Competitive Bidding Violation', 'Competitive Bidding Violation - specified vendor in 470', 'Competitive Bidding Violation - price not primary factor']"
220,connection,84,"['Ineligible Service', 'Competitive Bidding Violation', '470 / 471 Mismatch', 'Missing documentation needed to determine eligible service', 'Competitive Bidding Violation - price not primary factor']"
221,open,84,"['Competitive Bidding Violation', 'Competitive Bidding Violation - specified vendor in 470']"
222,signed,83,"['Competitive Bidding Violation', 'No signed contract in place']"
223,could,83,"['Competitive Bidding Violation - specified vendor in 470', 'Competitive Bidding Violation']"
224,internal,82,"['Ineligible Service', 'Competitive Bidding Violation', '470 / 471 Mismatch']"
225,connected,82,['Missing documentation needed to determine eligible service']
226,result,81,"['Missing required fields on 471', 'Missing documentation needed to determine eligible service']"
227,telephone,80,['Competitive Bidding Violation']
228,competing,80,"['Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation']"
229,phone,80,"['Ineligible Service', 'Competitive Bidding Violation', 'Competitive Bidding Violation - specified vendor in 470']"
230,prior,80,['No signed contract in place']
231,items,79,"['Ineligible Service', 'Category 2 budget exceeded', 'Missing documentation needed to determine eligible service', 'c']"
232,complete,79,['Competitive Bidding Violation']
233,ral,78,"['Competitive Bidding Violation', 'Ineligible Service', 'Competitive Bidding Violation - price not primary factor', 'Missing documentation to determin competitive bidding']"
234,changes,78,['Competitive Bidding Violation']
235,site,78,"['Competitive Bidding Violation - specified vendor in 470', 'Competitive Bidding Violation', 'Category 2 budget exceeded', 'Applicant ineligible', 'c']"
236,selecting,77,"['Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation', 'Competitive Bidding Violation - 28 day failure']"
237,certification,77,"['Competitive Bidding Violation', 'No signed contract in place', 'Missing documentation to determin competitive bidding']"
238,secondary,77,['Applicant ineligible']
239,seek,77,"['Competitive Bidding Violation', 'Competitive Bidding Violation - specified vendor in 470', 'Competitive Bidding Violation - price not primary factor']"
240,sought,77,['Competitive Bidding Violation']
241,special,77,"['Competitive Bidding Violation', '470 / 471 Mismatch', 'Competitive Bidding Violation - price not primary factor', 'Fiber review failure']"
242,member,76,['Applicant ineligible']
243,free,76,['Competitive Bidding Violation']
244,mtm,76,"['470 / 471 Mismatch', 'Competitive Bidding Violation']"
245,statutory,75,['Applicant ineligible']
246,elementary,75,['Applicant ineligible']
247,instance,74,"['Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation']"
248,occurred,74,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor']"
249,ysleta,74,"['Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation']"
250,would,74,"['Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation']"
251,explained,74,['Competitive Bidding Violation']
252,deemed,74,['Competitive Bidding Violation']
253,single,73,['Competitive Bidding Violation']
254,intended,73,"['Competitive Bidding Violation', 'Fiber review failure']"
255,individually,73,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor']"
256,definition,73,['Applicant ineligible']
257,choosing,73,['Competitive Bidding Violation']
258,ago,73,['Competitive Bidding Violation']
259,forms,72,['Competitive Bidding Violation']
260,upon,72,['Competitive Bidding Violation']
261,ensure,72,['Competitive Bidding Violation']
262,valid,72,"['Applicant ineligible', 'Missing required fields on 471', 'Competitive Bidding Violation', 'Missing documentation needed to determine eligible service']"
263,accountability,72,['Competitive Bidding Violation']
264,effectively,72,['Competitive Bidding Violation']
265,elaborated,72,['Competitive Bidding Violation']
266,guideline,72,['Competitive Bidding Violation']
267,expiration,72,"['Missing required fields on 471', 'Competitive Bidding Violation', 'Missing documentation needed to determine eligible service']"
268,transmission,72,['Missing documentation needed to determine eligible service']
269,was,72,['Competitive Bidding Violation']
270,instructions,72,['Competitive Bidding Violation']
271,essential,72,['Competitive Bidding Violation']
272,way,72,['Competitive Bidding Violation']
273,competitively,72,['Competitive Bidding Violation']
274,messaging,72,"['Ineligible Service', 'Missing documentation needed to determine eligible service']"
275,components,72,['Competitive Bidding Violation']
276,stand,72,['Competitive Bidding Violation']
277,mr,72,"['Ineligible Service', 'Competitive Bidding Violation', '470 / 471 Mismatch', 'Voice - no discount remaining', 'Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation - specified vendor in 470', 'Red light rule violation', 'Competitive Bidding Violation - 28 day failure', 'Fiber review failure', 'Missing documentation to determin competitive bidding', 'Category 2 budget exceeded', 'Missing documentation needed to determine eligible service', 'c']"
278,merely,72,['Competitive Bidding Violation']
279,necessary,72,['Competitive Bidding Violation']
280,congress,72,['Competitive Bidding Violation']
281,meaning,72,['Competitive Bidding Violation']
282,closed,72,['Applicant ineligible']
283,malavé,72,[]
284,detail,72,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor']"
285,discounted,72,['Competitive Bidding Violation']
286,answered,72,['Competitive Bidding Violation']
287,assessments,72,['Competitive Bidding Violation']
288,forming,71,['Competitive Bidding Violation']
289,bidded,71,['Competitive Bidding Violation']
290,considerations,71,['Competitive Bidding Violation']
291,not,71,"['Ineligible Service', 'Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation', 'Competitive Bidding Violation - specified vendor in 470']"
292,telecommunication,71,['Competitive Bidding Violation']
293,relates,71,['Competitive Bidding Violation']
294,exact,71,['Competitive Bidding Violation']
295,2017,71,"['Competitive Bidding Violation', 'Red light rule violation']"
296,shared,71,['Competitive Bidding Violation']
297,regulations,71,['Competitive Bidding Violation']
298,promote,71,['Competitive Bidding Violation']
299,benefits,71,['Competitive Bidding Violation']
300,goal,71,['Competitive Bidding Violation']
301,because,71,['Competitive Bidding Violation']
302,specified,71,"['Competitive Bidding Violation', 'Competitive Bidding Violation - specified vendor in 470']"
303,many,71,['Competitive Bidding Violation']
304,facilities,71,['Competitive Bidding Violation']
305,aggregate,71,['Competitive Bidding Violation']
306,efficient,71,['Competitive Bidding Violation']
307,method,71,['Competitive Bidding Violation']
308,demand,71,['Competitive Bidding Violation']
309,handled,71,['Competitive Bidding Violation']
310,moreover,71,['Competitive Bidding Violation']
311,fact,71,"['Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation', 'Competitive Bidding Violation - specified vendor in 470']"
312,library,70,['Applicant ineligible']
313,weighted,69,[]
314,time,69,"['Competitive Bidding Violation', 'Ineligible Service', 'Voice - no discount remaining', 'Competitive Bidding Violation - price not primary factor', 'No signed contract in place', 'Missing required fields on 471', 'Missing documentation needed to determine eligible service']"
315,72,68,"['Ineligible Service', 'Applicant ineligible', 'Red light rule violation', 'Category 2 budget exceeded', '470 / 471 Mismatch']"
316,day,68,"['Ineligible Service', 'Applicant ineligible', 'Competitive Bidding Violation', 'Competitive Bidding Violation - specified vendor in 470', 'Competitive Bidding Violation - 28 day failure', '470 / 471 Mismatch']"
317,collection,67,['Red light rule violation']
318,debt,66,['Red light rule violation']
319,april,66,"['Red light rule violation', 'Competitive Bidding Violation']"
320,2004,66,['Red light rule violation']
321,1996,66,['Red light rule violation']
322,light,66,"['Red light rule violation', 'Ineligible Service']"
323,improvement,66,['Red light rule violation']
324,listed,66,"['Ineligible Service', 'Competitive Bidding Violation', 'Competitive Bidding Violation - specified vendor in 470', 'Competitive Bidding Violation - price not primary factor', '470 / 471 Mismatch']"
325,red,66,"['Competitive Bidding Violation - price not primary factor', 'Voice - no discount remaining', 'Competitive Bidding Violation', 'Competitive Bidding Violation - specified vendor in 470', 'Red light rule violation', 'No signed contract in place', 'Missing documentation needed to determine eligible service', 'Ineligible Service']"
326,noncompliance,66,['Red light rule violation']
327,implements,66,['Red light rule violation']
328,rule,66,"['Ineligible Service', 'Competitive Bidding Violation', '470 / 471 Mismatch', 'Competitive Bidding Violation - price not primary factor', 'Voice - no discount remaining', 'Duplicate FRN', 'Competitive Bidding Violation - specified vendor in 470', 'Red light rule violation', 'No signed contract in place', 'No 470', 'Applicant ineligible', 'Missing documentation to determin competitive bidding', 'Missing documentation needed to determine eligible service', 'Fiber review failure']"
329,leased,65,"['470 / 471 Mismatch', 'Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor']"
330,category,65,"['Category 2 budget exceeded', 'Missing documentation needed to determine eligible service', 'c']"
331,entered,63,['No signed contract in place']
332,text,62,"['Ineligible Service', 'Missing documentation needed to determine eligible service']"
333,1699138580,62,[]
334,youth,62,[]
335,1699145599,62,[]
336,period,62,"['Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation', 'No signed contract in place']"
337,consider,61,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation - specified vendor in 470']"
338,filed,61,"['Competitive Bidding Violation', 'No signed contract in place']"
339,criteria,60,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor']"
340,factors,60,['Competitive Bidding Violation - price not primary factor']
341,monthly,59,"['Voice - no discount remaining', 'Ineligible Service', 'Missing documentation needed to determine eligible service', 'Competitive Bidding Violation - price not primary factor']"
342,filing,58,"['470 / 471 Mismatch', 'No signed contract in place', 'Competitive Bidding Violation']"
343,state,58,"['470 / 471 Mismatch', 'Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor', 'Ineligible Service', 'Applicant ineligible']"
344,unable,58,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor']"
345,productivity,58,['Competitive Bidding Violation - 28 day failure']
346,yes,57,"['Ineligible Service', 'Applicant ineligible', '470 / 471 Mismatch', 'Competitive Bidding Violation - price not primary factor', 'Missing documentation needed to determine eligible service']"
347,portal,57,['Competitive Bidding Violation - 28 day failure']
348,equivalent,56,['Competitive Bidding Violation - specified vendor in 470']
349,ies,55,"['Ineligible Service', 'Applicant ineligible', 'Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor', 'Category 2 budget exceeded', 'Missing documentation needed to determine eligible service']"
350,cannot,55,"['Ineligible Service', 'Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation - specified vendor in 470']"
351,solutions,55,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor']"
352,validate,53,[]
353,additional,51,"['Competitive Bidding Violation', 'Competitive Bidding Violation - 28 day failure', 'Fiber review failure', 'Competitive Bidding Violation - price not primary factor']"
354,12,51,"['Competitive Bidding Violation', 'Category 2 budget exceeded', 'Voice - no discount remaining', 'Competitive Bidding Violation - specified vendor in 470', 'Fiber review failure', '470 / 471 Mismatch', 'Missing documentation needed to determine eligible service']"
355,uploaded,50,['Competitive Bidding Violation - 28 day failure']
356,waiting,49,['Competitive Bidding Violation']
357,submitted,49,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor']"
358,opportunity,49,['Competitive Bidding Violation - specified vendor in 470']
359,award,49,"['Competitive Bidding Violation - specified vendor in 470', 'Competitive Bidding Violation', 'Competitive Bidding Violation - 28 day failure', 'Competitive Bidding Violation - price not primary factor']"
360,maintenance,49,"['Competitive Bidding Violation', 'Ineligible Service']"
361,place,48,"['Competitive Bidding Violation', 'No signed contract in place']"
362,days,48,"['Competitive Bidding Violation - specified vendor in 470', 'Competitive Bidding Violation', 'Competitive Bidding Violation - 28 day failure']"
363,spin,48,"['Missing required fields on 471', 'Competitive Bidding Violation', 'Competitive Bidding Violation - specified vendor in 470']"
364,10,48,"['Competitive Bidding Violation', 'Category 2 budget exceeded', 'Applicant ineligible', 'Competitive Bidding Violation - price not primary factor', 'No signed contract in place', 'Missing documentation to determin competitive bidding', 'Missing documentation needed to determine eligible service', 'Ineligible Service']"
365,mr3,48,"['470 / 471 Mismatch', 'Competitive Bidding Violation', 'Missing documentation needed to determine eligible service']"
366,recipient,47,"['Missing required fields on 471', 'Category 2 budget exceeded', 'c', 'Missing documentation needed to determine eligible service']"
367,without,47,"['Competitive Bidding Violation', 'Competitive Bidding Violation - specified vendor in 470', 'Missing documentation needed to determine eligible service']"
368,recipients,47,"['Category 2 budget exceeded', 'c', 'Missing documentation needed to determine eligible service']"
369,removed,46,"['Missing required fields on 471', 'Category 2 budget exceeded', 'Applicant ineligible', 'Missing documentation needed to determine eligible service', 'c']"
370,posting,46,[]
371,provisioned,46,['470 / 471 Mismatch']
372,self,46,['470 / 471 Mismatch']
373,campus,45,[]
374,sheet,45,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor']"
375,fy2017,43,[]
376,procedures,42,['Competitive Bidding Violation - 28 day failure']
377,response,42,"['Competitive Bidding Violation', 'Competitive Bidding Violation - specified vendor in 470']"
378,split,42,"['Ineligible Service', 'Competitive Bidding Violation', 'Voice - no discount remaining', 'Fiber review failure', '470 / 471 Mismatch']"
379,no,41,"['470 / 471 Mismatch', 'Competitive Bidding Violation', 'Ineligible Service', 'Competitive Bidding Violation - price not primary factor', 'Red light rule violation', 'Competitive Bidding Violation - specified vendor in 470', 'Applicant ineligible', 'Missing documentation needed to determine eligible service']"
380,regarding,41,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor']"
381,retain,40,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor']"
382,web,40,"['Competitive Bidding Violation - specified vendor in 470', 'Competitive Bidding Violation']"
383,compliance,40,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor', 'Red light rule violation']"
384,parent,40,"['Applicant ineligible', 'Missing required fields on 471', 'Competitive Bidding Violation', 'Missing documentation needed to determine eligible service']"
385,construction,40,"['Competitive Bidding Violation', '470 / 471 Mismatch', 'Fiber review failure']"
386,agency,40,['Applicant ineligible']
387,violates,40,['Competitive Bidding Violation - price not primary factor']
388,weighting,39,[]
389,center,39,[]
390,ten,39,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor', 'Ineligible Service', 'Competitive Bidding Violation - specified vendor in 470', 'Competitive Bidding Violation - 28 day failure', 'Fiber review failure', 'Missing documentation needed to determine eligible service']"
391,significant,39,['Competitive Bidding Violation - 28 day failure']
392,computed,38,[]
393,change,38,"['470 / 471 Mismatch', 'Competitive Bidding Violation', 'Ineligible Service', 'Competitive Bidding Violation - specified vendor in 470', 'Competitive Bidding Violation - 28 day failure', 'Competitive Bidding Violation - price not primary factor', 'Missing documentation needed to determine eligible service']"
394,county,37,[]
395,21,37,"['Competitive Bidding Violation', 'Category 2 budget exceeded', 'Competitive Bidding Violation - specified vendor in 470', 'Competitive Bidding Violation - 28 day failure', 'Missing documentation to determin competitive bidding', 'Missing documentation needed to determine eligible service']"
396,different,37,"['470 / 471 Mismatch', 'Missing documentation needed to determine eligible service']"
397,value,36,['Missing documentation to determin competitive bidding']
398,cited,36,['Competitive Bidding Violation - specified vendor in 470']
399,pri,36,"['Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation', 'Ineligible Service', 'Red light rule violation', 'No signed contract in place', 'Competitive Bidding Violation - specified vendor in 470', 'Category 2 budget exceeded', 'c']"
400,child,36,"['Applicant ineligible', 'Missing required fields on 471', 'Missing documentation needed to determine eligible service']"
401,less,36,"['Competitive Bidding Violation - specified vendor in 470', 'Ineligible Service', 'Competitive Bidding Violation']"
402,expensive,36,['Competitive Bidding Violation - specified vendor in 470']
403,technology,35,['Applicant ineligible']
404,llc,34,['Voice - no discount remaining']
405,98,34,"['470 / 471 Mismatch', 'Ineligible Service', 'Applicant ineligible']"
406,original,34,"['Voice - no discount remaining', 'Competitive Bidding Violation - 28 day failure']"
407,001,33,"['Applicant ineligible', 'Missing documentation to determin competitive bidding', 'Missing documentation needed to determine eligible service']"
408,offered,33,[]
409,hub,33,[]
410,heavily,33,[]
411,added,32,[]
412,58,32,"['470 / 471 Mismatch', 'Category 2 budget exceeded', 'Ineligible Service', 'Competitive Bidding Violation - specified vendor in 470']"
413,substantially,32,['470 / 471 Mismatch']
414,inc,32,"['Ineligible Service', '470 / 471 Mismatch', 'Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation', 'Voice - no discount remaining', 'No signed contract in place', 'Competitive Bidding Violation - specified vendor in 470', 'Missing documentation to determin competitive bidding', 'Category 2 budget exceeded', 'Applicant ineligible', 'Missing documentation needed to determine eligible service', 'c']"
415,17010501,31,[]
416,16039828,31,[]
417,16042682,31,[]
418,17012378,31,[]
419,51,31,"['Competitive Bidding Violation', 'Category 2 budget exceeded', 'Competitive Bidding Violation - specified vendor in 470', 'Competitive Bidding Violation - price not primary factor', 'Applicant ineligible']"
420,bella,31,[]
421,terra,31,[]
422,success,31,[]
423,17010500,31,[]
424,sobrato,31,[]
425,south,31,['Applicant ineligible']
426,53,31,"['Ineligible Service', 'Category 2 budget exceeded']"
427,washington,31,[]
428,17010499,31,[]
429,quantity,31,['Red light rule violation']
430,name,31,['Competitive Bidding Violation - specified vendor in 470']
431,17010498,31,[]
432,including,31,"['Ineligible Service', 'Missing documentation needed to determine eligible service']"
433,consultation,31,['Competitive Bidding Violation']
434,relationship,30,['Applicant ineligible']
435,446,30,[]
436,435,30,[]
437,made,30,['Competitive Bidding Violation - 28 day failure']
438,supporting,30,"['470 / 471 Mismatch', 'Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor']"
439,specifically,29,"['No signed contract in place', 'Fiber review failure', 'Competitive Bidding Violation - specified vendor in 470']"
440,30,29,"['Competitive Bidding Violation', 'Category 2 budget exceeded', 'Ineligible Service', 'Competitive Bidding Violation - specified vendor in 470', 'Applicant ineligible', '470 / 471 Mismatch']"
441,equal,29,[]
442,providing,29,"['Competitive Bidding Violation - 28 day failure', 'Competitive Bidding Violation - price not primary factor']"
443,greatest,29,[]
444,charges,29,"['470 / 471 Mismatch', 'Competitive Bidding Violation', 'Ineligible Service', 'Fiber review failure', 'Missing documentation needed to determine eligible service']"
445,establishing,29,"['Ineligible Service', 'Competitive Bidding Violation']"
446,administrative,28,['Applicant ineligible']
447,separate,28,[]
448,dated,28,['No signed contract in place']
449,validation,28,"['Applicant ineligible', 'Missing required fields on 471', 'Missing documentation needed to determine eligible service']"
450,start,28,[]
451,received,28,"['Competitive Bidding Violation', 'Ineligible Service', 'Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation - specified vendor in 470']"
452,district,27,['Ineligible Service']
453,able,27,"['470 / 471 Mismatch', 'Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor', 'Category 2 budget exceeded', 'Voice - no discount remaining', 'Competitive Bidding Violation - specified vendor in 470', 'Competitive Bidding Violation - 28 day failure', 'Missing documentation needed to determine eligible service', 'c']"
454,include,27,"['Ineligible Service', '470 / 471 Mismatch', 'Competitive Bidding Violation', 'Voice - no discount remaining', 'Competitive Bidding Violation - specified vendor in 470']"
455,20,27,"['Ineligible Service', 'Applicant ineligible', 'Voice - no discount remaining', '470 / 471 Mismatch', 'Category 2 budget exceeded', 'Competitive Bidding Violation - price not primary factor', 'Red light rule violation', 'Competitive Bidding Violation', 'No signed contract in place', 'No 470', 'Competitive Bidding Violation - 28 day failure', 'Missing documentation needed to determine eligible service']"
456,thus,27,"['No signed contract in place', 'Competitive Bidding Violation - price not primary factor']"
457,recurring,27,"['Ineligible Service', 'Voice - no discount remaining', 'Competitive Bidding Violation', 'Missing documentation needed to determine eligible service']"
458,contained,27,"['Competitive Bidding Violation - specified vendor in 470', 'Competitive Bidding Violation - 28 day failure']"
459,64,26,['Missing documentation needed to determine eligible service']
460,contact,26,['Competitive Bidding Violation - specified vendor in 470']
461,demonstrates,26,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor']"
462,established,26,"['Ineligible Service', 'Competitive Bidding Violation', '470 / 471 Mismatch']"
463,mobile,26,['Missing documentation needed to determine eligible service']
464,annual,26,[]
