,bigram,count,phrase_array,category_arrays
787,"('services', 'alone')",29,services alone,[]
788,"('weighted', 'greatest')",29,weighted greatest,[]
789,"('evaluation', 'factors')",29,evaluation factors,[]
790,"('contains', 'significant')",29,contains significant,['Competitive Bidding Violation - 28 day failure']
791,"('weighted', 'heavily')",29,weighted heavily,[]
792,"('price', 'factor')",29,price factor,[]
793,"('greatest', 'violated')",29,greatest violated,[]
794,"('services', 'since')",29,services since,[]
795,"('equal', 'cost')",29,equal cost,[]
796,"('factor', 'cost')",29,factor cost,[]
797,"('plans', 'ineligible')",29,plans ineligible,[]
798,"('order', 'determine')",29,order determine,[]
799,"('cannot', 'weighting')",29,cannot weighting,[]
800,"('alone', 'weighted')",29,alone weighted,[]
801,"('weighting', 'equal')",29,weighting equal,[]
802,"('heavily', 'bid')",29,heavily bid,[]
803,"('must', 'weighted')",29,must weighted,[]
804,"('evaluation', 'included')",29,evaluation included,[]
805,"('value', 'ineligible')",29,value ineligible,[]
806,"('since', 'price')",29,since price,[]
807,"('administrator’s', 'information')",29,administrator’s information,[]
808,"('factors', 'included')",29,factors included,[]
809,"('services', 'price')",29,services price,[]
810,"('factors', 'cannot')",29,factors cannot,[]
811,"('cost', 'factors')",29,cost factors,[]
812,"('information', 'fcc')",29,information fcc,"['Competitive Bidding Violation - 28 day failure', 'Competitive Bidding Violation - specified vendor in 470']"
813,"('7', '1')",28,7 1,"['Category 2 budget exceeded', 'Missing documentation needed to determine eligible service']"
814,"('rules', 'requirements')",28,rules requirements,"['Competitive Bidding Violation', 'Fiber review failure']"
815,"('process', 'frn')",28,process frn,"['Competitive Bidding Violation', 'Ineligible Service', '470 / 471 Mismatch']"
816,"('requested', 'since')",28,requested since,['No signed contract in place']
817,"('including', 'data')",28,including data,"['Ineligible Service', 'Missing documentation needed to determine eligible service']"
818,"('item', 'voice')",28,item voice,[]
819,"('year', 'mr1')",27,year mr1,[]
820,"('expiration', 'date')",27,expiration date,"['Missing required fields on 471', 'Competitive Bidding Violation', 'Missing documentation needed to determine eligible service']"
821,"('data', 'service')",27,data service,[]
822,"('category', 'two')",27,category two,"['Category 2 budget exceeded', 'Missing documentation needed to determine eligible service', 'c']"
823,"('applicant', 'service')",27,applicant service,['Competitive Bidding Violation']
824,"('meet', 'program')",26,meet program,['470 / 471 Mismatch']
825,"('annual', 'amount')",26,annual amount,[]
826,"('made', 'available')",26,made available,['Competitive Bidding Violation - 28 day failure']
827,"('471', 'since')",26,471 since,['470 / 471 Mismatch']
828,"('request', 'proposal')",26,request proposal,"['Competitive Bidding Violation - specified vendor in 470', 'Competitive Bidding Violation', 'Competitive Bidding Violation - 28 day failure']"
829,"('added', 'fcc')",26,added fcc,[]
830,"('respond', 'rfp')",26,respond rfp,['Competitive Bidding Violation - 28 day failure']
831,"('fiber', 'review')",26,fiber review,"['Competitive Bidding Violation', 'Fiber review failure']"
832,"('contract', 'expiration')",26,contract expiration,"['Missing required fields on 471', 'Competitive Bidding Violation', 'Missing documentation needed to determine eligible service']"
833,"('criteria', 'vendor')",26,criteria vendor,['Competitive Bidding Violation']
834,"('total', 'annual')",26,total annual,[]
835,"('requirements', 'competitive')",26,requirements competitive,['Competitive Bidding Violation']
836,"('item', '21')",26,item 21,[]
837,"('information', 'needed')",26,information needed,['Competitive Bidding Violation - 28 day failure']
838,"('day', 'competitive')",26,day competitive,"['Ineligible Service', 'Competitive Bidding Violation', '470 / 471 Mismatch']"
839,"('established', 'competitive')",26,established competitive,"['Ineligible Service', 'Competitive Bidding Violation', '470 / 471 Mismatch']"
840,"('primary', 'factor')",26,primary factor,"['Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation - specified vendor in 470']"
841,"('program', 'requirement')",26,program requirement,['470 / 471 Mismatch']
842,"('needed', 'potential')",26,needed potential,['Competitive Bidding Violation - 28 day failure']
843,"('dated', 'applicant')",25,dated applicant,['No signed contract in place']
844,"('contract', 'signed')",25,contract signed,['No signed contract in place']
845,"('certification', 'products')",25,certification products,['No signed contract in place']
846,"('uploaded', 'fcc')",25,uploaded fcc,['Competitive Bidding Violation - 28 day failure']
847,"('470', 'e')",25,470 e,"['Ineligible Service', 'Competitive Bidding Violation', 'Competitive Bidding Violation - 28 day failure', '470 / 471 Mismatch']"
848,"('require', 'fcc')",25,require fcc,['Competitive Bidding Violation - 28 day failure']
849,"('modifying', 'original')",25,modifying original,['Competitive Bidding Violation - 28 day failure']
850,"('470', 'request')",25,470 request,['Competitive Bidding Violation - 28 day failure']
851,"('require', 'contract')",25,require contract,['No signed contract in place']
852,"('original', 'information')",25,original information,['Competitive Bidding Violation - 28 day failure']
853,"('bidders', 'able')",25,bidders able,['Competitive Bidding Violation - 28 day failure']
854,"('providing', 'additional')",25,providing additional,['Competitive Bidding Violation - 28 day failure']
855,"('documentation', 'providing')",25,documentation providing,['Competitive Bidding Violation - 28 day failure']
856,"('documentation', 'contained')",25,documentation contained,['Competitive Bidding Violation - 28 day failure']
857,"('application', 'accordance')",25,application accordance,[]
858,"('applicant', 'legally')",25,applicant legally,['No signed contract in place']
859,"('prior', 'filing')",25,prior filing,['No signed contract in place']
860,"('procedures', 'require')",25,procedures require,['Competitive Bidding Violation - 28 day failure']
861,"('signed', 'dated')",25,signed dated,['No signed contract in place']
862,"('agreement', 'entered')",25,agreement entered,['No signed contract in place']
863,"('additional', 'modifying')",25,additional modifying,['Competitive Bidding Violation - 28 day failure']
864,"('proposal', 'uploaded')",25,proposal uploaded,['Competitive Bidding Violation - 28 day failure']
865,"('voice', 'including')",25,voice including,"['Ineligible Service', 'Missing documentation needed to determine eligible service']"
866,"('able', 'respond')",25,able respond,['Competitive Bidding Violation - 28 day failure']
867,"('dr1', 'new')",24,dr1 new,"['Ineligible Service', '470 / 471 Mismatch']"
868,"('describe', 'planned')",24,describe planned,['470 / 471 Mismatch']
869,"('mr2', 'amount')",24,mr2 amount,['Competitive Bidding Violation']
870,"('requirements', 'requested')",24,requirements requested,['470 / 471 Mismatch']
871,"('year', 'fy2016')",24,year fy2016,"['No 470', 'Competitive Bidding Violation']"
872,"('must', 'describe')",24,must describe,['470 / 471 Mismatch']
873,"('child', 'relationship')",24,child relationship,['Applicant ineligible']
874,"('rules', 'dr2')",24,rules dr2,"['Competitive Bidding Violation', 'Voice - no discount remaining', 'Competitive Bidding Violation - price not primary factor']"
875,"('planned', 'service')",24,planned service,['470 / 471 Mismatch']
876,"('services', 'filing')",24,services filing,['470 / 471 Mismatch']
877,"('wireless', 'data')",24,wireless data,[]
878,"('001', 'modified')",24,001 modified,[]
879,"('make', 'bona')",24,make bona,['470 / 471 Mismatch']
880,"('information', 'bidders')",24,information bidders,['Competitive Bidding Violation - 28 day failure']
881,"('470', 'services')",24,470 services,['470 / 471 Mismatch']
882,"('available', '28')",24,available 28,['Competitive Bidding Violation - 28 day failure']
883,"('applicants', 'make')",24,applicants make,['470 / 471 Mismatch']
884,"('service', 'requirements')",24,service requirements,['470 / 471 Mismatch']
885,"('maintenance', 'operation')",24,maintenance operation,[]
886,"('supporting', 'documentation')",24,supporting documentation,"['470 / 471 Mismatch', 'Competitive Bidding Violation - price not primary factor']"
887,"('different', 'requested')",24,different requested,['470 / 471 Mismatch']
888,"('technology', 'act')",23,technology act,['Applicant ineligible']
889,"('application', 'number')",23,application number,[]
890,"('470', 'application')",23,470 application,[]
891,"('library', 'services')",23,library services,['Applicant ineligible']
892,"('carefully', 'consider')",23,carefully consider,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor']"
893,"('services', 'technology')",23,services technology,['Applicant ineligible']
894,"('compliance', 'review')",23,compliance review,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor']"
895,"('request', 'applicant')",23,request applicant,[]
896,"('establishing', 'fcc')",23,establishing fcc,['Ineligible Service']
897,"('number', 'changed')",23,number changed,[]
898,"('evaluation', 'criteria')",23,evaluation criteria,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor']"
899,"('98', 'per')",23,98 per,[]
900,"('64', 'per')",23,64 per,[]
901,"('evaluation', 'form')",22,evaluation form,['Competitive Bidding Violation']
902,"('state', 'library')",22,state library,['Applicant ineligible']
903,"('act', 'lsta')",22,act lsta,['Applicant ineligible']
904,"('receive', 'funding')",22,receive funding,"['470 / 471 Mismatch', 'Ineligible Service', 'Applicant ineligible']"
905,"('lsta', 'therefore')",22,lsta therefore,['Applicant ineligible']
906,"('usac', 'unable')",22,usac unable,['Competitive Bidding Violation']
907,"('requirement', 'receive')",22,requirement receive,['Applicant ineligible']
908,"('library', 'meet')",22,library meet,['Applicant ineligible']
909,"('eligibility', 'requirement')",22,eligibility requirement,['Applicant ineligible']
910,"('assistance', 'state')",22,assistance state,['Applicant ineligible']
911,"('agency', 'library')",22,agency library,['Applicant ineligible']
912,"('potential', 'service')",22,potential service,['Competitive Bidding Violation - specified vendor in 470']
913,"('meet', 'eligibility')",22,meet eligibility,['Applicant ineligible']
914,"('request', 'mr2')",22,request mr2,[]
915,"('therefore', 'library')",22,therefore library,['Applicant ineligible']
916,"('services', 'ineligible')",22,services ineligible,[]
917,"('library', 'administrative')",22,library administrative,['Applicant ineligible']
918,"('eligible', 'assistance')",22,eligible assistance,['Applicant ineligible']
919,"('following', 'items')",22,following items,"['Category 2 budget exceeded', 'Missing documentation needed to determine eligible service']"
920,"('dr1', 'products')",22,dr1 products,['470 / 471 Mismatch']
921,"('administrative', 'agency')",22,administrative agency,['Applicant ineligible']
922,"('00', 'agree')",22,00 agree,['470 / 471 Mismatch']
923,"('item', 'item')",22,item item,[]
924,"('process', 'therefore')",21,process therefore,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation - specified vendor in 470']"
925,"('6', '30')",21,6 30,['Competitive Bidding Violation']
926,"('process', 'described')",21,process described,['Competitive Bidding Violation']
927,"('00', 'per')",21,00 per,"['Competitive Bidding Violation', 'Missing documentation needed to determine eligible service']"
928,"('year', 'dr2')",21,year dr2,[]
929,"('applicants', 'carefully')",21,applicants carefully,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor']"
930,"('adhere', 'criteria')",21,adhere criteria,['Competitive Bidding Violation']
931,"('review', 'determined')",21,review determined,[]
932,"('effectiveness', 'review')",21,effectiveness review,['Fiber review failure']
933,"('contract', 'new')",21,contract new,[]
934,"('accordance', 'vendor')",21,accordance vendor,['Competitive Bidding Violation']
935,"('item', 'data')",21,item data,['Missing documentation needed to determine eligible service']
936,"('rfp', 'available')",21,rfp available,['Competitive Bidding Violation - 28 day failure']
937,"('contains', 'service')",21,contains service,['Competitive Bidding Violation - specified vendor in 470']
938,"('changed', 'request')",21,changed request,[]
939,"('dr1', 'funding')",20,dr1 funding,[]
940,"('determine', 'price')",20,determine price,['Competitive Bidding Violation']
941,"('service', 'start')",20,service start,[]
942,"('voice', 'mail')",20,voice mail,[]
943,"('category', 'one')",20,category one,[]
944,"('described', 'vendor')",20,described vendor,['Competitive Bidding Violation']
945,"('1', '2016')",20,1 2016,"['Red light rule violation', 'Competitive Bidding Violation']"
946,"('start', 'date')",20,start date,[]
947,"('provided', 'funding')",20,provided funding,[]
948,"('bids', 'received')",20,bids received,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation - specified vendor in 470']"
949,"('unable', 'determine')",20,unable determine,['Competitive Bidding Violation']
950,"('factor', 'selection')",20,factor selection,['Competitive Bidding Violation']
951,"('spin', 'number')",20,spin number,['Missing required fields on 471']
952,"('relationship', 'entities')",20,relationship entities,[]
953,"('signed', 'contract')",19,signed contract,['Competitive Bidding Violation']
954,"('“or', 'equivalent”')",19,“or equivalent”,[]
955,"('service', 'requested')",19,service requested,['Ineligible Service']
956,"('process', 'provided')",19,process provided,[]
957,"('1', '2017')",19,1 2017,[]
958,"('submit', 'bid')",19,submit bid,['Competitive Bidding Violation - specified vendor in 470']
959,"('cited', 'fcc')",19,cited fcc,['Competitive Bidding Violation - specified vendor in 470']
960,"('receiving', 'service')",19,receiving service,[]
961,"('item', 'documentation')",19,item documentation,[]
962,"('1', '012')",19,1 012,[]
963,"('manufacturer’s', 'name')",19,manufacturer’s name,[]
964,"('monthly', 'recurring')",19,monthly recurring,['Missing documentation needed to determine eligible service']
965,"('eligibility', 'entity')",19,eligibility entity,[]
966,"('based', 'supporting')",19,based supporting,"['470 / 471 Mismatch', 'Competitive Bidding Violation - price not primary factor']"
967,"('name', 'brand')",19,name brand,['Competitive Bidding Violation - specified vendor in 470']
968,"('type', 'requested')",18,type requested,[]
969,"('review', 'responses')",18,review responses,['Competitive Bidding Violation']
970,"('better', 'product')",18,better product,['Competitive Bidding Violation - specified vendor in 470']
971,"('item', '1')",18,item 1,"['Red light rule violation', 'Ineligible Service', 'Competitive Bidding Violation - specified vendor in 470']"
972,"('lines', 'frn')",18,lines frn,[]
973,"('also', 'specifying')",18,also specifying,['Competitive Bidding Violation - specified vendor in 470']
974,"('stated', 'selective')",18,stated selective,['Competitive Bidding Violation']
975,"('brand', 'products')",18,brand products,['Competitive Bidding Violation - specified vendor in 470']
976,"('expensive', 'service')",18,expensive service,['Competitive Bidding Violation - specified vendor in 470']
977,"('validate', 'parent')",18,validate parent,[]
978,"('expensive', 'choose')",18,expensive choose,['Competitive Bidding Violation - specified vendor in 470']
979,"('violation', 'indication')",18,violation indication,['Competitive Bidding Violation - specified vendor in 470']
980,"('isdn', 'pri')",18,isdn pri,['Ineligible Service']
981,"('provider', 'submit')",18,provider submit,['Competitive Bidding Violation - specified vendor in 470']
982,"('specifying', '“or')",18,specifying “or,[]
983,"('contains', 'particular')",18,contains particular,['Competitive Bidding Violation - specified vendor in 470']
984,"('bid', 'equivalent')",18,bid equivalent,['Competitive Bidding Violation - specified vendor in 470']
985,"('apparent', 'selection')",18,apparent selection,['Competitive Bidding Violation']
986,"('responses', 'therefore')",18,responses therefore,['Competitive Bidding Violation']
987,"('applicant', 'purchase')",18,applicant purchase,['Competitive Bidding Violation - specified vendor in 470']
988,"('undermines', 'competitive')",18,undermines competitive,['Competitive Bidding Violation - specified vendor in 470']
989,"('result', 'cost')",18,result cost,[]
990,"('indication', 'fcc')",18,indication fcc,['Competitive Bidding Violation - specified vendor in 470']
991,"('puerto', 'rico')",18,puerto rico,[]
992,"('00', 'monthly')",18,00 monthly,[]
993,"('criteria', 'stated')",18,criteria stated,['Competitive Bidding Violation']
994,"('470', 'established')",18,470 established,"['Ineligible Service', 'Competitive Bidding Violation', '470 / 471 Mismatch']"
995,"('purchase', 'equivalent')",18,purchase equivalent,['Competitive Bidding Violation - specified vendor in 470']
996,"('student', 'counts')",18,student counts,"['Missing required fields on 471', 'Missing documentation needed to determine eligible service']"
997,"('review', 'without')",18,review without,['Competitive Bidding Violation']
998,"('particular', 'manufacturer’s')",18,particular manufacturer’s,[]
999,"('mr1', 'consultation')",18,mr1 consultation,['Competitive Bidding Violation']
1000,"('may', 'less')",18,may less,['Competitive Bidding Violation - specified vendor in 470']
1001,"('agreement', 'new')",18,agreement new,[]
1002,"('opportunity', 'applicant')",18,opportunity applicant,['Competitive Bidding Violation - specified vendor in 470']
1003,"('without', 'also')",18,without also,['Competitive Bidding Violation - specified vendor in 470']
1004,"('vendor', 'accordance')",18,vendor accordance,['Competitive Bidding Violation']
1005,"('eliminating', 'opportunity')",18,eliminating opportunity,['Competitive Bidding Violation - specified vendor in 470']
1006,"('services', 'without')",18,services without,['Competitive Bidding Violation - specified vendor in 470']
1007,"('choose', 'less')",18,choose less,['Competitive Bidding Violation - specified vendor in 470']
1008,"('services', 'undermines')",18,services undermines,['Competitive Bidding Violation - specified vendor in 470']
1009,"('also', 'allowing')",18,also allowing,['Competitive Bidding Violation - specified vendor in 470']
1010,"('product', 'may')",18,product may,['Competitive Bidding Violation - specified vendor in 470']
1011,"('accordance', 'evaluation')",18,accordance evaluation,['Competitive Bidding Violation']
1012,"('equivalent”', 'competitive')",18,equivalent” competitive,[]
1013,"('denied', 'result')",18,denied result,[]
1014,"('equivalent', 'products')",18,equivalent products,['Competitive Bidding Violation - specified vendor in 470']
1015,"('rfp', 'addenda')",18,rfp addenda,[]
1016,"('equivalent', 'better')",18,equivalent better,['Competitive Bidding Violation - specified vendor in 470']
1017,"('determined', 'request')",18,determined request,[]
1018,"('mr1', 'establishing')",18,mr1 establishing,[]
1019,"('process', 'eliminating')",18,process eliminating,['Competitive Bidding Violation - specified vendor in 470']
1020,"('allowing', 'service')",18,allowing service,['Competitive Bidding Violation - specified vendor in 470']
1021,"('6', '22')",17,6 22,['Red light rule violation']
1022,"('470', 'products')",17,470 products,[]
1023,"('item', 'according')",17,item according,['Ineligible Service']
1024,"('potential', 'vendors')",17,potential vendors,[]
1025,"('change', 'service')",17,change service,[]
1026,"('product', 'based')",17,product based,['Ineligible Service']
1027,"('effective', 'required')",17,effective required,[]
1028,"('denied', 'due')",17,denied due,[]
1029,"('portal', 'potential')",17,portal potential,[]
1030,"('eligibility', 'discounts')",17,eligibility discounts,['Ineligible Service']
1031,"('demonstrate', 'eligibility')",17,demonstrate eligibility,['Ineligible Service']
1032,"('accordance', 'program')",17,accordance program,['Competitive Bidding Violation']
1033,"('justified', 'cost')",17,justified cost,[]
1034,"('provided', 'sufficiently')",17,provided sufficiently,['Ineligible Service']
1035,"('according', 'program')",17,according program,"['Ineligible Service', 'Competitive Bidding Violation']"
1036,"('contact', 'information')",17,contact information,['Competitive Bidding Violation - specified vendor in 470']
1037,"('fiber', 'program')",17,fiber program,['470 / 471 Mismatch']
1038,"('description', 'products')",17,description products,['Competitive Bidding Violation - specified vendor in 470']
1039,"('provided', 'demonstrates')",17,provided demonstrates,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor']"
1040,"('sufficiently', 'demonstrate')",17,sufficiently demonstrate,['Ineligible Service']
1041,"('factor', 'considered')",17,factor considered,"['Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation']"
1042,"('discounts', 'following')",17,discounts following,['Ineligible Service']
1043,"('rfp', 'also')",17,rfp also,['Competitive Bidding Violation - specified vendor in 470']
1044,"('1', 'modified')",17,1 modified,"['Red light rule violation', 'Ineligible Service', 'Competitive Bidding Violation - specified vendor in 470']"
1045,"('review', 'process')",17,review process,[]
1046,"('dr1', '6')",17,dr1 6,['Red light rule violation']
1047,"('22', '2017')",17,22 2017,['Red light rule violation']
1048,"('well', 'documentation')",16,well documentation,[]
1049,"('frn', 'include')",16,frn include,"['Ineligible Service', 'Competitive Bidding Violation', 'Voice - no discount remaining', '470 / 471 Mismatch']"
1050,"('service', 'funding')",16,service funding,[]
1051,"('bidding', 'requirement')",16,bidding requirement,"['Ineligible Service', 'Competitive Bidding Violation', '470 / 471 Mismatch']"
1052,"('mail', 'services')",16,mail services,[]
1053,"('based', 'documentation')",16,based documentation,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation - specified vendor in 470']"
1054,"('evaluate', 'documentation')",16,evaluate documentation,[]
1055,"('bidding', 'frn')",16,bidding frn,[]
1056,"('dr1', 'based')",16,dr1 based,"['Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation - specified vendor in 470']"
1057,"('rfp', 'issued')",16,rfp issued,['Competitive Bidding Violation']
1058,"('frn', '16078738')",16,frn 16078738,[]
1059,"('community', 'action')",16,community action,[]
1060,"('two', 'services')",16,two services,['Missing documentation needed to determine eligible service']
1061,"('vendors', 'evaluate')",16,vendors evaluate,[]
1062,"('thus', 'made')",16,thus made,[]
1063,"('ineligible', 'items')",16,ineligible items,['Ineligible Service']
1064,"('dr1', 'review')",16,dr1 review,[]
1065,"('bidding', 'review')",16,bidding review,[]
1066,"('administrator', 'competitive')",16,administrator competitive,[]
1067,"('request', 'voice')",16,request voice,[]
1068,"('contained', 'information')",16,contained information,['Competitive Bidding Violation - 28 day failure']
1069,"('1', '024')",16,1 024,[]
1070,"('therefore', 'meet')",16,therefore meet,"['Ineligible Service', 'Competitive Bidding Violation', '470 / 471 Mismatch']"
1071,"('801', '04')",16,801 04,[]
1072,"('ies', 'receiving')",16,ies receiving,[]
1073,"('without', 'vendor')",16,without vendor,['Competitive Bidding Violation']
1074,"('evaluate', 'therefore')",16,evaluate therefore,[]
1075,"('frn', '1699100956')",16,frn 1699100956,[]
1076,"('denied', 'accordingly')",16,denied accordingly,[]
1077,"('meet', '28')",16,meet 28,"['Ineligible Service', 'Competitive Bidding Violation', '470 / 471 Mismatch']"
1078,"('rfp', 'uploaded')",16,rfp uploaded,[]
1079,"('dr1', '1')",15,dr1 1,[]
1080,"('10', '2017')",15,10 2017,[]
1081,"('one', 'category')",15,one category,[]
1082,"('item', 'wireless')",15,item wireless,[]
1083,"('dr1', '7')",15,dr1 7,['Red light rule violation']
1084,"('must', 'filed')",15,must filed,[]
1085,"('bid', 'services')",15,bid services,['Competitive Bidding Violation - price not primary factor']
1086,"('type', 'per')",15,type per,[]
1087,"('caller', 'id')",15,caller id,[]
1088,"('applicant', 'consider')",15,applicant consider,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor']"
1089,"('support', 'requested')",15,support requested,"['Missing required fields on 471', 'Missing documentation needed to determine eligible service']"
1090,"('inform', 'potential')",15,inform potential,[]
1091,"('procedures', 'category')",15,procedures category,[]
1092,"('cellular', 'service')",15,cellular service,[]
1093,"('applications', 'since')",15,applications since,[]
1094,"('demonstrates', 'applicant')",15,demonstrates applicant,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor']"
1095,"('filed', 'separate')",15,filed separate,[]
1096,"('separate', 'applications')",15,separate applications,[]
1097,"('1', '10')",15,1 10,[]
1098,"('1', 'service')",15,1 service,"['Voice - no discount remaining', 'Ineligible Service']"
1099,"('vendor', 'apparent')",15,vendor apparent,['Competitive Bidding Violation']
1100,"('maintenance', 'operations')",14,maintenance operations,[]
1101,"('services', 'cited')",14,services cited,['Competitive Bidding Violation - specified vendor in 470']
1102,"('96', 'per')",14,96 per,[]
1103,"('provided', 'rfp')",14,provided rfp,[]
1104,"('items', 'cannot')",14,items cannot,['Ineligible Service']
1105,"('entities', 'district')",14,entities district,[]
1106,"('listed', 'category')",14,listed category,[]
1107,"('dr2', 'service')",14,dr2 service,['Voice - no discount remaining']
1108,"('mr1', 'monthly')",14,mr1 monthly,[]
1109,"('16056957', 'heartland')",14,16056957 heartland,[]
1110,"('heartland', 'community')",14,heartland community,[]
1111,"('agency', 'inc')",14,agency inc,[]
1112,"('dr1', 'winning')",14,dr1 winning,[]
1113,"('distance', 'phone')",14,distance phone,[]
1114,"('advance', '2000')",14,advance 2000,['Competitive Bidding Violation - price not primary factor']
1115,"('rfp', 'addendum')",14,rfp addendum,['Competitive Bidding Violation - 28 day failure']
1116,"('administrator’s', 'fiber')",14,administrator’s fiber,[]
1117,"('following', 'ineligible')",14,following ineligible,['Ineligible Service']
1118,"('26', '2016')",14,26 2016,['Red light rule violation']
1119,"('category', '1')",14,category 1,[]
1120,"('action', 'agency')",14,action agency,[]
1121,"('changed', '6')",14,changed 6,[]
1122,"('cannot', 'receive')",14,cannot receive,['Ineligible Service']
1123,"('fiber', 'maintenance')",14,fiber maintenance,[]
1124,"('cable', 'modem')",14,cable modem,[]
1125,"('authority', '16056957')",14,authority 16056957,[]
1126,"('submitted', 'service')",13,submitted service,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor']"
1127,"('recurring', 'unit')",13,recurring unit,[]
1128,"('request', 'cellular')",13,request cellular,[]
1129,"('quantity', 'frn')",13,quantity frn,['Red light rule violation']
1130,"('change', 'answer')",13,change answer,['Competitive Bidding Violation - price not primary factor']
1131,"('oc', '1')",13,oc 1,['Missing documentation needed to determine eligible service']
1132,"('participates', 'competitive')",13,participates competitive,['Competitive Bidding Violation - specified vendor in 470']
1133,"('determine', 'request')",13,determine request,['Ineligible Service']
1134,"('equipment', 'listed')",13,equipment listed,[]
1135,"('charter', 'school')",13,charter school,[]
1136,"('denied', 'fcc')",13,denied fcc,"['Ineligible Service', '470 / 471 Mismatch']"
1137,"('denied', 'entity')",13,denied entity,['Applicant ineligible']
1138,"('requested', 'fiber')",13,requested fiber,['Competitive Bidding Violation']
1139,"('full', 'part')",13,full part,"['Missing required fields on 471', 'Missing documentation needed to determine eligible service']"
1140,"('funding', 'frn')",13,funding frn,['Ineligible Service']
1141,"('listed', 'frn')",13,listed frn,['Competitive Bidding Violation - price not primary factor']
1142,"('service', 'pots')",13,service pots,[]
1143,"('30', '2017')",13,30 2017,['Competitive Bidding Violation']
1144,"('provider', 'changed')",13,provider changed,['Competitive Bidding Violation']
1145,"('7', '26')",13,7 26,['Red light rule violation']
1146,"('answer', 'fiber')",13,answer fiber,['Competitive Bidding Violation - price not primary factor']
1147,"('submitted', 'therefore')",13,submitted therefore,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor']"
1148,"('include', 'service')",13,include service,"['Competitive Bidding Violation', '470 / 471 Mismatch']"
1149,"('compliance', 'information')",13,compliance information,[]
1150,"('providers', 'choose')",13,providers choose,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor']"
1151,"('bidders', 'rfp')",13,bidders rfp,[]
1152,"('part', 'time')",13,part time,"['Missing required fields on 471', 'Missing documentation needed to determine eligible service']"
1153,"('factor', 'bid')",13,factor bid,"['Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation - specified vendor in 470']"
1154,"('fiber', 'question')",13,fiber question,['Competitive Bidding Violation - price not primary factor']
1155,"('following', 'product')",13,following product,"['Ineligible Service', 'Competitive Bidding Violation', 'Voice - no discount remaining', 'Fiber review failure']"
1156,"('provisioned', 'network')",13,provisioned network,[]
1157,"('childhood', 'programs')",12,childhood programs,[]
1158,"('certifications', 'dr2')",12,certifications dr2,[]
1159,"('470', 'associated')",12,470 associated,['Competitive Bidding Violation - specified vendor in 470']
1160,"('portal', 'thus')",12,portal thus,[]
1161,"('16076588', 'leech')",12,16076588 leech,[]
1162,"('16078527', '16078528')",12,16078527 16078528,[]
1163,"('16078528', '16078529')",12,16078528 16078529,[]
1164,"('factor', 'included')",12,factor included,[]
1165,"('rules', 'thirty')",12,rules thirty,[]
1166,"('early', 'childhood')",12,early childhood,[]
1167,"('selecting', 'winning')",12,selecting winning,"['Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation']"
1168,"('leech', 'lake')",12,leech lake,[]
1169,"('agreement', 'service')",12,agreement service,['Competitive Bidding Violation']
1170,"('effectiveness', 'requested')",12,effectiveness requested,['Competitive Bidding Violation']
1171,"('uploaded', 'e')",12,uploaded e,[]
1172,"('effective', 'leased')",12,effective leased,[]
1173,"('band', 'ojibwe')",12,band ojibwe,[]
1174,"('inc', 'spin')",12,inc spin,['Competitive Bidding Violation - specified vendor in 470']
1175,"('ojibwe', 'early')",12,ojibwe early,[]
1176,"('llc', 'added')",12,llc added,[]
1177,"('authority', '16076588')",12,authority 16076588,[]
1178,"('amp', '16078533')",12,amp 16078533,[]
1179,"('requested', 'services')",12,requested services,[]
1180,"('frn', '16078527')",12,frn 16078527,[]
1181,"('requesting', 'maintenance')",12,requesting maintenance,[]
1182,"('programs', 'dr2')",12,programs dr2,[]
1183,"('16078529', '16078530')",12,16078529 16078530,[]
1184,"('dr1', 'vendor')",12,dr1 vendor,[]
1185,"('provided', 'response')",12,provided response,['Competitive Bidding Violation']
1186,"('16078531', '16078532')",12,16078531 16078532,[]
1187,"('16078533', 'meet')",12,16078533 meet,[]
1188,"('16078530', '16078531')",12,16078530 16078531,[]
1189,"('dr1', '9')",12,dr1 9,['Red light rule violation']
1190,"('bidding', 'requirements')",12,bidding requirements,[]
1191,"('denied', 'product')",12,denied product,['Ineligible Service']
