,trigram,count,phrase_array,category_arrays,evan_ids
1238,"('fiber', 'review', 'information')",14,fiber review information,"['Competitive Bidding Violation', 'Fiber review failure']","[7, 96, 109]"
1239,"('funding', 'request', 'documentation')",14,funding request documentation,[],[]
1240,"('request', 'documentation', 'validate')",14,request documentation validate,[],[]
1241,"('16056957', 'heartland', 'community')",14,16056957 heartland community,[],[]
1242,"('remove', 'ineligible', 'product')",14,remove ineligible product,"['Competitive Bidding Violation', 'Competitive Bidding Violation - specified vendor in 470', 'Ineligible Service']","[32, 70, 166]"
1243,"('long', 'distance', 'phone')",14,long distance phone,[],[]
1244,"('authority', '16056957', 'heartland')",14,authority 16056957 heartland,[],[]
1245,"('community', 'action', 'agency')",14,community action agency,[],[]
1246,"('fall', 'authority', '16056957')",14,fall authority 16056957,[],[]
1247,"('requested', 'ineligible', 'items')",14,requested ineligible items,['Ineligible Service'],[58]
1248,"('heartland', 'community', 'action')",14,heartland community action,[],[]
1249,"('process', 'therefore', 'frn')",14,process therefore frn,['Competitive Bidding Violation'],[2]
1250,"('items', 'cannot', 'receive')",14,items cannot receive,['Ineligible Service'],[58]
1251,"('cannot', 'receive', 'funding')",14,cannot receive funding,['Ineligible Service'],[58]
1252,"('service', 'requested', 'ineligible')",14,service requested ineligible,['Ineligible Service'],[58]
1253,"('products', 'services', 'cited')",14,products services cited,['Competitive Bidding Violation - specified vendor in 470'],[36]
1254,"('96', 'per', 'month')",14,96 per month,[],[]
1255,"('documentation', 'validate', 'parent')",14,documentation validate parent,[],[]
1256,"('respond', 'administrator’s', 'fiber')",14,respond administrator’s fiber,[],[]
1257,"('selective', 'review', 'without')",14,selective review without,['Competitive Bidding Violation'],"[15, 18, 21, 22, 26, 27, 28, 29]"
1258,"('child', 'relationship', 'entities')",14,child relationship entities,[],[]
1259,"('listed', 'category', '1')",14,listed category 1,[],[]
1260,"('dr1', 'winning', 'vendor')",14,dr1 winning vendor,[],[]
1261,"('dr2', 'service', 'type')",14,dr2 service type,['Voice - no discount remaining'],[63]
1262,"('services', 'cited', 'fcc')",14,services cited fcc,['Competitive Bidding Violation - specified vendor in 470'],[36]
1263,"('process', 'provided', 'rfp')",14,process provided rfp,[],[]
1264,"('funding', 'frn', 'contains')",13,funding frn contains,['Ineligible Service'],[58]
1265,"('change', 'answer', 'fiber')",13,change answer fiber,['Competitive Bidding Violation - price not primary factor'],[95]
1266,"('requested', 'fiber', 'solution')",13,requested fiber solution,['Competitive Bidding Violation'],[7]
1267,"('following', 'ineligible', 'product')",13,following ineligible product,['Ineligible Service'],[58]
1268,"('7', '26', '2016')",13,7 26 2016,['Red light rule violation'],"[135, 137, 138, 189]"
1269,"('dr1', '7', '26')",13,dr1 7 26,['Red light rule violation'],"[135, 137, 138, 189]"
1270,"('provided', 'demonstrates', 'applicant')",13,provided demonstrates applicant,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor']","[2, 11, 30, 45, 56, 95]"
1271,"('include', 'service', 'type')",13,include service type,"['Competitive Bidding Violation', '470 / 471 Mismatch']","[59, 77, 178]"
1272,"('receive', 'funding', 'frn')",13,receive funding frn,['Ineligible Service'],[58]
1273,"('submitted', 'therefore', 'applicant')",13,submitted therefore applicant,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor']","[2, 11, 30, 45, 56, 95]"
1274,"('compliance', 'information', 'request')",13,compliance information request,[],[]
1275,"('order', 'change', 'answer')",13,order change answer,['Competitive Bidding Violation - price not primary factor'],[95]
1276,"('quantity', 'frn', 'line')",13,quantity frn line,['Red light rule violation'],[72]
1277,"('providers', 'choose', 'cost')",13,providers choose cost,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor']","[2, 11, 30, 45, 56, 95]"
1278,"('frn', 'include', 'service')",13,frn include service,"['Competitive Bidding Violation', '470 / 471 Mismatch']","[59, 77, 178]"
1279,"('provided', 'determine', 'request')",13,provided determine request,['Ineligible Service'],"[57, 67]"
1280,"('submitted', 'service', 'providers')",13,submitted service providers,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor']","[2, 11, 30, 45, 56, 95]"
1281,"('frn', 'denied', 'entity')",13,frn denied entity,['Applicant ineligible'],"[124, 132, 140, 159, 163]"
1282,"('contains', 'following', 'product')",13,contains following product,"['Ineligible Service', 'Competitive Bidding Violation', 'Voice - no discount remaining', 'Fiber review failure']","[1, 2, 63, 96]"
1283,"('phone', 'service', 'pots')",13,phone service pots,[],[]
1284,"('special', 'compliance', 'information')",13,special compliance information,[],[]
1285,"('applicant', 'service', 'provider')",13,applicant service provider,['Competitive Bidding Violation'],[33]
1286,"('contains', 'service', 'provider')",13,contains service provider,['Competitive Bidding Violation - specified vendor in 470'],[103]
1287,"('answer', 'fiber', 'question')",13,answer fiber question,['Competitive Bidding Violation - price not primary factor'],[95]
1288,"('bids', 'submitted', 'therefore')",13,bids submitted therefore,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor']","[2, 11, 30, 45, 56, 95]"
1289,"('frn', 'denied', 'fcc')",13,frn denied fcc,"['Ineligible Service', '470 / 471 Mismatch']","[54, 97]"
1290,"('denied', 'fcc', 'form')",13,denied fcc form,"['Ineligible Service', '470 / 471 Mismatch']","[54, 97]"
1291,"('participates', 'competitive', 'bidding')",13,participates competitive bidding,['Competitive Bidding Violation - specified vendor in 470'],[103]
1292,"('contains', 'following', 'ineligible')",13,contains following ineligible,['Ineligible Service'],[58]
1293,"('year', 'dr2', 'applicant')",13,year dr2 applicant,[],[]
1294,"('service', 'provider', 'changed')",13,service provider changed,['Competitive Bidding Violation'],[33]
1295,"('category', '1', 'service')",13,category 1 service,[],[]
1296,"('network', 'equipment', 'listed')",13,network equipment listed,[],[]
1297,"('service', 'providers', 'choose')",13,service providers choose,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor']","[2, 11, 30, 45, 56, 95]"
1298,"('bids', 'submitted', 'service')",13,bids submitted service,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor']","[2, 11, 30, 45, 56, 95]"
1299,"('monthly', 'recurring', 'unit')",13,monthly recurring unit,[],[]
1300,"('provisioned', 'network', 'equipment')",13,provisioned network equipment,[],[]
1301,"('self', 'provisioned', 'network')",13,self provisioned network,[],[]
1302,"('26', '2016', 'application')",13,26 2016 application,['Red light rule violation'],"[135, 137, 138, 189]"
1303,"('factor', 'bid', 'evaluation')",13,factor bid evaluation,"['Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation - specified vendor in 470']","[42, 81]"
1304,"('date', 'changed', '6')",12,date changed 6,[],[]
1305,"('productivity', 'portal', 'thus')",12,productivity portal thus,[],[]
1306,"('product', 'service', 'requested')",12,product service requested,['Ineligible Service'],[58]
1307,"('001', 'modified', '1')",12,001 modified 1,[],[]
1308,"('failed', 'provide', 'documentation')",12,failed provide documentation,[],[]
1309,"('dr1', 'based', 'documentation')",12,dr1 based documentation,"['Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation - specified vendor in 470']","[64, 81, 172, 174]"
1310,"('agreement', 'service', 'provider')",12,agreement service provider,['Competitive Bidding Violation'],"[17, 18, 19, 20, 21, 29, 31]"
1311,"('within', 'frn', '16078527')",12,within frn 16078527,[],[]
1312,"('amp', '16078533', 'meet')",12,amp 16078533 meet,[],[]
1313,"('amp', 'amp', '16078533')",12,amp amp 16078533,[],[]
1314,"('ojibwe', 'early', 'childhood')",12,ojibwe early childhood,[],[]
1315,"('fall', 'authority', '16076588')",12,fall authority 16076588,[],[]
1316,"('frn', 'self', 'provisioned')",12,frn self provisioned,[],[]
1317,"('16078528', '16078529', '16078530')",12,16078528 16078529 16078530,[],[]
1318,"('rules', 'mr1', 'frn')",12,rules mr1 frn,[],[]
1319,"('item', 'documentation', 'validate')",12,item documentation validate,[],[]
1320,"('form', '470', 'associated')",12,form 470 associated,['Competitive Bidding Violation - specified vendor in 470'],[103]
1321,"('frn', 'requesting', 'maintenance')",12,frn requesting maintenance,[],[]
1322,"('16078529', '16078530', '16078531')",12,16078529 16078530 16078531,[],[]
1323,"('rfp', 'uploaded', 'e')",12,rfp uploaded e,[],[]
1324,"('effective', 'leased', 'lit')",12,effective leased lit,[],[]
1325,"('16078530', '16078531', '16078532')",12,16078530 16078531 16078532,[],[]
1326,"('early', 'childhood', 'programs')",12,early childhood programs,[],[]
1327,"('16078531', '16078532', 'amp')",12,16078531 16078532 amp,[],[]
1328,"('16078527', '16078528', '16078529')",12,16078527 16078528 16078529,[],[]
1329,"('following', 'product', 'service')",12,following product service,"['Ineligible Service', 'Voice - no discount remaining', 'Fiber review failure']","[1, 63, 96]"
1330,"('16078532', 'amp', 'amp')",12,16078532 amp amp,[],[]
1331,"('dr1', 'frn', 'self')",12,dr1 frn self,[],[]
1332,"('16078533', 'meet', 'statutory')",12,16078533 meet statutory,[],[]
1333,"('certifications', 'dr2', 'applicant')",12,certifications dr2 applicant,[],[]
1334,"('equipment', 'listed', 'category')",12,equipment listed category,[],[]
1335,"('llc', 'added', 'fcc')",12,llc added fcc,[],[]
1336,"('changed', '6', '30')",12,changed 6 30,[],[]
1337,"('competitive', 'bidding', 'requirements')",12,competitive bidding requirements,[],[]
1338,"('childhood', 'programs', 'dr2')",12,childhood programs dr2,[],[]
1339,"('process', 'required', 'fcc')",12,process required fcc,['Competitive Bidding Violation - specified vendor in 470'],[81]
1340,"('binding', 'agreement', 'service')",12,binding agreement service,['Competitive Bidding Violation'],"[17, 18, 19, 20, 21, 29, 31]"
1341,"('1', '024', '98')",12,1 024 98,[],[]
1342,"('portal', 'thus', 'made')",12,portal thus made,[],[]
1343,"('lake', 'band', 'ojibwe')",12,lake band ojibwe,[],[]
1344,"('program', 'rules', 'thirty')",12,program rules thirty,[],[]
1345,"('programs', 'dr2', 'frn')",12,programs dr2 frn,[],[]
1346,"('authority', '16076588', 'leech')",12,authority 16076588 leech,[],[]
1347,"('frn', '16078527', '16078528')",12,frn 16078527 16078528,[],[]
1348,"('470', 'associated', 'frn')",12,470 associated frn,['Competitive Bidding Violation - specified vendor in 470'],[103]
1349,"('band', 'ojibwe', 'early')",12,band ojibwe early,[],[]
1350,"('rules', 'thirty', 'percent')",12,rules thirty percent,[],[]
1351,"('cost', 'effectiveness', 'requested')",12,cost effectiveness requested,['Competitive Bidding Violation'],[7]
1352,"('cost', 'effective', 'leased')",12,cost effective leased,[],[]
1353,"('uploaded', 'e', 'rate')",12,uploaded e rate,[],[]
1354,"('16076588', 'leech', 'lake')",12,16076588 leech lake,[],[]
1355,"('effectiveness', 'requested', 'fiber')",12,effectiveness requested fiber,['Competitive Bidding Violation'],[7]
1356,"('frn', 'denied', 'product')",12,frn denied product,['Ineligible Service'],[58]
1357,"('471', 'certifications', 'dr2')",12,471 certifications dr2,[],[]
1358,"('denied', 'product', 'service')",12,denied product service,['Ineligible Service'],[58]
1359,"('leech', 'lake', 'band')",12,leech lake band,[],[]
1360,"('evaluation', 'form', 'provided')",11,evaluation form provided,['Competitive Bidding Violation'],"[15, 18, 21, 22, 26, 27, 28, 29]"
1361,"('least', '28', 'days')",11,least 28 days,[],[]
1362,"('recurring', 'unit', 'cost')",11,recurring unit cost,[],[]
1363,"('place', 'time', 'submission')",11,place time submission,['Competitive Bidding Violation'],"[17, 18, 19, 20, 21, 29, 31]"
1364,"('frn', 'dark', 'fiber')",11,frn dark fiber,[],[]
1365,"('frn', 'contains', 'service')",11,frn contains service,['Competitive Bidding Violation - specified vendor in 470'],[103]
1366,"('documentation', 'validate', 'requests')",11,documentation validate requests,[],[]
1367,"('service', 'provider', 'associated')",11,service provider associated,['Competitive Bidding Violation - specified vendor in 470'],[103]
1368,"('occurs', 'service', 'provider')",11,occurs service provider,['Competitive Bidding Violation - specified vendor in 470'],[103]
1369,"('provided', 'failed', 'demonstrate')",11,provided failed demonstrate,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor']","[87, 95]"
1370,"('evaluation', 'form', 'usac')",11,evaluation form usac,['Competitive Bidding Violation'],"[15, 18, 21, 22, 26, 27, 28, 29]"
1371,"('consider', 'bids', 'received')",11,consider bids received,['Competitive Bidding Violation'],[16]
1372,"('provided', 'demonstrate', 'contract')",11,provided demonstrate contract,['Competitive Bidding Violation'],"[17, 18, 19, 20, 21, 29, 31]"
1373,"('validate', 'requests', 'duplicates')",11,validate requests duplicates,[],[]
1374,"('violation', 'occurs', 'service')",11,violation occurs service,['Competitive Bidding Violation - specified vendor in 470'],[103]
1375,"('provider', 'associated', 'fcc')",11,provider associated fcc,['Competitive Bidding Violation - specified vendor in 470'],[103]
1376,"('wait', 'least', '28')",11,wait least 28,[],[]
1377,"('internet', 'access', 'service')",11,internet access service,['Missing documentation needed to determine eligible service'],[183]
1378,"('form', 'usac', 'unable')",11,form usac unable,['Competitive Bidding Violation'],"[15, 18, 21, 22, 26, 27, 28, 29]"
1379,"('form', 'provided', 'selective')",11,form provided selective,['Competitive Bidding Violation'],"[15, 18, 21, 22, 26, 27, 28, 29]"
1380,"('filed', 'therefore', 'frn')",11,filed therefore frn,['Competitive Bidding Violation'],"[17, 18, 19, 20, 21, 29, 31]"
1381,"('certification', 'filed', 'therefore')",11,certification filed therefore,['Competitive Bidding Violation'],"[17, 18, 19, 20, 21, 29, 31]"
1382,"('associated', 'frn', 'contains')",11,associated frn contains,['Competitive Bidding Violation - specified vendor in 470'],[103]
1383,"('primary', 'factor', 'considered')",11,primary factor considered,['Competitive Bidding Violation - price not primary factor'],"[42, 64]"
1384,"('e', 'rate', 'program')",11,e rate program,[],[]
1385,"('form', '470', 'participates')",11,form 470 participates,['Competitive Bidding Violation - specified vendor in 470'],[103]
1386,"('therefore', 'funding', 'denied')",11,therefore funding denied,"['Ineligible Service', 'Competitive Bidding Violation - specified vendor in 470']","[100, 103]"
1387,"('rules', 'require', 'signed')",11,rules require signed,['Competitive Bidding Violation'],"[17, 18, 19, 20, 21, 29, 31]"
1388,"('bidding', 'cost', 'effectiveness')",11,bidding cost effectiveness,['Competitive Bidding Violation'],"[6, 7]"
1389,"('signed', 'contract', 'legally')",11,signed contract legally,['Competitive Bidding Violation'],"[17, 18, 19, 20, 21, 29, 31]"
1390,"('parent', 'child', 'validation')",11,parent child validation,"['Missing required fields on 471', 'Missing documentation needed to determine eligible service']","[9, 10, 117, 118]"
1391,"('bidding', 'violation', 'occurs')",11,bidding violation occurs,['Competitive Bidding Violation - specified vendor in 470'],[103]
1392,"('fcc', 'registration', 'number')",11,fcc registration number,[],[]
1393,"('bids', 'received', 'response')",11,bids received response,['Competitive Bidding Violation'],[16]
1394,"('associated', 'fcc', 'form')",11,associated fcc form,['Competitive Bidding Violation - specified vendor in 470'],"[69, 70, 71, 81, 103]"
1395,"('demonstrate', 'contract', 'legally')",11,demonstrate contract legally,['Competitive Bidding Violation'],"[17, 18, 19, 20, 21, 29, 31]"
1396,"('6', '30', '2017')",11,6 30 2017,['Competitive Bidding Violation'],[77]
1397,"('require', 'signed', 'contract')",11,require signed contract,['Competitive Bidding Violation'],"[17, 18, 19, 20, 21, 29, 31]"
1398,"('time', 'submission', 'fcc')",11,time submission fcc,['Competitive Bidding Violation'],"[17, 18, 19, 20, 21, 29, 31]"
1399,"('submission', 'fcc', 'form')",11,submission fcc form,['Competitive Bidding Violation'],"[17, 18, 19, 20, 21, 29, 31]"
1400,"('response', 'fcc', 'form')",11,response fcc form,['Competitive Bidding Violation'],[16]
1401,"('competitive', 'bidding', 'cost')",11,competitive bidding cost,['Competitive Bidding Violation'],"[6, 7]"
1402,"('entities', 'district', 'documentation')",11,entities district documentation,[],[]
1403,"('470', 'participates', 'competitive')",11,470 participates competitive,['Competitive Bidding Violation - specified vendor in 470'],[103]
1404,"('dark', 'fiber', 'iru')",11,dark fiber iru,[],[]
1405,"('1', 'modified', '1')",11,1 modified 1,['Red light rule violation'],[72]
1406,"('eligible', 'data', 'plans')",11,eligible data plans,['Ineligible Service'],"[57, 67]"
1407,"('received', 'response', 'fcc')",11,received response fcc,['Competitive Bidding Violation'],[16]
1408,"('provided', 'determine', 'entity')",10,provided determine entity,['Competitive Bidding Violation'],[7]
1409,"('rules', 'mr1', 'new')",10,rules mr1 new,"['Ineligible Service', 'Competitive Bidding Violation - price not primary factor']","[1, 95]"
1410,"('471', 'network', 'equipment')",10,471 network equipment,[],[]
1411,"('mr2', 'consultation', 'applicant')",10,mr2 consultation applicant,[],[]
1412,"('equipment', 'substantially', 'different')",10,equipment substantially different,[],[]
1413,"('mr1', 'data', 'transmission')",10,mr1 data transmission,['Missing documentation needed to determine eligible service'],[183]
1414,"('certification', 'documentation', 'provided')",10,certification documentation provided,['Competitive Bidding Violation'],"[17, 18, 19, 20, 21, 29, 31]"
1415,"('entity', 'requesting', 'service')",10,entity requesting service,['Applicant ineligible'],"[159, 163]"
1416,"('470', 'dark', 'lit')",10,470 dark lit,[],[]
1417,"('services', 'inc', 'spin')",10,services inc spin,[],[]
1418,"('changed', 'promedia', 'technology')",10,changed promedia technology,[],[]
1419,"('changed', '7', '1')",10,changed 7 1,[],[]
1420,"('9', '1', '2016')",10,9 1 2016,['Red light rule violation'],"[72, 73, 74]"
1421,"('technology', 'services', 'inc')",10,technology services inc,[],[]
1422,"('review', 'adhere', 'criteria')",10,review adhere criteria,['Competitive Bidding Violation'],[2]
1423,"('review', 'although', 'price')",10,review although price,[],[]
1424,"('spin', 'number', '143004851')",10,spin number 143004851,[],[]
1425,"('following', 'item', 'fcc')",10,following item fcc,[],[]
1426,"('1', '2016', 'application')",10,1 2016 application,['Red light rule violation'],"[72, 73, 74]"
1427,"('form', '470', 'dark')",10,form 470 dark,[],[]
1428,"('determine', 'request', 'data')",10,determine request data,['Ineligible Service'],"[57, 67]"
1429,"('distance', 'phone', 'service')",10,distance phone service,[],[]
1430,"('provider', 'changed', 'promedia')",10,provider changed promedia,[],[]
1431,"('1', '012', '98')",10,1 012 98,[],[]
1432,"('mr1', 'monthly', 'quantity')",10,mr1 monthly quantity,[],[]
1433,"('471', 'certification', 'documentation')",10,471 certification documentation,['Competitive Bidding Violation'],"[17, 18, 19, 20, 21, 29, 31]"
1434,"('dark', 'fiber', 'substantially')",10,dark fiber substantially,['470 / 471 Mismatch'],[44]
1435,"('dark', 'lit', 'fiber')",10,dark lit fiber,[],[]
1436,"('inc', 'spin', 'number')",10,inc spin number,[],[]
1437,"('request', 'mr2', 'consultation')",10,request mr2 consultation,[],[]
1438,"('inform', 'potential', 'bidders')",10,inform potential bidders,[],[]
1439,"('given', 'highest', 'weighting')",10,given highest weighting,[],[]
1440,"('interconnected', 'voip', 'service')",10,interconnected voip service,[],[]
1441,"('provider', 'place', 'time')",10,provider place time,['Competitive Bidding Violation'],"[18, 19, 20, 21, 29, 31]"
1442,"('dr1', 'description', 'products')",10,dr1 description products,['Competitive Bidding Violation - specified vendor in 470'],[36]
1443,"('dr1', '9', '1')",10,dr1 9 1,['Red light rule violation'],"[72, 73, 74]"
1444,"('promedia', 'technology', 'services')",10,promedia technology services,[],[]
1445,"('cost', 'ineligible', 'products')",10,cost ineligible products,[],[]
1446,"('7', '1', '2016')",10,7 1 2016,[],[]
1447,"('fiber', 'substantially', 'different')",10,fiber substantially different,['470 / 471 Mismatch'],[44]
1448,"('network', 'equipment', 'substantially')",10,network equipment substantially,[],[]
1449,"('service', 'provider', 'place')",10,service provider place,['Competitive Bidding Violation'],"[18, 19, 20, 21, 29, 31]"
1450,"('denied', 'entity', 'requesting')",10,denied entity requesting,['Applicant ineligible'],"[159, 163]"
1451,"('012', '98', 'per')",10,012 98 per,[],[]
1452,"('fiber', 'question', 'yes')",10,fiber question yes,['Competitive Bidding Violation - price not primary factor'],[95]
1453,"('form', '471', 'network')",10,form 471 network,[],[]
1454,"('significant', 'information', 'needed')",9,significant information needed,[],[]
1455,"('470', 'rfp', 'however')",9,470 rfp however,['Competitive Bidding Violation - 28 day failure'],"[85, 88, 89, 90, 94]"
1456,"('signing', 'contract', 'entering')",9,signing contract entering,[],[]
1457,"('vendor', 'therefore', 'frn')",9,vendor therefore frn,[],[]
1458,"('funding', 'request', 'amount')",9,funding request amount,['Ineligible Service'],"[49, 53]"
1459,"('full', 'part', 'time')",9,full part time,"['Missing required fields on 471', 'Missing documentation needed to determine eligible service']","[123, 164]"
1460,"('470', 'rfp', 'bid')",9,470 rfp bid,['Competitive Bidding Violation'],[16]
1461,"('470', 'rfp', 'documentation')",9,470 rfp documentation,['Competitive Bidding Violation - 28 day failure'],"[85, 88, 89, 90, 94]"
1462,"('vendor', 'provided', 'response')",9,vendor provided response,['Competitive Bidding Violation'],[16]
1463,"('process', 'bid', 'scoring')",9,process bid scoring,['Competitive Bidding Violation'],[16]
1464,"('portal', 'selecting', 'service')",9,portal selecting service,['Competitive Bidding Violation - 28 day failure'],"[85, 88, 89, 90, 94]"
1465,"('services', 'accordance', 'program')",9,services accordance program,[],[]
1466,"('rfp', 'addenda', 'well')",9,rfp addenda well,[],[]
1467,"('days', 'selecting', 'service')",9,days selecting service,['Competitive Bidding Violation - 28 day failure'],"[85, 88, 89, 90, 94]"
1468,"('days', 'e', 'rate')",9,days e rate,['Competitive Bidding Violation - 28 day failure'],"[85, 88, 89, 90, 94]"
1469,"('worksheet', 'contain', 'score')",9,worksheet contain score,['Competitive Bidding Violation'],[16]
1470,"('failed', 'supply', 'documentation')",9,failed supply documentation,"['Missing required fields on 471', 'Missing documentation needed to determine eligible service']","[123, 164]"
1471,"('requested', 'dr2', 'service')",9,requested dr2 service,[],[]
1472,"('provided', 'rfp', 'associated')",9,provided rfp associated,[],[]
1473,"('cost', 'effective', 'bid')",9,cost effective bid,['Competitive Bidding Violation - price not primary factor'],"[42, 64]"
1474,"('requested', 'full', 'part')",9,requested full part,"['Missing required fields on 471', 'Missing documentation needed to determine eligible service']","[123, 164]"
1475,"('provided', 'response', 'therefore')",9,provided response therefore,['Competitive Bidding Violation'],[16]
1476,"('contract', 'entering', 'legally')",9,contract entering legally,[],[]
1477,"('contained', 'additional', 'significant')",9,contained additional significant,[],[]
1478,"('contain', 'score', 'vendor')",9,contain score vendor,['Competitive Bidding Violation'],[16]
1479,"('require', 'applicants', 'wait')",9,require applicants wait,[],[]
1480,"('provided', 'fiber', 'review')",9,provided fiber review,['Competitive Bidding Violation'],[2]
1481,"('respond', 'rfp', 'available')",9,respond rfp available,['Competitive Bidding Violation - 28 day failure'],"[85, 88, 89, 90, 94]"
1482,"('response', 'therefore', 'frn')",9,response therefore frn,['Competitive Bidding Violation'],[16]
1483,"('review', 'consider', 'bids')",9,review consider bids,['Competitive Bidding Violation'],[16]
1484,"('provider', 'signing', 'contract')",9,provider signing contract,[],[]
1485,"('evaluation', 'process', 'bid')",9,evaluation process bid,['Competitive Bidding Violation'],[16]
1486,"('denied', 'program', 'procedures')",9,denied program procedures,['Competitive Bidding Violation - 28 day failure'],"[85, 88, 89, 90, 94]"
1487,"('documents', 'contains', 'significant')",9,documents contains significant,[],[]
1488,"('portal', 'made', 'available')",9,portal made available,['Competitive Bidding Violation - 28 day failure'],"[85, 88, 89, 90, 94]"
1489,"('portal', '28', 'days')",9,portal 28 days,['Competitive Bidding Violation - 28 day failure'],"[85, 88, 89, 90, 94]"
1490,"('entity', 'documentation', 'support')",9,entity documentation support,[],[]
1491,"('monthly', 'quantity', 'frn')",9,monthly quantity frn,[],[]
1492,"('dr2', 'program', 'rules')",9,dr2 program rules,['Competitive Bidding Violation'],"[17, 18, 19, 20, 21, 31]"
1493,"('dr1', 'vendor', 'selection')",9,dr1 vendor selection,[],[]
1494,"('dr1', 'documentation', 'contained')",9,dr1 documentation contained,['Competitive Bidding Violation - 28 day failure'],"[85, 88, 89, 90, 94]"
1495,"('documentation', 'validate', 'unmatched')",9,documentation validate unmatched,[],[]
1496,"('denied', 'winning', 'vendor')",9,denied winning vendor,['Competitive Bidding Violation'],[16]
1497,"('documentation', 'supports', 'funding')",9,documentation supports funding,['Ineligible Service'],"[49, 53]"
1498,"('documentation', 'support', 'discount')",9,documentation support discount,[],[]
1499,"('documentation', 'contained', 'additional')",9,documentation contained additional,[],[]
1500,"('documentation', 'clear', 'requested')",9,documentation clear requested,[],[]
1501,"('documentation', 'available', 'e')",9,documentation available e,['Competitive Bidding Violation - 28 day failure'],"[85, 88, 89, 90, 94]"
1502,"('district', 'documentation', 'validate')",9,district documentation validate,[],[]
1503,"('remove', 'ineligible', 'services')",9,remove ineligible services,[],[]
1504,"('rfp', 'addenda', 'program')",9,rfp addenda program,[],[]
1505,"('cellular', 'voice', 'data')",9,cellular voice data,[],[]
1506,"('service', 'type', 'therefore')",9,service type therefore,"['Competitive Bidding Violation', '470 / 471 Mismatch']","[59, 77, 178]"
1507,"('rfp', 'associated', 'documents')",9,rfp associated documents,[],[]
1508,"('applicant', 'failed', 'supply')",9,applicant failed supply,"['Missing required fields on 471', 'Missing documentation needed to determine eligible service']","[123, 164]"
1509,"('selective', 'review', 'consider')",9,selective review consider,['Competitive Bidding Violation'],[16]
1510,"('productivity', 'portal', 'selecting')",9,productivity portal selecting,['Competitive Bidding Violation - 28 day failure'],"[85, 88, 89, 90, 94]"
1511,"('productivity', 'portal', 'made')",9,productivity portal made,['Competitive Bidding Violation - 28 day failure'],"[85, 88, 89, 90, 94]"
1512,"('productivity', 'portal', '28')",9,productivity portal 28,['Competitive Bidding Violation - 28 day failure'],"[85, 88, 89, 90, 94]"
1513,"('pri', 'local', 'long')",9,pri local long,[],[]
1514,"('agreement', 'submitting', 'fcc')",9,agreement submitting fcc,[],[]
1515,"('additional', 'significant', 'information')",9,additional significant information,[],[]
1516,"('addenda', 'well', 'documentation')",9,addenda well documentation,[],[]
1517,"('addenda', 'program', 'procedures')",9,addenda program procedures,[],[]
1518,"('accordance', 'bid', 'evaluation')",9,accordance bid evaluation,['Competitive Bidding Violation'],[16]
1519,"('frn', 'denied', 'failure')",9,frn denied failure,['Competitive Bidding Violation'],"[23, 24, 25]"
1520,"('frn', 'denied', 'program')",9,frn denied program,['Competitive Bidding Violation - 28 day failure'],"[85, 88, 89, 90, 94]"
1521,"('service', 'provider', 'signing')",9,service provider signing,[],[]
1522,"('16078738', '17004590', 'meet')",9,16078738 17004590 meet,[],[]
1523,"('operation', 'dark', 'fiber')",9,operation dark fiber,[],[]
1524,"('frn', 'denied', 'winning')",9,frn denied winning,['Competitive Bidding Violation'],[16]
1525,"('selected', 'accordance', 'bid')",9,selected accordance bid,['Competitive Bidding Violation'],[16]
1526,"('applicant', 'submit', 'ral')",9,applicant submit ral,"['Ineligible Service', 'Competitive Bidding Violation - price not primary factor']","[61, 64]"
1527,"('applicants', 'wait', 'least')",9,applicants wait least,[],[]
1528,"('binding', 'agreement', 'submitting')",9,binding agreement submitting,[],[]
1529,"('rfp', 'bid', 'evaluation')",9,rfp bid evaluation,['Competitive Bidding Violation'],[16]
1530,"('rfp', 'documentation', 'providing')",9,rfp documentation providing,['Competitive Bidding Violation - 28 day failure'],"[85, 88, 89, 90, 94]"
1531,"('rfp', 'however', 'documentation')",9,rfp however documentation,['Competitive Bidding Violation - 28 day failure'],"[85, 88, 89, 90, 94]"
1532,"('entering', 'legally', 'binding')",9,entering legally binding,[],[]
1533,"('part', 'time', 'student')",9,part time student,"['Missing required fields on 471', 'Missing documentation needed to determine eligible service']","[123, 164]"
1534,"('rules', 'according', 'fcc')",9,rules according fcc,[],[]
1535,"('form', '470', 'cited')",9,form 470 cited,[],[]
1536,"('bid', 'scoring', 'worksheet')",9,bid scoring worksheet,['Competitive Bidding Violation'],[16]
1537,"('scoring', 'worksheet', 'contain')",9,scoring worksheet contain,['Competitive Bidding Violation'],[16]
1538,"('voice', 'data', 'text')",9,voice data text,[],[]
