ID,Denial Narratives for FRNs,Denial Narratives for Applicatons,DR1
70,"DR1:This FRN will be denied because the Questions and Answers section of the RFP associated with FCC Form 470 # 160005958 that you have cited contains a particular manufacturerâ€™s name, brand, product and service and indicates you may decide to award points to those vendors that bid the preferred equipment. Even though the FCC Form 470 indicates the functionally equivalent equipment will be considered, this is a competitive bidding violation because service providers that do not provide the preferred equipment could be discouraged from bidding. ;MR1:The amount of the funding request was changed from $21,882 to $8,482 to remove the ineligible product; Cisco ASA 5515-X Firewall that was found to be excessive and not cost effective according to FCC rules",,Competitive Bidding Violation - specified vendor in 470
71,"DR1:This FRN will be denied because the Questions and Answers section of the RFP associated with FCC Form 470 # 160005958 that you have cited contains a particular manufacturerâ€™s name, brand, product and service and indicates you may decide to award points to those vendors that bid the preferred equipment. Even though the FCC Form 470 indicates the functionally equivalent equipment will be considered, this is a competitive bidding violation because service providers that do not provide the preferred equipment could be discouraged from bidding.",,Competitive Bidding Violation - specified vendor in 470
72,"DR1:On 9/1/2016 your application was denied based on your noncompliance with the FCCâ€™s Red Light Rule which implements requirements of the FCCâ€™s Debt Collection Improvement Act of 1996 (FCC No. 04-72 (April 13, 2004).;MR1:The quantity for FRN Line Item 1 was modified from 1 to 6 to agree with the applicant documentation.",MR1:The applicant did not submit any RAL corrections.,Red light rule violation
73,"DR1:On 9/1/2016 your application was denied based on your noncompliance with the FCCâ€™s Red Light Rule which implements requirements of the FCCâ€™s Debt Collection Improvement Act of 1996 (FCC No. 04-72 (April 13, 2004).",MR1:The applicant did not submit any RAL corrections.,Red light rule violation
74,"DR1:On 9/1/2016 your application was denied based on your noncompliance with the FCCâ€™s Red Light Rule which implements requirements of the FCCâ€™s Debt Collection Improvement Act of 1996 (FCC No. 04-72 (April 13, 2004).",MR1:The applicant did not submit any RAL corrections.,Red light rule violation
75,DR1:Thirty percent or more of this FRN includes a request for Basic Maintenance of Internal Connections which was not posted for on establishing FCC form 470 which is an ineligible based on Program rules.,MR1:The applicant did not submit any RAL corrections.,Ineligible Service
76,DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): ineligible for products and services.;MR1:The Total Monthly Eligible Recurring Costs for FRN Line Item 1 was modified from $343.70 to $311.95 to agree with the applicant documentation.,MR1:The applicant did not submit any RAL corrections.,Ineligible Service
77,"DR1:The FCC Form 470 that established the competitive bidding process for this FRN did not include service of this type; therefore it does not meet the 28 day competitive bidding requirement.;MR1:The FRN was changed from month-to-month (MTM) to contractual products and services to agree with the documentation provided during the review of your FCC Form 471 application.;MR2:The Contract Award Date and Contract Expiration Date were changed to 5/25/2016 and 6/30/2017 respectively, to agree with the documentation provided during the review of the FCC Form 471.;MR3:Basic Maintenance of Internal Connections FRN was modified from non-recurring charges to recurring charges as required by FCC Rules.",MR1:Some RAL changes could not be processed. Please see your FRN-level comments for additional details regarding why these changes could not be processed.;MR2:FRN(s) modified in accordance with a RAL request.,Competitive Bidding Violation
78,"DR1:FCC rules require a competitive bidding process where an applicant chooses a service provider only after defining all of the specific services eligible for support at each eligible entity. Only by doing so can applicants ensure that they are receiving the most cost-effective services because bidders have sufficient information to determine exact bid prices. The goal of the competitive bidding process is to have as many bidders as possible respond to an FCC Form 470, RFP, or other solicitation method so that the applicant can receive better service and lower prices. One of the benefits of forming a consortium as it relates to the Schools and Libraries Program is to aggregate demand in order to lower prices and promote more efficient use of shared facilities. When asked to provide the competitive bid documentation for this FRN, no documentation was provided and you explained that â€œBecause Telephone Voice Service is handled individually by each school on a Month-To-Month basis, no bidding process was needed by the Consortium for this application and therefore, no single service provider was selected.â€œ Moreover, the RFP specified that Voice services were â€œNot subject to Bidding Considerations due to the fact that each individual school chooses their own service provider for Telecommunication Services on a MTM basis.â€ This is a violation because FCC rules require that in order to be eligible for E-rate support, all services and funding requests must be competitively bidded on in accordance with the programâ€™s competitive bid rules and regulations. Since you failed to demonstrate you met this requirement, this FRN must be denied.;DR2:FCC rules require a competitive bidding process where an applicant chooses a service provider only after defining all of the specific services eligible for support at each eligible entity. Applicants are required to provide bona fide requests for service, so that potential providers can provide accurate bids. The FCC elaborated on the meaning of â€œbona fideâ€ in the Universal Service Order, where it stated that Congress â€œintended to require accountability on the part of schools and libraries,â€ which should therefore be required to â€œ(1) conduct internal assessments of the components necessary to use effectively the discounted services they order; (2) submit complete description of services they seek so that it may be posted for competing providers to evaluate. Per the FCCâ€™s Ysleta Order, an applicantâ€™s FCC Form 470 must be based upon its current needs and must detail specific services sought. In this instance, you stated that the RFP posted with FY2016 FCC Forms 470 #160029101 â€œwas created years ago before any changes to free services occurred. The RFP was used merely as a guideline for the services required and any questions by prospective bidders were answered by Mr. MalavÃ©. The RFP was not used in any way to evaluate the prospective bidders in choosing the winning bid.â€ However, this document included specific instructions to prospective bidders that would be deemed essential for submitting an accurate proposal. As a stand alone solicitation, the referenced FCC Form 470 #160029101 failed to provide all pertinent information for prospective bidders to submit accurate and valid proposals. Because you failed to provide a bona fide request for services of your current needs and failed to make all pertinent information available to all potential bidders, service providers could not provide accurate bids and it was determined that you violated the FCCâ€™s requirements for a fair and open competitive bidding process, and funding is denied.",,Competitive Bidding Violation
79,DR1:The documentation provided did not sufficiently demonstrate the eligibility for discounts for the following item(s) according to Program rules: cellular voice including data/text messaging. Â ,MR1:The discount percentage of this FCC Form 471 application was reduced from 90% to 80% to a level that could be validated by third party data.,Ineligible Service
80,"DR1:No contract or legally binding agreement was in place when the FCC Form 471 Certification was filed. Specifically, a contract amendment covering the time period inclusive of Funding Year 2016 was not executed until June 10, 2016 and thus was not in place when the FCC Form 471 Certification was filed. FCC Rules require that a contract be signed and dated by the applicant or a legally binding agreement is entered into prior to the filing of the FCC Form 471 Certification for the products and services requested. Since this requirement was not met, the FRN is denied.",,No signed contract in place
81,"DR1:Based on the documentation that you have provided, this entire FRN will be denied because the referenced FCC Form 470 contained the contract with your current provider, Eugene Water and Electric Board as the Request for Proposal and in the narrative section of the Form. The associated FCC Form 470 listed the service provider selected as your winning vendor. Potential service providers could be deterred from submitting bid responses because your selected service provider was mentioned in your competitive bidding documents. Your competitive bid process was not conducted in a fair and open environment. Applicants are able to use an existing contract as a bid response to a newly posted FCC Form 470 or RFP. The FCC Form 470 must be posted for 28 days to USACâ€™s website. The applicant must evaluate all bids received, and include the existing contract, and determine the most cost effective solution with price being the primary factor. If during your bid evaluation process, your current contract is the most cost effective offering, you may select that vendor. Applicants cannot use an existing contract as the RFP and/or FCC Form 470 to seek bids. Because you specified your existing provider on your FCC Form 470, you deterred other service provides from submitting a bid which may have been more cost effective and interferes with the fair and open competitive bidding process required by FCC rules. ;MR1:The Average Cost per foot of outside plant for FRN Line Item 1 was modified from $.08 to $12.09 to agree with the applicant documentation.",MR1:The applicant did not submit any RAL corrections.,Competitive Bidding Violation - specified vendor in 470
82,"DR1:The FCC Form 470 listed as the establishing Form 470 for the FRN was filed on March 8, 2016 with an Allowable Contract Date of April 5, 2016. A Request for Proposal (RFP) issued in conjunction with the Form 470 was released on March 3, 2016, with a bid due of April 1, 2016. According to Program rules, applicants must wait 28 days after their FCC Form 470 is posted to USACâ€™s website or after public availability of their RFP, whichever is later, before selecting a vendor or executing a contract. Since you posted your FCC Form 470 after issuing your RFP, your RFP bid due date is less than 28 days after your FCC Form 470 filing date. Your RFP bid deadline or bid response date must coincide or be later than your FCC Form 470 Allowable Contract Date. Therefore the FRN is denied.",,Competitive Bidding Violation
83,"DR1:The service type of this FRN is Voice Services. According to the FCC Order 14-99, all Voice Services are subject to a phase down of support beginning in Funding Year 2015. Therefore, this FRNâ€™s reduced discount rate is 0% and this FRN is denied.","CR1:FCC Form 471 application 161030468 canceled in consultation with the applicant.;MR1:Based upon review of your FCC Form 471 application, we were not able to validate your requested rural classification for NEW HARTFORD PUBLIC LIBRARY.Â  The classification of this entity was changed to Urban based on the US Census Bureau Urban/Rural designation for your location.;MR2:The discount percentage of this FCC Form 471 application was reduced from 50% to 40% to a level that could be validated by third party data.",Voice - no discount remaining
84,DR1:A FCC Form 470 was not posted for requested tariff or month-to-month services for Funding Year FY2016. FCC Rules require that requested tariff or month-to-month services be posted on a FCC Form 470 each Funding Year.,MR1:The applicant did not submit any RAL corrections.,No 470
85,"DR1:Documentation that contained information needed for potential bidders to respond to your RFP was not available for 28 days in the E-rate Productivity Portal before selecting your service provider. On 04/04/2016 you uploaded RFP addendum that contains significant information for the bidders to be able to respond to the FCC Form 470 and RFP. However, this documentation was not available in the E-rate Productivity Portal for 28 days. Therefore, this FRN is denied. Program procedures require the FCC Form 470, RFP and any documentation providing the additional or modifying the original information in your FCC Form 470 and/or Request for Proposal be uploaded into the FCC Form 470 in the E-rate Productivity Portal and made available for 28 days before selecting a service provider.;MR1:The Contract Award Date was changed from 5/2/2015 to 5/3/2016 to agree with the documentation provided during the review of the FCC Form 471.",,Competitive Bidding Violation - 28 day failure
86,"DR1:Thirty percent or more of this FRN includes a request for Lightspeed - Bottle Rocket SYS-WF-BR which is an ineligible product(s) based on Program rules, which is an ineligible use based on Program rules.",MR1:The applicant did not submit any RAL corrections.,Ineligible Service
87,"DR1:FCC Rules require applicants to evaluate the cost effectiveness of the fiber solutions. Documentation provided failed to demonstrate a sufficient cost analysis of leased dark fiber and leased lit fiber occurred during the bid selection process. Therefore, the applicant has violated the competitive bidding program rules.",,Competitive Bidding Violation
88,"DR1:Documentation that contained information needed for potential bidders to respond to your RFP was not available for 28 days in the E-rate Productivity Portal before selecting your service provider. On 04/04/2016 you uploaded RFP addendum that contains significant information for the bidders to be able to respond to the FCC Form 470 and RFP. However, this documentation was not available in the E-rate Productivity Portal for 28 days. Therefore, this FRN is denied. Program procedures require the FCC Form 470, RFP and any documentation providing the additional or modifying the original information in your FCC Form 470 and/or Request for Proposal be uploaded into the FCC Form 470 in the E-rate Productivity Portal and made available for 28 days before selecting a service provider.;MR1:The Total Project Plant Route Feet and Average Cost Per Foot of Outside Plant for FRN was modified from 15,840 feet and $3.91/foot to 2,559 feet and $24.23/foot to agree with the applicant documentation.",,Competitive Bidding Violation - 28 day failure
89,"DR1:Documentation that contained information needed for potential bidders to respond to your RFP was not available for 28 days in the E-rate Productivity Portal before selecting your service provider. On 04/04/2016 you uploaded RFP addendum that contains significant information for the bidders to be able to respond to the FCC Form 470 and RFP. However, this documentation was not available in the E-rate Productivity Portal for 28 days. Therefore, this FRN is denied. Program procedures require the FCC Form 470, RFP and any documentation providing the additional or modifying the original information in your FCC Form 470 and/or Request for Proposal be uploaded into the FCC Form 470 in the E-rate Productivity Portal and made available for 28 days before selecting a service provider. ;MR1:The Contract Award Date was changed from 5/2/2015 to 5/3/2016 to agree with the documentation provided during the review of the FCC Form 471.;MR2:The Total Project Plant Route Feet and Average Cost Per Foot of Outside Plant for FRN was modified from 62,784 feet and $0.40/foot to 5,938 feet and $4.21/foot to agree with the applicant documentation.",,Competitive Bidding Violation - 28 day failure
90,"DR1:Documentation that contained information needed for potential bidders to respond to your RFP was not available for 28 days in the E-rate Productivity Portal before selecting your service provider. On 3/18/2016 you uploaded RFP addendum that contains significant information for the bidders to be able to respond to the FCC Form 470 and RFP. However, this documentation was not available in the E-rate Productivity Portal for 28 days before you selected the service provider. Therefore, this FRN is denied. Program procedures require the FCC Form 470, RFP and any documentation providing the additional or modifying the original information in your FCC Form 470 and/or Request for Proposal be uploaded into the FCC Form 470 in the E-rate Productivity Portal and made available for 28 days before selecting a service provider.",,Competitive Bidding Violation - 28 day failure
91,"DR1:The Category Two budget for BEN 114589 is $79,950.00. Your total requested Category Two pre-discount funding amount for BEN 114589 exceeds this entityâ€™s Category Two Budget by: $4,783.54. This funding request is being denied because you have not authorized sufficient modifications to the Category Two funding requests to bring this BEN within its allowable Category Two budget.;DR2:The Category Two budget for BEN 114592 is $40,050.00. Your total requested Category Two pre-discount funding amount for BEN 114592 exceeds this entityâ€™s Category Two Budget by: $1,734.30. This funding request is being denied because you have not authorized sufficient modifications to the Category Two funding requests to bring this BEN within its allowable Category Two budget.",,Category 2 budget exceeded
92,"DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following items: modifications to bring entities 114537, 114538, 114539, 114542, 114543 and 114545 within their allowable Category Two budget.",,Category 2 budget exceeded
93,"DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following items: modifications to bring entities 114537, 114538, 114539, 114542, 114543 and 114545 within their allowable Category Two budget.",,Category 2 budget exceeded
94,"DR1:Documentation that contained information needed for potential bidders to respond to your RFP was not available for 28 days in the E-rate Productivity Portal before selecting your service provider. On 3/18/2016 you uploaded RFP addendum that contains significant information for the bidders to be able to respond to the FCC Form 470 and RFP. However, this documentation was not available in the E-rate Productivity Portal for 28 days before you selected the service provider. Therefore, this FRN is denied. Program procedures require the FCC Form 470, RFP and any documentation providing the additional or modifying the original information in your FCC Form 470 and/or Request for Proposal be uploaded into the FCC Form 470 in the E-rate Productivity Portal and made available for 28 days before selecting a service provider.",,Competitive Bidding Violation - 28 day failure
95,"DR1:FCC Rules require applicants to carefully consider all bids submitted by service providers and to choose the most cost effective solution. Documentation provided demonstrates that the applicant did not consider all of the bids that were submitted. Therefore, the applicant has violated the competitive bidding program rules. ;DR2:FCC Rules require applicants to evaluate the cost effectiveness of the fiber solutions. Documentation provided failed to demonstrate a sufficient cost analysis of leased dark fiber service and leased lit fiber service occurred during the bid selection process. Therefore, the applicant has violated the competitive bidding program rules.;MR1:This is a new FRN. It was created in order to change the answer to the Fiber question from Yes as listed on FRN 1699051978 to No based on the supporting documentation.",,Competitive Bidding Violation - price not primary factor
96,"DR1:The FRN is denied because the applicant failed to respond to the Administratorâ€™s Fiber Review Information Request. Documentation was not provided to determine the eligibility of the special construction charges. Specifically, applicant failed to respond to administrator's request for additional information on excess fiber strands and it s intended use. ;MR1:This is a new FRN. It was split from FRN 1699127018. The new FRN contains the following product(s)/service(s): Dark Fiber Special Construction",,Fiber review failure
97,"DR1:This is a new FRN. It was created because the service type on FRN 1699079473 was listed as Internal Connections. However, the products or services being requested are BMIC and will be treated as such. This FRN is denied because the FCC Form 470 that established the competitive bidding process for this FRN did not include BMIC and therefore it does not meet the 28 day competitive bidding requirement.",,470 / 471 Mismatch
98,"DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): Make/Model Number, SKU, and Equipment List.",MR1:The applicant did not submit any RAL corrections.,Ineligible Service
99,"DR1:The Category Two budget for BEN 18084 is 11,500.00. Your total requested Category Two pre-discount funding amount for BEN 18084 exceeds this entityâ€™s Category Two Budget by: 2,367.29. This funding request is being denied because you have not authorized sufficient modifications to the Category Two funding requests to bring this BEN within its allowable Category Two budget. ;DR2:The Category Two budget for BEN 18272 is 11,500.00. Your total requested Category Two pre-discount funding amount for BEN 18272 exceeds this entityâ€™s Category Two Budget by: $2,367.29. This funding request is being denied because you have not authorized sufficient modifications to the Category Two funding requests to bring this BEN within its allowable Category Two budget.",MR1:The applicant did not submit any RAL corrections.,Category 2 budget exceeded
100,DR1:The FCCâ€™s Eligible Services List states that installation and configuration of products and services is only eligible if it is a part of the contract or bid for those eligible products and services. This funding request is for Software Operating System PAN-PA-3020-TP-R and PAN-PA-3020-WF-R which are note eligible for E-rate funding in FRN 1699006987; therefore funding is denied.,MR1:The applicant did not submit any RAL corrections.,Ineligible Service
101,DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s):Basic Maintenance of Internal Connections..,,Ineligible Service
102,DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): copy of invoice or contract for voice services and service match verification.,MR1:The applicant did not submit any RAL corrections.,No signed contract in place
103,"DR1:The FCC Form 470 associated with this FRN contains service provider contact information.Â  Specifically, the following the Technical Contact Information of the FCC Form 470 matches contact information from service provider Velocity.Net Communications, Inc. (SPIN 143032173): Phone Number 814-833-9111. A competitive bidding violation occurs when a service provider associated with a FCC Form 470 participates in the competitive bidding process. Therefore, funding is denied.",,Competitive Bidding Violation - specified vendor in 470
104,DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): vendor documentation.,MR1:The applicant did not submit any RAL corrections.,Missing required fields on 471
105,DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): vendor documentation.,MR1:The applicant did not submit any RAL corrections.,Missing required fields on 471
106,"DR1:The Category Two budget for BEN 16035049 is $33,750.00. Your total requested Category Two pre-discount funding amount for BEN 16035049 exceeds this entityâ€™s Category Two Budget by: $12,400.08. This funding request is being denied because you have not authorized sufficient modifications to the Category Two funding requests to bring this BEN within its allowable Category Two budget.",MR1:The applicant did not submit any RAL corrections.,Category 2 budget exceeded
107,"DR1:FCC rules require a competitive bidding process where an applicant chooses a service provider only after defining all of the specific services eligible for support at each eligible entity. Only by doing so can applicants ensure that they are receiving the most cost-effective services because bidders have sufficient information to determine exact bid prices. The goal of the competitive bidding process is to have as many bidders as possible respond to an FCC Form 470, RFP, or other solicitation method so that the applicant can receive better service and lower prices. One of the benefits of forming a consortium as it relates to the Schools and Libraries Program is to aggregate demand in order to lower prices and promote more efficient use of shared facilities. When asked to provide the competitive bid documentation for this FRN, no documentation was provided and you explained that â€œBecause Telephone Voice Service is handled individually by each school on a Month-To-Month basis, no bidding process was needed by the Consortium for this application and therefore, no single service provider was selected.â€œ Moreover, the RFP specified that Voice services were â€œNot subject to Bidding Considerations due to the fact that each individual school chooses their own service provider for Telecommunication Services on a MTM basis.â€ This is a violation because FCC rules require that in order to be eligible for E-rate support, all services and funding requests must be competitively bidded on in accordance with the programâ€™s competitive bid rules and regulations. Since you failed to demonstrate you met this requirement, this FRN must be denied.;DR2:FCC rules require a competitive bidding process where an applicant chooses a service provider only after defining all of the specific services eligible for support at each eligible entity. Applicants are required to provide bona fide requests for service, so that potential providers can provide accurate bids. The FCC elaborated on the meaning of â€œbona fideâ€ in the Universal Service Order, where it stated that Congress â€œintended to require accountability on the part of schools and libraries,â€ which should therefore be required to â€œ(1) conduct internal assessments of the components necessary to use effectively the discounted services they order; (2) submit complete description of services they seek so that it may be posted for competing providers to evaluate. Per the FCCâ€™s Ysleta Order, an applicantâ€™s FCC Form 470 must be based upon its current needs and must detail specific services sought. In this instance, you stated that the RFP posted with FY2016 FCC Forms 470 #160029101 â€œwas created years ago before any changes to free services occurred. The RFP was used merely as a guideline for the services required and any questions by prospective bidders were answered by Mr. MalavÃ©. The RFP was not used in any way to evaluate the prospective bidders in choosing the winning bid.â€ However, this document included specific instructions to prospective bidders that would be deemed essential for submitting an accurate proposal. As a stand alone solicitation, the referenced FCC Form 470 #160029101 failed to provide all pertinent information for prospective bidders to submit accurate and valid proposals. Because you failed to provide a bona fide request for services of your current needs and failed to make all pertinent information available to all potential bidders, service providers could not provide accurate bids and it was determined that you violated the FCCâ€™s requirements for a fair and open competitive bidding process, and funding is denied.",,Competitive Bidding Violation
108,"DR1:The FRN is denied because the entities requesting service within the FRN, 17001304, are not eligible for assistance from a State Library administrative agency under the Library Services and Technology Act (LSTA). Therefore, the library does not meet the eligibility requirement to receive Universal Service Fund support.",MR1:The applicant did not submit any RAL corrections.,Applicant ineligible
109,"DR1: The FRN is denied because the applicant failed to respond to the Administratorâ€™s Fiber Review Information Request. Documentation was not provided to determine the eligibility of the special construction charges. In addition, applicant failed to respond to administrator's request for additional information on excess fiber strands and its intended use.",,Fiber review failure
110,DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): enrollment count.,,Missing required fields on 471
111,"DR1:Thirty percent or more of this FRN includes a request for Cisco Systems Wireless Controller AIR-CT5508-HA-K9__ {which is an ineligible product, which is an ineligible use based on Program rules}.",MR1:The applicant did not submit any RAL corrections.,Ineligible Service
112,DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): Local/Long Distance Service,MR1:The applicant did not submit any RAL corrections.,Ineligible Service
113,DR1:The documentation provided did not sufficiently demonstrate the eligibility for discounts for the following item according to Program rules: local and long distance service.;MR1:The FRN was modified from 1 line to 8 lines to agree with the applicant documentation.,MR1:The applicant did not submit any RAL corrections.,Ineligible Service
114,DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): Cellular Voice including Data and/or Text Messaging.,MR1:The applicant did not submit any RAL corrections.,Ineligible Service
115,"DR1:The Category Two budget for BEN 19438 is $13,650.00. Your total requested Category Two pre-discount funding amount for BEN 19438 exceeds this entityâ€™s Category Two Budget by: $2,519.00. This funding request is being denied because you have not authorized sufficient modifications to the Category Two funding requests to bring this BEN within its allowable Category Two budget.",MR1:Contact Email of the FCC Form 471 was modified in consultation with the applicant.,Category 2 budget exceeded
116,DR1:The FRN is denied because the applicant failed to respond to the Administrator's Selective Review Information Request. You did not provide any documentation to determine if the entity met Program rules for competitive bidding and the FCC Form 471 Certifications.,,Competitive Bidding Violation
117,"DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): vendor documentation, duplicate FRNs between application, Parent/Child validation.",,Missing documentation needed to determine eligible service
118,"DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): vendor documentation, duplicate FRNs between application, Parent/Child validation.",,Missing documentation needed to determine eligible service
119,"DR1:The service type of this FRN is Voice Services. According to the FCC Order 14-99, all Voice Services are subject to a phase down of support beginning in Funding Year 2015. Therefore, this FRNâ€™s reduced discount rate is 0% and this FRN is denied.",MR1:The applicant did not submit any RAL corrections.,Voice - no discount remaining
120,"DR1:The service type of this FRN is Voice Services. According to the FCC Order 14-99, all Voice Services are subject to a phase down of support beginning in Funding Year 2015. Therefore, this FRNâ€™s reduced discount rate is 0% and this FRN is denied.",MR1:The applicant did not submit any RAL corrections.,Voice - no discount remaining
121,"DR1:The FRN is denied because the entities requesting service within the FRN, 16075783, do not meet the statutory definition of elementary and secondary schools to receive Universal Service Fund support.","MR1:RAL change implemented on your FCC Form 471, Contact Information is in accordance with your RAL request.",Applicant ineligible
122,"DR1:The FRN is denied because the entities requesting service within the FRN, 16075783, do not meet the statutory definition of elementary and secondary schools to receive Universal Service Fund support.;DR2:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): Vendor Documentation.","MR1:RAL change implemented on your FCC Form 471, Contact Information is in accordance with your RAL request.",Applicant ineligible
123,"DR1:The applicant failed to supply documentation to support the requested full and part-time student counts for BEN 17000248. As a result, the requested student counts for this entity were removed from the entity profile and this FRN citing this entity as the only recipient of service was denied.",,Missing required fields on 471
124,DR1:The FRN is denied because the entity 151596 requesting products and service within this FRN is closed based on the review of your member entity(ies) and therefore is ineligible to receive funding under the Program rules.,MR1:The applicant did not submit any RAL corrections.,Applicant ineligible
125,"DR1:The FRN is denied because the applicant failed to respond to the Administrator's Selective Review Information Request. You did not provide any documentation to determine if the entity met Program rules for competitive bidding and the FCC Form 471 Certifications.;MR1:FRN(s) modified in accordance with a RAL request.Associated New form 470 from old value of 160014210 to FCC Form 170075477.Modified service provider from BNY Communication, Inc to TYH Communication, Inc.","MR1:FRN(s) modified in accordance with a RAL request.Associated New form 470 from old value of 160014210 to FCC Form 170075477.Modified service provider from BNY Communication, Inc to TYH Communication, Inc.",Missing documentation to determin competitive bidding
126,DR1:The FRN is denied because the applicant failed to respond to the Administrator's Selective Review Information Request. You did not provide any documentation to determine if the entity met Program rules for competitive bidding and the FCC Form 471 Certifications.,"MR1:FRN(s) modified in accordance with a RAL request.Associated New form 470 from old value of 160014210 to FCC Form 170075477.Modified service provider from BNY Communication, Inc to TYH Communication, Inc.",Missing documentation to determin competitive bidding
127,"DR1:The Category Two budget for BEN 230857 is $24,000.00. Your total requested Category Two pre-discount funding amount for BEN 230857 exceeds this entityâ€™s Category Two Budget by: $4,666.60. This funding request is being denied because you have not authorized sufficient modifications to the Category Two funding requests to bring this BEN within its allowable Category Two budget.",MR1:The applicant did not submit any RAL corrections.,Category 2 budget exceeded
128,"DR1:The service type of this FRN is Voice Services. According to the FCC Order 14-99, all Voice Services are subject to a phase down of support beginning in Funding Year 2015. Therefore, this FRNâ€™s reduced discount rate is 0% and this FRN is denied.",MR1:The discount percentage of this FCC Form 471 application was reduced from 80% to 20% to a level that could be validated by third party data.,Voice - no discount remaining
129,DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): Number of lines for services being requested.,"MR1:RAL change implemented on your FCC Form 471, Contact Information, is in accordance with your RAL request.",Missing required fields on 471
130,DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): vendor documentation for services being requested.,"MR1:RAL change implemented on your FCC Form 471, Contact Information, is in accordance with your RAL request.",Missing required fields on 471
131,DR1:The FRN is denied because the applicant failed to respond to the Administrator's Selective Review Information Request. You did not provide any documentation to determine if the entity met Program rules for competitive bidding and the FCC Form 471 Certifications.,,Missing documentation to determin competitive bidding
132,DR1:The FRN is denied because the entity 151596 requesting products and service within this FRN is closed based on the review of your member entity(ies) and therefore is ineligible to receive funding under the Program rules.,MR1:The applicant did not submit any RAL corrections.,Applicant ineligible
133,DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): Local/Long Distance Service.,MR1:The applicant did not submit any RAL corrections.,Missing documentation needed to determine eligible service
134,DR1:The FRN is denied because the applicant failed to respond to the Administrator's Selective Review Information Request. You did not provide any documentation to determine if the entity met Program rules for competitive bidding and the FCC Form 471 Certifications.,"MR1:FRN(s) modified in accordance with a RAL request.Associated New form 470 from old value of 160014210 to FCC Form 170075477.Modified service provider from BNY Communication, Inc to TYH Communication, Inc.",Missing documentation to determin competitive bidding
135,"DR1:On 7/26/2016 your application was denied based on your noncompliance with the FCCâ€™s Red Light Rule which implements requirements of the FCCâ€™s Debt Collection Improvement Act of 1996 (FCC No. 04-72 (April 13, 2004).",MR1:The following RAL changes requested were not implemented because they are not allowable changes: Redlight Implementation Rule.;MR2:The following RAL changes requested were not implemented because they are not allowable changes: Redlight Rule Implementation.,Red light rule violation
136,"DR1:Per the FCC Order 14-99, individual data plans and air cards are ineligible unless applicants can demonstrate either that installing a wireless local area network is not physically possible or that individual data plans are the most cost-effective option. You have not demonstrated that either of the two requirements applies to services requested on this FRN. Therefore, FRN is denied since services requested are ineligible.",MR1:The applicant did not submit any RAL corrections.,Ineligible Service
137,"DR1:On 7/26/2016 your application was denied based on your noncompliance with the FCCâ€™s Red Light Rule which implements requirements of the FCCâ€™s Debt Collection Improvement Act of 1996 (FCC No. 04-72 (April 13, 2004).",MR1:The following RAL changes requested were not implemented because they are not allowable changes: Redlight Implementation Rule.;MR2:The following RAL changes requested were not implemented because they are not allowable changes: Redlight Rule Implementation.,Red light rule violation
138,"DR1:On 7/26/2016 your application was denied based on your noncompliance with the FCCâ€™s Red Light Rule which implements requirements of the FCCâ€™s Debt Collection Improvement Act of 1996 (FCC No. 04-72 (April 13, 2004).",MR1:The following RAL changes requested were not implemented because they are not allowable changes: Redlight Implementation Rule.;MR2:The following RAL changes requested were not implemented because they are not allowable changes: Redlight Rule Implementation.,Red light rule violation
139,DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): vendor documentation to support eligible monthly usage and charges.,,Missing documentation needed to determine eligible service
140,DR1:The FRN is denied because the entity 151596 requesting products and service within this FRN is closed based on the review of your member entity(ies) and therefore is ineligible to receive funding under the Program rules.,MR1:The applicant did not submit any RAL corrections.,Applicant ineligible
141,DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): vendor documentation to support services being requested.,"MR1:RAL change implemented on your FCC Form 471, Contact Information, is in accordance with your RAL request.",Missing documentation needed to determine eligible service
142,DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): vendor documentation for services being requested.,,Missing documentation needed to determine eligible service
143,"DR1:The FRN is denied because the entities requesting service within the FRN, 16082706, do not meet the statutory definition of elementary and secondary schools to receive Universal Service Fund support.","MR1:RAL change implemented on your FCC Form 471, Contact Information is in accordance with your RAL request.",Applicant ineligible
