new_ben_type,postal_cd,ben,name,usac_type,usac_attributes,street_address,city,zip_code,applicant_ben,applicant_name,applicant_usac_type,applicant_usac_attributes,applicant_esh_type,applicant_esh_id
recipient,CA,17013181,Circle of Independent Learning,School,Public School;,4700 Calaveras Avenue,Fremont,CA,144189,FREMONT UNIF SCHOOL DISTRICT,School District,Public School District;,District,883354
recipient,CA,17013227,Sequoia CDC,School,Public School;,3730 LINCOLN AVE,OAKLAND,CA,144227,OAKLAND UNIFIED SCHOOL DIST,School District,Charter School District;Public School District;,District,883745
recipient,CA,17013252,SHERMAN THOMAS STEM ACADEMY ,School,Charter School;Public School;,101 W ADELL ST,MADERA,CA,16035631,SHERMAN THOMAS CHARTER SCHOOLS,School District,Charter School District;Public School District;,School,956324
recipient,CA,17013262,NEW DESIGNS CHARTER SCHOOL-ADAMS,School,Charter School;Public School;,1342 W ADAMS BLVD,LOS ANGELES,CA,16082222,NEW DESIGNS CHARTER SCHOOLS,School District,Public School District;,OtherLocation,1028057
recipient,CA,17013268,New Designs Charter School-Adams,School,Public School;,1342 W ADAMS BLVD,LOS ANGELES,CA,16082222,NEW DESIGNS CHARTER SCHOOLS,School District,Public School District;,OtherLocation,1028057
recipient,CA,17013316,ESENCIA K-8 SCHOOL,School,Public School;,5 Aprender Street,Rancho Mission Viejo,CA,143774,CAPISTRANO UNIF SCHOOL DIST,School District,Charter School District;Public School District;,District,883052
recipient,CA,17013433,Global Learning Charter School,School,Public School;,1051 W ROBIN DR,VISALIA,CA,143931,VISALIA UNIFIED SCHOOL DISTRICT,School District,Charter School District;Public School District;,District,884027
recipient,CA,17013435,Celerity Himalia Charter School,School,Public School;,#N/A,#N/A,#N/A,17006823,CELERITY EDUCATIONAL GROUP,School District,Charter School District;Public School District;,OtherLocation,1082217
recipient,CA,17013436,Central Neighborhood Facilities ,School,Public School;,1133 E RHEA ST,LONG BEACH,CA,143528,LONG BEACH UNIF SCHOOL DIST,School District,Public School District;,District,883624
recipient,CA,17013471,GIRLS ACADEMIC LEADERSHIP ACADEMY ,School,Public School;,1067 WEST BLVD,LOS ANGELES,CA,143454,LOS ANGELES UNIFIED SCHOOL DISTRICT,School District,Public School District;,District,883628
recipient,CA,17013486,Celerity Rolas Charter School,School,Public School;,#N/A,#N/A,#N/A,17006823,CELERITY EDUCATIONAL GROUP,School District,Charter School District;Public School District;,OtherLocation,1082217
recipient,CA,17013504,K-8 SCHOOL # 5,School,New Construction School;Public School;,11626 FORSYTHIA SKYWAY,JARUPA VALLEY,CA,143747,JURUPA UNIFIED SCHOOL DISTRICT,School District,Public School District;,District,883545
recipient,CA,17013537,INDEPENDENCE CHARTER ACADEMY,School,Public School;,15350 RIVERVIEW ROAD,HELENDALE,CA,143720,HELENDALE SCHOOL DISTRICT,School District,Public School District;,District,883463
recipient,CA,17013538,Delores L. Whitley ,School,New Construction School;Public School;,2923 MCKEE RD,BAKERSFIELD,CA,143950,PANAMA-BUENA VISTA UN SCH DIST,School District,Public School District;,District,882989
recipient,CA,17013564,MIDDLE COLLEGE HIGH,School,Public School;,2101 MOORPARK AVE,SAN JOSE,CA,144329,SAN JOSE UNIF SCHOOL DISTRICT,School District,Public School District;,District,883885
recipient,CA,17013567,YOUTHBUILD CHARTER SCHOOL C,School,Public School;,155 W WASHINGTON BLVD STE 944,LOS ANGELES,CA,17003883,YouthBuild Charter School of California ,School District,Public School District;,OtherLocation,1075747
recipient,CA,17013568,YOUTHBUILD CHARTER SCHOOL D,School,Public School;,155 W WASHINGTON BLVD STE 944,LOS ANGELES,CA,17003883,YouthBuild Charter School of California ,School District,Public School District;,OtherLocation,1075747
recipient,CA,17013575,Gold Ridge Education Center,School,Public School;,12784 Justice Center Drive,Sonora,CA,144414,TUOLUMNE CO OFFICE OF EDUC,School District,ESA School District;Public School District;,Consortium,884151
recipient,CA,17013576,Shaws Flat Preschool,School,Public School;,21125 SHAWS FLAT SCHOOL RD,SONORA,CA,144414,TUOLUMNE CO OFFICE OF EDUC,School District,ESA School District;Public School District;,Consortium,884151
recipient,CA,17013586,ICEF Public Schools Training Center,School,Public School;,#N/A,#N/A,#N/A,16045041,ICEF Public Schools,School District,Public School District;,Consortium,1026945
recipient,CA,17013620,CCPA-Anaheim,School,Public School;,313 W CERRITOS AVE,ANAHEIM,CA,143765,ORANGE CO OFFICE OF EDUCATION,School District,Public School District;,Consortium,884108
recipient,CA,17013621,CCPA-San Juan,School,Public School;,31522 EL CAMINO REAL,SAN JUAN CAPISTRANO,CA,143765,ORANGE CO OFFICE OF EDUCATION,School District,Public School District;,Consortium,884108
recipient,CA,17013622,CCPA-Wilshire,School,Public School;,1715 E WILSHIRE AVE STE 714,SANTA ANA,CA,143765,ORANGE CO OFFICE OF EDUCATION,School District,Public School District;,Consortium,884108
recipient,CA,17013675,Transitional Learning Center  ,School,Public School;,1735 LAKE TAHOE BLVD,SOUTH LAKE TAHOE,CA,144806,LAKE TAHOE UNIF SCHOOL DIST,School District,Public School District;,District,883581
recipient,CA,17013676,Mt. Tallac High School  ,School,Public School;,1735 LAKE TAHOE BLVD,SOUTH LAKE TAHOE,CA,144806,LAKE TAHOE UNIF SCHOOL DIST,School District,Public School District;,District,883581
recipient,CA,17013686,GREEN VALLEY HIGH SCHOOL ROP,School,Public School;,Ê35948ÊSusanÊSt,Yucaipa,CA,143728,R O P - COLTON-REDLANDS-YUCAIPA,School District,Public School District;,OtherLocation,1028028
recipient,CA,17013688,Delta Launch Charter,School,Public School;,16988 S HARLAN RD,LATHROP,CA,16027170,NEW JERUSALEM ELEMENTARY SCHOOL DISTRICT,School District,Public School District;,District,883723
recipient,CA,17013689,Stonegate Head Start,School,Head Start;Public School;,2545 SHERLOCK DR,SAN JOSE,CA,144333,SANTA CLARA CO OFFICE OF EDUCATION,School District,Charter School District;ESA School District;Public School District;,Consortium,884131
recipient,CA,17013690,Calaveras Head Start,School,Head Start;Public School;,1081 BUENA VISTA RD,HOLLISTER,CA,144333,SANTA CLARA CO OFFICE OF EDUCATION,School District,Charter School District;ESA School District;Public School District;,Consortium,884131
recipient,CA,17013704,NEEDLES COMMUNITY DAY,School,Public School;,109ÊF.ÊStÊ,Needles,CA,143724,NEEDLES UNIFIED SCHOOL DISTRICT,School District,Public School District;,District,883718
applicant,CA,17013941,Clemente Holmes  Charter School ,School,Charter School;Public School;,#N/A,#N/A,#N/A,17013941,Clemente Holmes  Charter School ,School,Charter School;Public School;,,
applicant,CA,17014012,ALTA VISTA INNOVATION HIGH SCHOOL ,School,Public School;,11988 HESPERIA RD STE B,HESPERIA,CA,17014012,ALTA VISTA INNOVATION HIGH SCHOOL ,School,Public School;,,
applicant,CA,17014013,SAN BERNARDINO INNOVATION HIGH SCHOOL,School,Public School;,3505 HIGHLAND AVE,HIGHLAND,CA,17014013,SAN BERNARDINO INNOVATION HIGH SCHOOL,School,Public School;,,
applicant,CA,17014056,Alta Vista South II Charter,School,Charter School;Public School;,242 - 250 E BASE LINE RD,RIALTO,CA,17014056,Alta Vista South II Charter,School,Charter School;Public School;,,
applicant,CA,17014057,Crescent Valley II Charter,School,Charter School;Public School;,116 E MAIN ST STE 200,VISALIA,CA,17014057,Crescent Valley II Charter,School,Charter School;Public School;,,
applicant,CA,17014058,Crescent View South II Charter,School,Charter School;Public School;,4348 W SHAW AVE,FRESNO,CA,17014058,Crescent View South II Charter,School,Charter School;Public School;,,
applicant,CA,17014059,Diego Grande Charter,School,Charter School;Public School;,4585 COLLEGE AVE STE 4A,SAN DIEGO,CA,17014059,Diego Grande Charter,School,Charter School;Public School;,,
applicant,CA,17014060,Kings Valley II Charter,School,Charter School;Public School;,312 W 7TH ST STE 102,HANFORD,CA,17014060,Kings Valley II Charter,School,Charter School;Public School;,,
applicant,CA,17014061,Diego View Charter,School,Charter School;Public School;,312 W 7TH ST STE 102,HANFORD,CA,17014061,Diego View Charter,School,Charter School;Public School;,,
applicant,CA,17014082,Aspiranet,School,Public School;,#N/A,#N/A,#N/A,17014082,Aspiranet,School,Public School;,,
applicant,CA,17014112,New Millennium Secondary School,School,Charter School;Public School;,1301 W 182ND ST STE B,GARDENA,CA,17014112,New Millennium Secondary School,School,Charter School;Public School;,,
applicant,CA,17014127,"Intellectual Virtues Academy, A Long Beach High School",School,Charter School;Public School;,#N/A,#N/A,#N/A,17014127,"Intellectual Virtues Academy, A Long Beach High School",School,Charter School;Public School;,,
applicant,CA,17014162,Community Preparatory Academy,School,Charter School;Public School;,7511 RAYMOND AVE,LOS ANGELES,CA,17014162,Community Preparatory Academy,School,Charter School;Public School;,,
applicant,CA,17014163,Samueli Academy,School,Charter School;Public School;,#N/A,#N/A,#N/A,17014163,Samueli Academy,School,Charter School;Public School;,,
applicant,CA,17014225,DESERT TRAILS PREP ACADEMY,School,Charter School;Public School;,#N/A,#N/A,#N/A,17014225,DESERT TRAILS PREP ACADEMY,School,Charter School;Public School;,,
applicant,CA,17014516,Orange County Academy of Sciences and Arts,School,Charter School;Public School;,#N/A,#N/A,#N/A,17014516,Orange County Academy of Sciences and Arts,School,Charter School;Public School;,,
applicant,CA,17014540,Los Feliz Charter School for the Arts,School,Charter School;Public School;,#N/A,#N/A,#N/A,17014540,Los Feliz Charter School for the Arts,School,Charter School;Public School;,,
applicant,CA,17014976,Julian Charter School,School,Charter School;Public School;,1704 CAPE HORN avenue,Julian,CA,17014976,Julian Charter School,School,Charter School;Public School;,,
applicant,CO,93439,CHERRY CREEK ACADEMY,School,Public School;,6260 S DAYTON ST,ENGLEWOOD,CO,93439,CHERRY CREEK ACADEMY,School,Public School;,,
recipient,CO,16085079,STEM LAUNCH,School,Public School;,#N/A,#N/A,#N/A,142162,ADAMS 12 FIVE STAR SCHOOL DISTRICT,School District,Public School District;,District,882641
recipient,CO,17010481,Estes Park Options School,School,Public School;,1605 Brodie Ave,Estes Park,CO,142214,ESTES PARK SCHOOL DISTRICT R-3,School District,Public School District;,District,882080
recipient,CO,17011696,EASTBANK SCHOOL,School,New Construction School;Public School;,123 FLYING M RANCH ROAD,GLENWOOD SPRINGS,CO,142450,ROARING FORK SCHOOL DIST RE 1,School District,Public School District;,District,882154
recipient,CO,17011739,Early Beginnings,School,Public School;,812 N JAMAICA ST,AURORA,CO,142119,AURORA PUBLIC SCHOOLS,School District,Public School District;,District,881807
recipient,CO,17011740,AXL Aurora Expeditionary Learning Academy,School,Public School;,14100 EAST JEWEL AVENUE #21,AURORA,CO,142119,AURORA PUBLIC SCHOOLS,School District,Public School District;,District,881807
recipient,CO,17011741,FACILITIES WITH DISTRICT RUN EDUCATION,School,Public School;,82 AIRPORT BLVD,AURORA,CO,142119,AURORA PUBLIC SCHOOLS,School District,Public School District;,District,881807
recipient,CO,17011742,Global Village Academy East,School,Public School;,403 South Airport Boulevard,AURORA,CO,142119,AURORA PUBLIC SCHOOLS,School District,Public School District;,District,881807
recipient,CO,17011744,LOTUS SCHOOL FOR EXCELLENCE,School,Public School;,11001 E ALAMEDA AVE,AURORA,CO,142119,AURORA PUBLIC SCHOOLS,School District,Public School District;,District,881807
recipient,CO,17011854,TELLURIDE INTERMEDIATE SCHOOL,School,Public School;,725 W COLORADO AVE,TELLURIDE,CO,142443,TELLURIDE SCHOOL DISTRICT R 1,School District,Public School District;,District,882627
recipient,CO,17011855,LEAP School,School,Public School;,950 N. Cleveland Ave,Loveland,CO,142221,THOMPSON SCHOOL DISTRICT R-2J,School District,Public School District;,District,882386
recipient,CO,17012205,South West Elementary,School,Charter School;New Construction School;Public School;,2480 West 26th Avenue,Denver,CO,142154,DENVER SCHOOL DISTRICT 1,School District,Public School District;,District,882007
recipient,CO,17012215,Far North East Elementary,School,Charter School;New Construction School;Public School;,2480 West 26th Avenue,DENVER,CO,142154,DENVER SCHOOL DISTRICT 1,School District,Public School District;,District,882007
applicant,CO,17012398,Great Work Montessori School,School,Charter School;Public School;,5300 W CENTER AVE,LAKEWOOD,CO,17012398,Great Work Montessori School,School,Charter School;Public School;,,
recipient,CO,17012679,Rose Stein Elementary ,School,Charter School;New Construction School;Public School;,#N/A,#N/A,#N/A,145710,Jefferson County School District R-1,School District,Public School District;,District,882257
recipient,CO,17012680,Three Creeks K-8 ,School,New Construction School;Public School;,#N/A,#N/A,#N/A,145710,Jefferson County School District R-1,School District,Public School District;,District,882257
recipient,CO,17012851,Anthem (New School #33),School,New Construction School;Public School;,#N/A,#N/A,#N/A,142162,ADAMS 12 FIVE STAR SCHOOL DISTRICT,School District,Public School District;,District,882641
recipient,CO,17012892,Bollman Technical Education Center,School,Public School;,#N/A,#N/A,#N/A,142162,ADAMS 12 FIVE STAR SCHOOL DISTRICT,School District,Public School District;,District,882641
recipient,CO,17013182,DENVER MONTESSORI JUNIOR-SENIOR HIGH SCHOOL,School,Charter School;Public School;,4250 SHOSHONE ST,DENVER,CO,142154,DENVER SCHOOL DISTRICT 1,School District,Public School District;,District,882007
recipient,CO,17013183,DR. MARTIN LUTHER KING JR. EARLY COLLEGE,School,Charter School;Public School;,19535 E 46TH AVE,DENVER,CO,142154,DENVER SCHOOL DISTRICT 1,School District,Public School District;,District,882007
recipient,CO,17013185,KEPNER BEACON MIDDLE SCHOOL,School,Charter School;Public School;,911 S HAZEL CT,DENVER,CO,142154,DENVER SCHOOL DISTRICT 1,School District,Public School District;,District,882007
recipient,CO,17013186,MARIE L. GREENWOOD ACADEMY,School,Charter School;Public School;,5130 DURHAM CT,DENVER,CO,142154,DENVER SCHOOL DISTRICT 1,School District,Public School District;,District,882007
recipient,CO,17013189,NORTH HIGH SCHOOL ENGAGEMENT CENTER,School,Charter School;Public School;,2960 N SPEER BLVD,DENVER,CO,142154,DENVER SCHOOL DISTRICT 1,School District,Public School District;,District,882007
recipient,CO,17013190,RESPECT ACADEMY AT LINCOLN,School,Charter School;Public School;,2285 S FEDERAL BLVD,DENVER,CO,142154,DENVER SCHOOL DISTRICT 1,School District,Public School District;,District,882007
recipient,CO,17013706,Rocky Mountain Prep,School,Public School;,10455 E 25TH AVE,AURORA,CO,142119,AURORA PUBLIC SCHOOLS,School District,Public School District;,District,881807
recipient,CO,17013707,Global Village Academy West,School,New Construction School;Public School;,16401 E ALAMEDA PL,AURORA,CO,142119,AURORA PUBLIC SCHOOLS,School District,Public School District;,District,881807
recipient,CT,6043,BETHANY COMMUNITY SCHOOL,School,Public School;,44 PECK RD,BETHANY,CT,122545,BETHANY BOARD OF EDUCATION,School District,Public School District;,District,884161
recipient,CT,166082,SHEPAUG VALLEY HIGH SCHOOL,School,Public School;,159 SOUTH STREET,WASHINGTON,CT,122597,REGIONAL SCHOOL DISTRICT 12,School District,Public School District;,District,884293
recipient,CT,17011022,Loveland Hill School,School,Public School;,70 LOVELAND HILL RD,VERNON,CT,122288,VERNON SCHOOL DISTRICT,School District,Public School District;,District,884335
recipient,CT,17012060,Learning Academy at Bloomfield ,School,Public School;,20 Sargeant St. ,Heartford,CT,122240,BLOOMFIELD PUBLIC SCHOOLS,School District,Public School District;,District,884166
applicant,CT,17012170,Marlborough School District,School District,Public School District;,25 SCHOOL DR MARLBOROUGH,HARTFORD,CT,17012170,Marlborough School District,School District,Public School District;,,
recipient,CT,17012204,AccessGertrude Fielding Learning Center,School,Public School;,103 MIRY BROOK RD,DANBURY,CT,122573,EDUCATION CONNECTION,School District,Public School District;,Consortium,884290
recipient,CT,17012207,Raise Academy,School,Public School;,75 Chatfield Street ,Derby,CT,122463,DERBY SCHOOL DISTRICT,School District,Public School District;,District,884214
recipient,CT,17012481,NEW ORCHARD HILL,School,Public School;,380 FOSTER ST,SOUTH WINDSOR,CT,122299,SOUTH WINDSOR PUBLIC SCHOOLS,School District,Public School District;,District,884319
recipient,CT,17012995,Career & Craftsmanship Alternative School,School,Public School;,418 KOSSUTH ST FL B,BRIDGEPORT,CT,122549,BRIDGEPORT SCHOOL DISTRICT,School District,Public School District;,District,884177
applicant,CT,17013255,Stamford Academy Charter School,School,Public School;,229 NORTH ST,STAMFORD,CT,17013255,Stamford Academy Charter School,School,Public School;,,
applicant,CT,17013256,Trailblazers Academy Charter School,School,Charter School;Public School;,Ê83 Lockwood Avenue,Stamford,CT,17013256,Trailblazers Academy Charter School,School,Charter School;Public School;,,
recipient,CT,17013395,CREC Museum Academy-Turkey Hill,School,Public School;,#N/A,#N/A,#N/A,122328,CAPITOL REGION EDUC COUNCIL,School District,Public School District;,Consortium,884193
recipient,CT,17013550,LULAC Observatory,School,Head Start;Public School;,400 CANNER ST,NEW HAVEN,CT,16063638,LULAC HEAD START INC,School District,Public School District;,OtherLocation,1003360
recipient,CT,17013552,LULAC East Haven,School,Head Start;Public School;,54 GERRISH AVE,EAST HAVEN,CT,16063638,LULAC HEAD START INC,School District,Public School District;,OtherLocation,1003360
recipient,CT,17013555,LULAC State Street,School,Head Start;Public School;,1000 STATE ST,NEW HAVEN,CT,16063638,LULAC HEAD START INC,School District,Public School District;,OtherLocation,1003360
recipient,DC,21633,MACFARLAND MIDDLE SCHOOL,School,Public School;,4400 IOWA AVE NW,WASHINGTON,DC,126340,DISTRICT OF COLUMBIA PUB SCHS,School District,Public School District;,District,884755
recipient,DC,17010411,The Learning Center,School,Public School;,#N/A,#N/A,#N/A,226975,KIPP DC,School District,Charter School District;Public School District;,District,884756
recipient,DC,17013111,MCKINLEY MIDDLE SCHOOL,School,Public School;,151 T ST NE,WASHINGTON,DC,126340,DISTRICT OF COLUMBIA PUB SCHS,School District,Public School District;,District,884755
recipient,FL,37616,LOPEZ EXCEPTIONAL CENTER,School,Public School;,315 E Old Hillsborough Ave,SEFFNER,FL,127779,HILLSBOROUGH CO SCHOOL DIST,School District,Charter School District;Public School District;,District,889004
recipient,FL,37666,BT WASHINGTON ELEMENTARY,School,Public School;,1407 ESTELLE ST,TAMPA,FL,127779,HILLSBOROUGH CO SCHOOL DIST,School District,Charter School District;Public School District;,District,889004
recipient,FL,37681,STEWART MIDDLE SCHOOL,School,Public School;,1125 W SPRUCE ST,TAMPA,FL,127779,HILLSBOROUGH CO SCHOOL DIST,School District,Charter School District;Public School District;,District,889004
recipient,FL,38262,NORTH MYERS ACADEMY FOR THE ARTS - ELEMENTARY,School,Public School;,1856 Arts Way,North Fort Myers,FL,127832,LEE COUNTY SCHOOL DISTRICT,School District,Public School District;,District,889011
recipient,FL,203968,LOMAX ELEMENTARY SCHOOL,School,Public School;,4207 26TH STREET,TAMPA,FL,127779,HILLSBOROUGH CO SCHOOL DIST,School District,Charter School District;Public School District;,District,889004
recipient,FL,224827,RANDALL MIDDLE SCHOOL,School,Public School;,16510 FISHHAWKE BLVD,LITIA,FL,127779,HILLSBOROUGH CO SCHOOL DIST,School District,Charter School District;Public School District;,District,889004
recipient,FL,16078769,PALM ACRES CHARTER HIGH SCHOOL,School,Charter School;Public School;,#N/A,#N/A,#N/A,16038929,CITY OF PALMS CHARTER HIGH SCHOOL,School District,Charter School District;Public School District;,School,905398
recipient,FL,17004858,Hospital Homebound,School,Public School;,1817 E. University Ave.,Gainesville ,FL,127655,ALACHUA COUNTY SCHOOL DISTRICT,School District,Public School District;,District,888974
recipient,FL,17006971,CITY OF PALMS CHARTER HIGH SCHOOL,School,Charter School;Public School;,#N/A,#N/A,#N/A,16038929,CITY OF PALMS CHARTER HIGH SCHOOL,School District,Charter School District;Public School District;,School,905398
recipient,FL,17006972,Northern Palms Charter High School,School,Charter School;Public School;,#N/A,#N/A,#N/A,16038929,CITY OF PALMS CHARTER HIGH SCHOOL,School District,Charter School District;Public School District;,School,905398
applicant,FL,17008002,"KIDS COMMUNITY COLLEGE HIGH SCHOOL, INC.",School,Charter School;New Construction School;Public School;,#N/A,#N/A,#N/A,17008002,"KIDS COMMUNITY COLLEGE HIGH SCHOOL, INC.",School,Charter School;New Construction School;Public School;,,
applicant,FL,17008734,FLORIDA FUTURES ACADEMY,School,Charter School;Public School;,#N/A,#N/A,#N/A,17008734,FLORIDA FUTURES ACADEMY,School,Charter School;Public School;,,
recipient,FL,17011639,Southwest Florida Public Service Academy,School,Public School;,4312 MICHIGAN AVE,FORT MYERS,FL,127832,LEE COUNTY SCHOOL DISTRICT,School District,Public School District;,District,889011
recipient,FL,17011723,SCHOOL FOR ADVANCED STUDIES-WEST,School,Public School;,3800 NW 115TH AVE,DORAL,FL,127722,127722 - MIAMI-DADE COUNTY PUBLIC SCHOOLS,School District,Public School District;,District,888987
recipient,FL,17011724,West Lakes Preparatory Academy ,School,Public School;,13835 NW 97TH AVE,HIALEAH,FL,127722,127722 - MIAMI-DADE COUNTY PUBLIC SCHOOLS,School District,Public School District;,District,888987
recipient,FL,17011738,Success Academy,School,Public School;,3650 Michigan Avenue,Fort Myers,FL,127832,LEE COUNTY SCHOOL DISTRICT,School District,Public School District;,District,889011
recipient,FL,17012001,PLATO ACADEMY SCHOOLS - CLEARWATER,School,Charter School;Public School;,2045 PALMETTO STREET,CLEARWATER,FL,16036922,PLATO ACADEMY CHARTER SCHOOL,School District,Charter School District;Public School District;,School,916039
recipient,FL,17012002,PLATO ACADEMY SCHOOLS - PINELLAS PARK,School,Charter School;Public School;,9200 49TH ST N,PINELAS PARK,FL,16036922,PLATO ACADEMY CHARTER SCHOOL,School District,Charter School District;Public School District;,School,916039
recipient,FL,17012003,PLATO ACADEMY SCHOOLS - TRINITY,School,Charter School;Public School;,8812 OLD COUNTRY RD 54,NEW PORT RICHEY,FL,16036922,PLATO ACADEMY CHARTER SCHOOL,School District,Charter School District;Public School District;,School,916039
applicant,FL,17012092,Innovation Charter School,School,Charter School;Public School;,#N/A,#N/A,#N/A,17012092,Innovation Charter School,School,Charter School;Public School;,,
applicant,FL,17012172,AcadeMir Preparatory Academy,School,Charter School;Public School;,#N/A,#N/A,#N/A,17012172,AcadeMir Preparatory Academy,School,Charter School;Public School;,,
applicant,FL,17012173,AcadeMir Charter School Preparatory,School,Charter School;Public School;,#N/A,#N/A,#N/A,17012173,AcadeMir Charter School Preparatory,School,Charter School;Public School;,,
applicant,FL,17012333,Imagine Schools Plantation Campus,School,Public School;,8200 PETERS RD,PLANTATION,FL,17012333,Imagine Schools Plantation Campus,School,Public School;,,
applicant,FL,17012456,ICAN LIGHTHOUSE CHARTER SCHOOL,School,Charter School;Public School;,29140 CHAPEL PARK DR,WESLEY CHAPEL,FL,17012456,ICAN LIGHTHOUSE CHARTER SCHOOL,School,Charter School;Public School;,,
recipient,FL,17012550,SITE 21-M-E-2,School,New Construction School;Public School;,#N/A,#N/A,#N/A,127681,ORANGE COUNTY SCHOOL DISTRICT,School District,Public School District;,District,889027
recipient,FL,17012551,SITE 44-E-SE-2,School,New Construction School;Public School;,#N/A,#N/A,#N/A,127681,ORANGE COUNTY SCHOOL DISTRICT,School District,Public School District;,District,889027
recipient,FL,17012552,SITE 52-M-SE-2,School,New Construction School;Public School;,#N/A,#N/A,#N/A,127681,ORANGE COUNTY SCHOOL DISTRICT,School District,Public School District;,District,889027
recipient,FL,17012553,WINDERMERE HIGH SCHOOL,School,New Construction School;Public School;,#N/A,#N/A,#N/A,127681,ORANGE COUNTY SCHOOL DISTRICT,School District,Public School District;,District,889027
recipient,FL,17012610,Bexley Elementary School ,School,Public School;,4380 Ballantrae Blvd,Land OÕ Lakes,FL,127873,PASCO COUNTY SCHOOL DISTRICT,School District,Public School District;,District,889030
recipient,FL,17012614,Cypress Creek Middle High School,School,Public School;,8701 OLD PASCO RD,WESLEY CHAPEL,FL,127873,PASCO COUNTY SCHOOL DISTRICT,School District,Public School District;,District,889030
recipient,FL,17012655,Riverview Learning Center,School,Public School;,801 N WILD OLIVE AVE,DAYTONA BEACH,FL,127575,SCHOOL DISTRICT OF VOLUSIA COUNTY,School District,Public School District;,District,889044
recipient,FL,17012662,Achieve Center of Pasco,School,Public School;,18950 MICHIGAN LN,SPRING HILL,FL,127873,PASCO COUNTY SCHOOL DISTRICT,School District,Public School District;,District,889030
applicant,FL,17012705,Osceola Science Charter School ,School,Charter School;Public School;,#N/A,#N/A,#N/A,17012705,Osceola Science Charter School ,School,Charter School;Public School;,,
recipient,FL,17012777,SITE 84-E-W-4,School,New Construction School;Public School;,#N/A,#N/A,#N/A,127681,ORANGE COUNTY SCHOOL DISTRICT,School District,Public School District;,District,889027
recipient,FL,17012881,DAVID LAWRENCE JR PLC,School,Public School;,12175 NE 12TH CT,NORTH MIAMI,FL,127722,127722 - MIAMI-DADE COUNTY PUBLIC SCHOOLS,School District,Public School District;,District,888987
recipient,FL,17013226,ACADMEY ,School,Public School;,18300 COCHRAN BLVD,PORT CHARLOTTE,FL,127835,CHARLOTTE COUNTY SCHOOL DIST,School District,Public School District;,District,888982
recipient,FL,17013257,Collier Charter Academy,School,Charter School;Public School;,12101 Immokalee Rd,Naples,FL,16056854,CHARTER SCHOOLS USA,School District,Charter School District;Public School District;,OtherLocation,1049361
recipient,FL,17013258,Duval Charter School at Coastal,School,Charter School;Public School;,12800 BEACH BLVD,JACKSONVILLE,FL,16056854,CHARTER SCHOOLS USA,School District,Charter School District;Public School District;,OtherLocation,1049361
recipient,FL,17013259,Renaissance Charter School at Boggy Creek,School,Charter School;Public School;,4480 BOGGY CREEK RD,KISSIMMEE,FL,16056854,CHARTER SCHOOLS USA,School District,Charter School District;Public School District;,OtherLocation,1049361
recipient,FL,17013260,Waterset Charter School,School,Charter School;Public School;,210 APOLLO BEACH BLVD,APOLLO BEACH,FL,16056854,CHARTER SCHOOLS USA,School District,Charter School District;Public School District;,OtherLocation,1049361
recipient,FL,17013261,Mevers School of Excellence,School,Charter School;Public School;,7750 Henry E. Brown Blvd,Goose Creek,SC,16056854,CHARTER SCHOOLS USA,School District,Charter School District;Public School District;,OtherLocation,1049361
applicant,FL,17013936,Avalon Park,School,Charter School;Public School;,6340 SUNSET DR,MIAMI,FL,17013936,Avalon Park,School,Charter School;Public School;,,
applicant,FL,17013937,Bright Futures - Lighthouse Campus,School,Charter School;Public School;,757 LIGHTHOUSE DR,NORTH PALM BEACH,FL,17013937,Bright Futures - Lighthouse Campus,School,Charter School;Public School;,,
applicant,FL,17013938,Mater Bay ,School,Charter School;Public School;,22025 SW 87TH AVE,CUTLER BAY,FL,17013938,Mater Bay ,School,Charter School;Public School;,,
applicant,FL,17013939,Master Palms,School,Charter School;Public School;,401 POINCIANA CIR,KISSIMMEE,FL,17013939,Master Palms,School,Charter School;Public School;,,
applicant,FL,17013940,Pinecrest Lakes,School,Charter School;Public School;,14012 OLD HIGHWAY 50,CLERMONT,FL,17013940,Pinecrest Lakes,School,Charter School;Public School;,,
applicant,FL,17013942,SLAM Tampa,School,Charter School;Public School;,7116 GUNN HWY,TAMPA,FL,17013942,SLAM Tampa,School,Charter School;Public School;,,
applicant,FL,17013943,Somerset Jefferson,School,Charter School;Public School;,#N/A,#N/A,#N/A,17013943,Somerset Jefferson,School,Charter School;Public School;,,
applicant,FL,17013950,SLAM North Miami Beach,School,Charter School;Public School;,16601 NE 15th Ave,North Miami Beach,FL,17013950,SLAM North Miami Beach,School,Charter School;Public School;,,
applicant,FL,17013951,Somerset JFK,School,Charter School;Public School;,4696 DAVIS RD,LAKE WORTH,FL,17013951,Somerset JFK,School,Charter School;Public School;,,
applicant,FL,17013952,Somerset St. Lucie (Imagine),School,Charter School;Public School;,4402 SW YAMADA DR,PORT ST LUCIE,FL,17013952,Somerset St. Lucie (Imagine),School,Charter School;Public School;,,
applicant,FL,17013953,University Preparatory Academy,School,Charter School;Public School;,2101 N AUSTRALIAN AVE,WEST PALM BEACH,FL,17013953,University Preparatory Academy,School,Charter School;Public School;,,
applicant,FL,17014046,INTEGRITY TABERNACLE CHRISTIAN ACADEMY ,School,Public School;,#N/A,#N/A,#N/A,17014046,INTEGRITY TABERNACLE CHRISTIAN ACADEMY ,School,Public School;,,
